CAS Registry Number,Canonical SMILES,key
67-56-1,OC,0
62-53-3,NC=1C=CC=CC1,0
68-12-2,O=CN(C)C,0
56-41-7,O=C(O)C(N)C,0
74-89-5,NC,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
73-24-5,N1=CN=C(N)C=2NC=NC12,0
75-31-0,NC(C)C,0
95-53-4,NC=1C=CC=CC1C,0
75-16-1,Br[Mg]C,0
110-87-2,O1C=CCCC1,0
765-30-0,NC1CC1,0
95-92-1,O=C(OCC)C(=O)OCC,0
105-39-5,O=C(OCC)CCl,0
762-04-9,O=P(OCC)OCC,0
15761-38-3,O=C(OC(C)(C)C)NC(C(=O)O)C,0
7486-35-3,C=C[Sn](CCCC)(CCCC)CCCC,0
10310-21-1,ClC1=NC(=NC=2N=CNC12)N,0
5451-40-1,ClC=1N=C(Cl)C=2NC=NC2N1,0
3680-69-1,ClC1=NC=NC=2NC=CC12,0
5750-76-5,ClC1=NC=C(Cl)C(Cl)=N1,0
632-46-2,O=C(O)C=1C(=CC=CC1C)C,0
4389-50-8,O=C(O)C=1C(N)=CC=CC1C,0
1201438-56-3,O=C1C=2C(Cl)=CC=CC2C=C(N1C=3C=CC=CC3)C(NC4=NC=NC=5N=CNC54)C,1
42969-65-3,C#CC(O)C,0
151266-23-8,IC1=NNC=2N=CN=C(N)C12,0
28875-17-4,O=C(OC(C)(C)C)NC(C(=O)OC)C,0
214360-76-6,OC1=CC=CC(=C1)B2OC(C)(C)C(O2)(C)C,0
21900-37-8,O=C(Cl)C=1C(=CC=CC1C)C,0
1651-29-2,FC=1N=C(Cl)C=2NC=NC2N1,0
87694-49-3,O=C(OC(C)(C)C)NC(C(=O)N(OC)C)C,0
21327-86-6,O=C(O)C=1C(Cl)=CC=CC1C,0
7306-68-5,ClC1=NC=NC2=C1N=CN2C3OCCCC3,0
22276-95-5,ClC1=NC=NC=2NC=C(Br)C12,0
20419-68-5,ClC=1N=C(Cl)C=2N=CN(C2N1)C3OCCCC3,0
54811-50-6,O=C(O)C=1C(I)=CC=CC1C,0
3183-22-0,O=C(OCC)CNC(C)C,0
89894-44-0,O=C(Cl)C=1C(Cl)=CC=CC1C,0
24391-41-1,N#CC1=CNC=2N=CN=C(Cl)C12,0
908287-21-8,O=CC1=CNC=2N=CN=C(Cl)C21,0
845795-77-9,FC=1N=C(Cl)C=2N=CN(C2N1)C3OCCCC3,0
