CAS Registry Number,Canonical SMILES,key
1374636-02-8,O=C(OCC=1C=CC=CC1)NC(COS(=O)(=O)C)CC(C)C,0
1374635-34-3,O=CC1=CC=2C=NC(Cl)=NC2N1CCNC(=O)OC(C)(C)C,0
1374635-87-6,O=C(OC(C)(C)C)NCC1(NC2=NC(Cl)=NC=C2Br)CCCCC1,0
1374635-84-3,O=C(OC(C)(C)C)NCC(NC1=NC(Cl)=NC=C1C#CC(OCC)OCC)(C)C,0
1374635-83-2,O=C(OC(C)(C)C)NCC(NC1=NC(Cl)=NC=C1Br)(C)C,0
1374635-42-3,O=C(OCC=1C=CC=CC1)NC(C=2C=CC=CC2)CNC(=O)OC(C)(C)C,0
1217317-66-2,O=C(OC(C)(C)C)NCC(N)CC(C)C,0
1217317-65-1,O=C(OCC=1C=CC=CC1)NC(CNC(=O)OC(C)(C)C)CC(C)C,0
1117693-61-4,O=C(OC(C)(C)C)NCC(N)C(C)C,0
865453-20-9,O=C(OCC=1C=CC=CC1)NC2(CN)CCCCC2,0
400652-53-1,O=C(OCC=1C=CC=CC1)NC(CNC(=O)OC(C)(C)C)C(C)C,0
131915-09-8,O=C(OCC=1C=CC=CC1)NC(CNC(=O)OC(C)(C)C)C(C)C,0
105628-30-6,O=C(OCC=1C=CC=CC1)NC(CN)C(C)C,0
1628716-88-0,O=C1NCC2(N3C=4N=C(N=CC4C=C13)NC5=NC=C(C=C5)N6CCN(C7CC7)C(C)(C)C6)CCCCC2,0
1628716-84-6,O=C1NCC2(N3C=4N=C(N=CC4C=C13)NC5=NC=C(C=C5)N6CCC(N7CCC(CC7)C(F)(F)F)CC6)CCCCC2,0
1462261-44-4,O=C1NCC2(N3C=4N=C(N=CC4C=C13)NC5CCC(O)CC5)CCCC2,0
1462261-42-2,O=C1NC2(CN3C=4N=C(N=CC4C=C13)NC5CCC(O)CC5)CCCC2,0
1462261-41-1,O=C1NC2(CN3C=4N=C(Cl)N=CC4C=C13)CCCC2,0
1462261-40-0,O=C(O)C1=CC=2C=NC(Cl)=NC2N1CC3(NC(=O)OC(C)(C)C)CCCC3,0
1462261-39-7,O=C(OC(C)(C)C)NC1(CN2C=3N=C(Cl)N=CC3C=C2C(OCC)OCC)CCCC1,0
1462261-38-6,O=C(OC(C)(C)C)NC1(CNC2=NC(Cl)=NC=C2C#CC(OCC)OCC)CCCC1,0
1462261-37-5,O=C(OC(C)(C)C)NC1(CNC2=NC(Cl)=NC=C2Br)CCCC1,0
1462261-36-4,O=C1NC(CN2C=3N=C(N=CC3C=C12)NC4CCC(O)CC4)CC,0
1462261-35-3,O=C1NC(CN2C=3N=C(Cl)N=CC3C=C12)CC,0
1462261-34-2,O=C(O)C1=CC=2C=NC(Cl)=NC2N1CC(NC(=O)OCC=3C=CC=CC3)CC,0
1462261-33-1,O=C(OCC=1C=CC=CC1)NC(CN2C=3N=C(Cl)N=CC3C=C2C(OCC)OCC)CC,0
1462261-32-0,O=C(OCC=1C=CC=CC1)NC(CNC2=NC(Cl)=NC=C2C#CC(OCC)OCC)CC,0
1462261-31-9,O=C1NCC(N2C=3N=C(N=CC3C=C12)NC4CCC(O)CC4)(C)C,0
1462261-30-8,O=C(OCC=1C=CC=CC1)NC(CNC2=NC(Cl)=NC=C2Br)CC,0
1462261-29-5,O=C(OC(C)(C)C)NCC(N1C=2N=C(Cl)N=CC2C=C1C(OCC)OCC)(C)C,0
1462261-28-4,O=C1NCCN2C=3N=C(N=CC3C=C12)NC4CCC(O)CC4,0
1462261-27-3,O=C1NCCN2C=3N=C(N=CC3C(C=4C=CC=CC4C)=C12)NC5CCC(O)CC5,0
1462261-26-2,O=C1NCCN2C=3N=C(N=CC3C(C=4C=CC=CC4C)=C12)NC5=CC=C(C=C5)N6CCOCC6,0
1462261-24-0,O=CC1=C(C=2C=NC(Cl)=NC2N1CCNC(=O)OC(C)(C)C)C=3C=CC=CC3C,0
1462261-22-8,O=C(OC(C)(C)C)NCCN1C=2N=C(Cl)N=CC2C(C=3C=CC=CC3C)=C1C(OCC)OCC,0
1462261-21-7,O=C(OC(C)(C)C)NCCN1C=2N=C(Cl)N=CC2C(I)=C1C(OCC)OCC,0
1391936-85-8,[N-]=[N+]=NCC(NC(=O)OCC=1C=CC=CC1)CC(C)C,0
1374636-12-0,O=C1C2=CC=3C=NC(Cl)=NC3N2C(CN1C)CC(C)C,0
1374636-09-5,O=C(OC(C)(C)C)NCC(NC1=NC(Cl)=NC=C1Br)CC(C)C,0
1374636-07-3,O=C(OC(C)(C)C)NCC(N)C(C)CC,0
1374635-99-0,O=C1NC2CCCC2N3C=4N=C(Cl)N=CC4C=C13,0
1374635-98-9,O=C(O)C1=CC=2C=NC(Cl)=NC2N1C3CCCC3NC(=O)OC(C)(C)C,0
1374635-97-8,O=C(OC(C)(C)C)NC1CCCC1NC2=NC(Cl)=NC=C2C#CC(OCC)OCC,0
1374635-96-7,O=C(OC(C)(C)C)NC1CCCC1NC2=NC(Cl)=NC=C2Br,0
1374635-95-6,O=C(OC(C)(C)C)NCC(NC1=NC(Cl)=NC=C1C#CC(OCC)OCC)CC(C)C,0
1374635-80-9,O=C(OC(C)(C)C)NC(CNC1=NC(Cl)=NC=C1C#CC(OCC)OCC)C(C)C,0
1374635-79-6,O=C(OC(C)(C)C)NC(CNC1=NC(Cl)=NC=C1Br)C(C)C,0
1374635-76-3,O=C(OC(C)(C)C)NCC(NC1=NC(Cl)=NC=C1C#CC(OCC)OCC)C=2C=CC=CC2,0
1374635-75-2,O=C(OC(C)(C)C)NCC(NC1=NC(Cl)=NC=C1Br)C=2C=CC=CC2,0
1374635-74-1,O=C1C2=CC=3C=NC(Cl)=NC3N2C(CN1C)C(C)(C)C,0
