CAS Registry Number,Canonical SMILES,key
50-00-0,O=C,0
100-52-7,O=CC=1C=CC=CC1,0
75-07-0,O=CC,0
110-91-8,O1CCNCC1,0
76-05-1,O=C(O)C(F)(F)F,0
124-63-0,O=S(=O)(Cl)C,0
95-54-5,NC=1C=CC=CC1N,0
123-38-6,O=CCC,0
78-84-2,O=CC(C)C,0
103-71-9,O=C=NC=1C=CC=CC1,0
103-82-2,O=C(O)CC=1C=CC=CC1,0
122-78-1,O=CCC=1C=CC=CC1,0
530-62-1,O=C(N1C=NC=C1)N2C=NC=C2,0
590-86-3,O=CCC(C)C,0
504-24-5,N=1C=CC(N)=CC1,0
100-09-4,O=C(O)C1=CC=C(OC)C=C1,0
104-12-1,O=C=NC1=CC=C(Cl)C=C1,0
1489-69-6,O=CC1CC1,0
3173-56-6,O=C=NCC=1C=CC=CC1,0
496-72-0,NC1=CC=C(C=C1N)C,0
586-38-9,O=C(O)C=1C=CC=C(OC)C1,0
5416-93-3,O=C=NC1=CC=C(OC)C=C1,0
619-65-8,N#CC1=CC=C(C=C1)C(=O)O,0
95-83-0,ClC1=CC=C(N)C(N)=C1,0
3171-45-7,NC=1C=C(C(=CC1N)C)C,0
1548-13-6,O=C=NC1=CC=C(C=C1)C(F)(F)F,0
6628-77-9,N=1C=C(N)C=CC1OC,0
367-31-7,FC1=CC=C(N)C(N)=C1,0
102-51-2,O(C1=CC=C(N)C(N)=C1)C,0
17739-45-6,BrCCOC1OCCCC1,0
6427-66-3,[N-]=[N+]=NC1=CC=C(C=C1)C(=O)O,0
27374-25-0,O(CC)C1(O[Si](C)(C)C)CC1,0
327-78-6,O=C=NC1=CC=C(Cl)C(=C1)C(F)(F)F,0
331-25-9,O=C(O)CC=1C=CC=C(F)C1,0
451-82-1,O=C(O)CC=1C=CC=CC1F,0
35037-73-1,O=C=NC1=CC=C(OC(F)(F)F)C=C1,0
4747-71-1,O=C=NC1CCCC1,0
368-71-8,FC(F)(F)C1=CC=C(N)C(N)=C1,0
40465-45-0,N#CC1=CC=C(N=C=O)C=C1,0
34893-92-0,O=C=NC=1C=C(Cl)C=C(Cl)C1,0
74784-70-6,FC(F)(F)C1=CN=C(N)C=C1,0
16136-58-6,O=C(O)C1=CC=2C=CC=CC2N1C,0
76179-40-3,FC=1C=C(N)C(N)=CC1F,0
3430-14-6,N=1C=C(N)C=CC1C,0
17626-40-3,N#CC1=CC=C(N)C(N)=C1,0
4214-73-7,N#CC1=CN=C(N)C=C1,0
16413-26-6,N#CC1=CC=CC(N=C=O)=C1,0
31027-31-3,O=C=NC1=CC=C(C=C1)C(C)C,0
106877-33-2,FC(F)(F)C1=NC=C(N)C=C1,0
15268-31-2,O=C=NC=1C=NC=CC1,0
4442-54-0,O=C(O)C1=CC=C2OCCOC2=C1,0
16315-59-6,O=C=NC1=CC=C(C=C1)N(C)C,0
3724-10-5,O=C(O)C=1C=CC=CC1SC,0
1827-27-6,FC1=NC=C(N)C=C1,0
403-20-3,O=C(O)C1=CC=C(OC)C(F)=C1,0
3430-19-1,N=1C=C(N)C=C(C1)C,0
1095173-27-5,N#CC1=CC=C(C=C1)NC(=O)NC2CCN(C)C(C3=NC=4C=CC=CC4N3)C2,1
76429-73-7,O=C(O)C1=CC=C2OCCC2=C1,0
3430-33-9,N=1C(=CC=C(N)C1C)C,0
64436-92-6,N=1C=C(OC)C=C(N)C1,0
360-03-2,O=C(O)C(F)(F)C=1C=CC=CC1,0
82846-18-2,O=C(O)C1=CC=C(F)C(OC)=C1,0
16205-46-2,O=C(O)C=1C=NN2C=CC=CC12,0
69999-16-2,O=C(O)CC1=CC=C2OCCC2=C1,0
100275-94-3,O=C=NC1=CC=C2OCCOC2=C1,0
19155-88-5,O=C(O)C=1C=CC2=NON=C2C1,0
261635-93-2,O=C(O)C1=CC=C(N=C1C)C(F)(F)F,0
250161-45-6,O=C(O)C=1C=CC(=CC1)C=2OC=NC2,0
58808-59-6,O=C(O)C1=CC=C(C=C1)C(=O)C(F)(F)F,0
62119-70-4,O=C(O)CC=1OC=2C=CC=CC2C1,0
2386-28-9,O=C(O)C=1NC(=C(C(=O)C)C1C)C,0
4144-68-7,O=C(O)CN1N=C2C=CC=CC2=N1,0
70639-77-9,O=C(O)C1=CC=C2NC(=O)CCC2=C1,0
32829-25-7,O=C(O)CN1N=CC=2C=CC=CC21,0
13669-19-7,O=C(O)CC=1SC(Cl)=CC1,0
70918-54-6,O=C(O)C1OC=2C=CC=CC2OC1,0
175277-09-5,O=C(O)C1=CC(=NN1C(C)(C)C)C,0
134997-87-8,O=C(O)C1=CC=C2OCC(=O)NC2=C1,0
85545-58-0,NC1=CC=C(C=C1N)N(C)C,0
186593-48-6,FC1=NC=C(N)C=C1C,0
103203-84-5,O=C(O)C1=CC=C2OCCCC2=C1,0
66093-07-0,N=1C=C(N)C=C(C1C)C,0
58037-05-1,O=C(O)CN1N=C2C=CC=CC2=C1,0
197775-45-4,O=C(O)C1=NNC(=C1)C=2C=CN=CC2,0
78756-98-6,O=C(O)CC1=NC=2C=CC=CC2O1,0
321744-26-7,O=C(OC(C)(C)C)N1CCC(O)CC1C(=O)OC,0
1256818-31-1,O=C(O)C1=CN=C2OCCOC2=C1,0
125117-98-8,N#CC1=NC=C(N=C=O)C=C1,0
524005-41-2,O=C(O)C1=CC=C2OCCOC2=C1F,0
816448-94-9,O=C(O)C=1C=CN=C2C=CC(=CC21)C,0
405229-64-3,O=C(OC(C)(C)C)N1CCC(OS(=O)(=O)C)CC1C(=O)OC,0
254882-17-2,O=C(OC(C)(C)C)N1CCC(N)CC1C(=O)OC,0
1095173-08-2,[N-]=[N+]=NC1CCN(C(=O)OC(C)(C)C)C(C(=O)OC)C1,0
778646-95-0,O=C(OC(C)(C)C)N1CCC(N)CC1C(=O)OC,0
1095176-13-8,O=C(NC1=CC=C(OC)C=C1)NC2CCN(C)C(C3=NC=4C=CC=CC4N3)C2,0
1095176-08-1,O=C(NC1=CC=C(Cl)C=C1)NC2CCN(C)C(C3=NC=4C=CC=CC4N3)C2,0
1095173-26-4,N#CC1=CC=C(C=C1)NC(=O)NC2CCN(C(=O)OC(C)(C)C)C(C(=O)NC=3C=CC=CC3N)C2,0
1095173-20-8,N#CC1=CC=C(C=C1)NC(=O)NC2CCN(C(=O)OC(C)(C)C)C(C(=O)O)C2,0
1095173-19-5,N#CC1=CC=C(C=C1)NC(=O)NC2CCN(C(=O)OC(C)(C)C)C(C(=O)OC)C2,0
1095173-10-6,O=C(OC(C)(C)C)N1CCC(NC(=O)C2=CC=C3OCCOC3=C2)CC1C(=O)O,0
1095173-09-3,O=C(OC(C)(C)C)N1CCC(NC(=O)C2=CC=C3OCCOC3=C2)CC1C(=O)OC,0
524005-40-1,O=C(O)C1=CC=C2OCCOC2=C1Cl,0
1095176-15-0,O=C(NC1=CN=C(F)C(=C1)C)NC2CCN(C)C(C3=NC=4C=CC=CC4N3)C2,0
1095176-14-9,O=C(NC1CCN(C)C(C2=NC=3C=C(OC)C=CC3N2)C1)C4=CC=C5OCCOC5=C4,0
1095176-12-7,O=C(NC1=CN=C(C=C1)C(F)(F)F)NC2CCN(C)C(C3=NC=4C=CC(=CC4N3)C(F)(F)F)C2,0
1095176-11-6,O=C(NC1CCN(C)C(C2=NC=3C=C(Cl)C=CC3N2)C1)C4=CC=C5OCCOC5=C4,0
1095176-10-5,O=C(NC1CCN(C)C(C2=NC=3C=CC=CC3N2)C1)C4=CC=C5OCCCC5=C4,0
1095176-09-2,O=C(NC1=CN=C(F)C=C1)NC2CCN(C)C(C3=NC=4C=CC=CC4N3)C2,0
1095175-02-2,N#CC1=CC=C(C=C1)NC(=O)NC2CCN(CCC=3C=CC=CC3)C(C4=NC=5C=CC=CC5N4)C2,0
1095174-91-6,O=C(NC1=CC=C(Cl)C(=C1)C(F)(F)F)NC2CN(C(C3=NC=4C=CC=CC4N3)C2)C(C)C,0
1095174-73-4,O=C(NC1=CC=C(Cl)C(=C1)C(F)(F)F)NC2CN(C(C3=NC=4C=CC=CC4N3)C2)C(C)C,0
1095174-48-3,[N-]=[N+]=NC1=CC=C(C=C1)C(=O)NC2CCN(C)C(C3=NC=4C=CC=CC4N3)C2,0
1095174-44-9,N#CC1=CC=C(C=C1)NC(=O)NC2CCN(C(C3=NC=4C=CC=CC4N3)C2)C5CCC5,0
