CAS Registry Number,Canonical SMILES,key
505-66-8,N1CCNCCC1,0
5625-67-2,O=C1NCCNC1,0
504-78-9,S1CNCC1,0
41838-46-4,NC1CCN(C)CC1,0
109-07-9,N1CCNC(C)C1,0
4318-37-0,N1CCN(C)CCC1,0
3240-94-6,ClCCN1CCOCC1,0
104-63-2,OCCNCC=1C=CC=CC1,0
141-91-3,O1C(C)CNCC1C,0
353-83-3,FC(F)(F)CI,0
16088-62-3,O1CC1C,0
6628-77-9,N=1C=C(N)C=CC1OC,0
20780-53-4,O1CC1C=2C=CC=CC2,0
7663-77-6,O=C1N(CCCN)CCC1,0
6232-88-8,O=C(O)C1=CC=C(C=C1)CBr,0
19721-22-3,OCCCS,0
15448-47-2,O1CC1C,0
1129-28-8,O=C(OC)C1=CC=CC(=C1)CBr,0
138-41-0,O=C(O)C1=CC=C(C=C1)S(=O)(=O)N,0
7318-00-5,O=C(OCC)C=C(N)C,0
2799-16-8,OC(C)CN,0
5350-93-6,ClC1=NC=C(N)C=C1,0
4403-69-4,NC=1C=CC=CC1CN,0
2799-17-9,OC(C)CN,0
879085-55-9,O=C(NC=1C=CC(Cl)=C(C1)C2=NC=CC=C2)C3=CC=C(C=C3Cl)S(=O)(=O)C,1
5345-47-1,O=C(O)C1=CC=CN=C1N,0
55276-43-2,O=S(=O)(N1CCNCC1)C,0
20780-54-5,O1CC1C=2C=CC=CC2,0
126456-43-7,OC1CC=2C=CC=CC2C1N,0
7144-05-0,NCC1CCNCC1,0
41404-58-4,FC1=CN=C(Br)C=C1,0
58757-38-3,O=C(Cl)C1=CN=C(Cl)C=C1,0
1664-40-0,NCCNC=1C=CC=CC1,0
7720-39-0,N=1C=CNC1N,0
21655-48-1,N1CC(NC(C)C1)C,0
136030-00-7,OC1CC=2C=CC=CC2C1N,0
17213-57-9,O=C(Cl)C=1C=C(OC)C=C(OC)C1,0
3222-47-7,O=C(O)C1=CN=C(C=C1)C,0
68837-59-2,O=C(O)C1=CC=C(Br)C=C1C,0
1779-81-3,N1=C(SCC1)N,0
108-49-6,N1CC(NC(C)C1)C,0
50488-42-1,FC(F)(F)C1=CN=C(Br)C=C1,0
10130-89-9,O=C(O)C1=CC=C(C=C1)S(=O)(=O)Cl,0
49773-20-8,O=S(=O)(C)CCN,0
24854-43-1,S=C1NN=CN1C,0
1192-21-8,N1=CC=C(N)N1C,0
4025-64-3,O=C(O)C1=CC=CC(=C1)S(=O)(=O)Cl,0
3524-32-1,N1=C(C=C(N)N1C)C,0
95-72-7,ClC1=CC(=CC=C1C)C,0
73781-91-6,O=C(OC)C1=CN=C(Cl)C=C1,0
6283-25-6,O=N(=O)C1=CC=C(Cl)C(N)=C1,0
75336-86-6,N1CCNC(C)C1,0
74879-18-8,N1CCNC(C)C1,0
23806-24-8,O=C(O)C=1SC=CC1C,0
76003-29-7,O=C(OC(C)(C)C)N1CC(=O)NCC1,0
38496-18-3,O=C(O)C1=CC=C(Cl)N=C1Cl,0
7175-81-7,O1CCCC1CN,0
4318-76-7,N=1C=C(N)C=CC1N,0
621-83-0,S=C(N)NCC=1C=CC=CC1,0
7170-01-6,N=1N=C(NC1)C,0
33233-67-9,O=C(O)C1=CC=C(C=C1)CNC(=O)OC(C)(C)C,0
99636-32-5,O(C)CC(N)C,0
21035-59-6,N=1C=CC=CC1CNC,0
4393-16-2,O=S(=O)(C1=CC=C(C=C1)CN)C,0
1122-71-0,OCC1=NC(=CC=C1)C,0
98015-45-3,N(C(C)(C)C)=P1(N(C)CCCN1C)N(CC)CC,0
15715-41-0,O(P(OCC)C)CC,0
2510-36-3,O=C(O)C=1C(=NOC1C)C,0
99548-55-7,O=C(OC)C1=CC=C(Br)C=C1C,0
1068-47-9,OC(C)CS,0
218777-23-2,Br[Zn]C1=NC=CC=C1,0
60702-69-4,N#CC1=CC=C(F)C=C1Cl,0
5345-27-7,O=C(O)C1=CC=CC(=C1)S(=O)(=O)C,0
67832-11-5,N#CC1=CC=C(Br)C=C1C,0
6302-65-4,O=C(OC)C1=CC=C(S)C=C1,0
18358-63-9,O=C(OC)C1=CC=C(C=C1)NC,0
7271-44-5,S=C1NN=C(N1)C,0
393-55-5,O=C(O)C1=CC=CN=C1F,0
55715-03-2,O=C(O)C1=CC=C(C(=C1)N(=O)=O)CBr,0
586-30-1,O=C(O)C1=CC=C(C(O)=C1)C,0
7697-27-0,O=C(O)C1=CC=C(C=C1Br)C,0
1606-49-1,N1=CNCCC1,0
6627-60-7,N=1C(=CC=CC1CN)C,0
53250-83-2,O=C(O)C1=CC=C(C=C1Cl)S(=O)(=O)C,0
17616-04-5,O=C(O)C1=CC=C(C=C1)N2C=NC=C2,0
17874-79-2,O=C(O)C1=NC=C(C=C1)C(=O)OC,0
46004-37-9,O=C(OC)C1=CC=C(N)C=C1Cl,0
1967-31-3,O=C(O)C1=CC=C(C(=O)O)C(Cl)=C1,0
704-45-0,O=C(O)C1=CC=C(C=C1OC)C,0
4066-41-5,O=C(O)C=1SC(=CC1)C(=O)C,0
40546-33-6,N1=CNC(=C1)CCCN,0
2302-88-7,O=C(NNC(=S)N)C,0
42860-10-6,O=C(O)C1=CC=C(Cl)C(Br)=C1,0
14678-05-8,N=1OC(N)=CC1,0
18643-86-2,O=C(OC)C1=CC=C(C(=O)OC)C(Br)=C1,0
16588-26-4,O=N(=O)C1=CC=C(Cl)C(Br)=C1,0
330-17-6,O=C(O)C1=CC=C(SC(F)(F)F)C=C1,0
24665-93-8,N1=C(OCC1)N,0
106904-10-3,O=C(Cl)C1=CC=C(C=C1Cl)S(=O)(=O)C,0
3556-86-3,O=C(OC)C1=CC=C(C(O)=C1)C,0
13324-11-3,O=C(OC)C1=CC=C(C=C1Cl)N(=O)=O,0
1206-37-7,O=C(O)C1=CC=C(C=C1)S(=O)(=O)N(C)C,0
13205-49-7,O=C(O)C1=CC=C(SCC)C=C1,0
78358-86-8,BrCCN1C=CC=C1,0
60166-86-1,O=C(O)C=1SC(=CC1)S(=O)(=O)C,0
78190-05-3,O=C(O)C1=CC=C(C=C1)N2N=NN=C2,0
88089-94-5,O=C(OC)C1=CC=C(C(=C1)N(=O)=O)CBr,0
113023-73-7,O=C(O)C1=CC=C(C=C1)C(Br)C,0
14186-60-8,O=C(OC)C1=CC=C(C(=O)OC)C(=C1)C,0
393085-45-5,O=C(O)C1=CC=C(C=C1N)S(=O)(=O)C,0
164331-38-8,O=C(OC(C)(C)C)N1CCN(CC1)S(=O)(=O)C,0
74534-15-9,O=N(=O)C1=CC=C(Cl)C(I)=C1,0
299181-75-2,O=C(O)C1=CC=CC(=C1)S(=O)(=O)N2CCOCC2,0
3424-43-9,O=C(OCC)C=1C=CC(=O)NC1C,0
89938-62-5,O=C(O)C1=CC(=CC=C1Cl)S(=O)(=O)C,0
181772-16-7,O=C(O)CCC=1C=C(C=C(C1)C(F)(F)F)C(F)(F)F,0
573764-31-5,ClC1=CC=C(N)C=C1I,0
312-22-1,O=C(O)C1=CC=C(C=C1)S(=O)(=O)C(F)(F)F,0
879088-41-2,ClC=1C=CC(N)=CC1C2=NC=CC=C2,0
