CAS Registry Number,Canonical SMILES,key
130570-60-4,OC=1C=CC=2C=CN(C2C1)C,0
98545-15-4,N(C)CCN1CCN(C)CC1,0
60680-97-9,N#CC1=CC=2C=CC=CC2N1C,0
1825288-95-6,O=N(=O)C1=CC(N)=C(OC)C=C1N(C)CCN(C)C,0
937366-57-9,ClC=1N=CC(Cl)=C(N1)C2=CNC=3C=CC=CC32,0
167479-21-2,O=C(OC)C1=CC=CC=2C=CN(C21)C,0
129848-59-5,C1=CC=2C=CC3=C(C2N1)CCC3,0
24265-23-4,BrC1=CCOCC1,0
890534-65-3,C=1C=CC2=C(C1)C=CN2C3CC3,0
226085-17-2,O=C(OC(C)(C)C)N1C=C(Br)C=2C=CC=NC21,0
1421373-99-0,O=C(C=C)NC1=CC(NC=2N=CC=C(N2)C3=CN(C=4C=CC=CC34)C)=C(OC)C=C1N(C)CCNC,0
1185427-32-0,N1=CC=CC2=C1N(C=C2B3OC(C)(C)C(O3)(C)C)C,0
69312-43-2,O=C(OC(C)C)C1=CN=C(Cl)N=C1Cl,0
23210-47-1,N(C)CC1N(C)CCC1,0
1356963-19-3,ClC=1N=CC(Cl)=C(N1)C2=CN(C=3C=CC=CC23)C,0
1224709-13-0,ClC1=NC=C(Cl)C(=N1)C=2C=NN3C=CC=CC23,0
1421371-97-2,O=N(=O)C=1C=C(N)C(OC)=CC1Br,0
3141-80-8,OC(COC)CN(CC)CC,0
1847466-05-0,ClC1=CC(Br)=CC=C1OCC2=NC=CC=C2,0
1426420-90-7,N1=C(C=2C=CC=CC2N1C)[Sn](CCCC)(CCCC)CCCC,0
1421373-35-4,O=C(OC(C)(C)C)N(C)CCN(C1=CC(OC)=C(C=C1N(=O)=O)NC=2N=CC=C(N2)C3=CN(C=4C=CC=CC34)C)C,0
1421372-44-2,O=N(=O)C=1C=C(NC=2N=CC(Cl)=C(N2)C3=CNC=4C=CC=CC43)C(OC)=CC1F,0
783325-25-7,O=C(OC(C)(C)C)N1CCCC1CNC,0
1847464-89-4,O=C(OC(C)C)C=1C=NC(=NC1C2=CN(C=3C=CC=CC23)C)NC=4C=C(C(=CC4OC)N(C)CCN(C)C)N(=O)=O,0
1847463-39-1,O=C(OC(C)C)C=1C=NC(Cl)=NC1C2=CN(C=3C=CC=CC23)C,0
1421373-34-3,O=C(OC(C)(C)C)N(C)CCN(C=1C=C(OC)C(=CC1N)NC=2N=CC=C(N2)C3=CN(C=4C=CC=CC34)C)C,0
1421373-33-2,O=C(C=C)NC1=CC(NC=2N=CC=C(N2)C3=CN(C=4C=CC=CC34)C)=C(OC)C=C1N(C)CCN(C(=O)OC(C)(C)C)C,0
