CAS Registry Number,Canonical SMILES,key
134330-49-7,BrC(C)CO[Si](C)(C)C(C)(C)C,0
133866-72-5,BrCC(O[Si](C)(C)C(C)(C)C)CO[Si](C)(C)C(C)(C)C,0
41165-34-8,O=C(OCCBr)C1=CC=C(OC)C(OC)=C1,0
20121-77-1,O=C(OCCBr)C1CC1,0
446311-24-6,O=C(OCCBr)N1CCOCC1,0
404949-27-5,O=C(C=CC1=CC=C(C=C1)CN(CCC2=CNC=3C=CC=CC32)C(C)C)NO,0
80336-89-6,O=C(OCCBr)CC1=CC=C(OC)C=C1,0
65768-80-1,O=S(=O)(Br)C1=CC=CC2=CC=CN=C21,0
404953-24-8,O=C(C=CC1=CC=C(C=C1)CNCC2=CC=3C=CC=CC3N2)NO,0
404951-40-2,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2C4=NC=CC=C4)NO,0
404951-38-8,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2C(C)(C)C)NO,0
404951-35-5,O=C(C=CC1=CC=C(C=C1)CNCCC2=CC=3C=CC=CC3N2)NO,0
404951-34-4,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2C=4SC=CC4)NO,0
404951-32-2,O=C(C=CC1=CC=C(C=C1)CNCCCCC2=CNC=3C=CC=CC32)NO,0
404951-31-1,O=C(C=CC1=CC=C(C=C1)C(NCCC2=CNC=3C=CC=CC32)C)NO,0
404951-18-4,O=C(C=CC1=CC=C(C=C1)CNCCC2=CC=C3OCOC3=C2)NO,0
404951-14-0,O=C(C=CC1=CC=C(C=C1)CNCCN2C(=NC=3C=CC=CC32)C)NO,0
404951-06-0,O=C(C=CC1=CC=C(C=C1)CNCCC2=CNC=3N=CC=CC32)NO,0
404951-04-8,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2C=4C=CC=CC4)NO,0
404951-01-5,O=C(C=CC1=CC=C(C=C1)CNCCNC=2C=CC=CC2OC)NO,0
404950-89-6,O=C(C=CC1=CC=C(C=C1)CN(CCC2=CNC=3C=CC=CC32)C(CO)CO)NO,0
404950-64-7,O=C(C=CC1=CC=C(C=C1)CN(CCC2=CNC=3C=CC=CC32)C4CCOCC4)NO,0
404950-36-3,O=C(C=CC1=CC=C(C=C1)CNCC2=CNC=3C=CC=CC32)NO,0
404950-34-1,O=C(C=CC1=CC=C(C=C1)CNC(CO)CC2=CNC=3C=CC=CC32)NO,0
404950-33-0,O=C(C=CC1=CC=C(C=C1)CNC(C)CC2=CNC=3C=CC=CC32)NO,0
404949-40-2,O=C(C=CC1=CC=C(C=C1)CN(CC)CCC2=CNC=3C=CC=CC32)NO,0
404949-36-6,O=C(C=CC1=CC=C(C=C1)CN(CCC2=CNC=3C=CC=CC32)C4CCCCC4)NO,0
404948-77-2,O=C(C=CC1=CC=C(C=C1)CN(CCC2=CNC=3C=CC=CC32)CCC)NO,0
404948-68-1,O=C(C=CC1=CC=C(C=C1)CNCCC2=COC=3C=CC=CC32)NO,0
404948-66-9,O=C(C=CC1=CC=C(C=C1)CN2CC=3NC=4C=CC=CC4C3CC2)NO,0
404948-61-4,O=C(C=CC1=CC=C(C=C1)CNCCC2=CNC=3C=CC(OCC=4C=CC=CC4)=CC32)NO,0
404948-58-9,O=C(C=CC1=CC=C(C=C1)CNCCCC2=CNC=3C=CC=CC32)NO,0
404948-39-6,O=C(C=CC1=CC=C(C=C1)CNCCCN2C=3C=CC=CC3C=4C=CC=CC42)NO,0
165751-29-1,O=C(N1CCN(C=2C=CC=CC2)CC1)COC=3C=CC=4NC=C(C4C3)CCN,0
1433852-39-1,O=CC1=CC=C(C=CC(=O)O)C=C1F,0
404951-51-5,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2C(C)C)NO,0
404951-50-4,O=C(C=CC1=CC=C(C=C1)CN(C=2C=CC=CC2)CCC3=CNC=4C=CC=CC43)NO,0
404951-49-1,O=C(C=CC1=CC=C(C=C1)CNC(=O)C(=O)C=2C=3C=CC=CC3NC2C(C)C)NO,0
404951-48-0,O=C(C=CC1=CC=C(C(F)=C1)CN(CCO)CCC=2C=3C=CC=CC3NC2C)NO,0
404951-47-9,O=C(C=CC1=CC=C(C(F)=C1)CNCCC=2C=3C=CC=CC3NC2C)NO,0
404951-46-8,O=C(C=CC=1C=C(F)C(=C(F)C1)CNCCC=2C=3C=CC=CC3NC2C)NO,0
404951-45-7,O=C(C=CC1=CC=C(C=C1)CN(CCC=2C=3C=CC=CC3NC2C)C4CCOCC4)NO,0
404951-44-6,O=C(C=CC1=CC=C(C=C1)CNCCC2=C(C#CCO)NC=3C=CC=CC32)NO,0
404951-43-5,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2CCCO)NO,0
404951-42-4,O=C(C=CC1=CC=C(C=C1)CN(CCO)CCC=2C=3C=CC=CC3NC2C(C)(C)C)NO,0
404951-41-3,O=C(C=CC1=CC=C(C=C1)CN2C(=O)NC(=O)C2CC3=CNC=4C=CC=CC43)NO,0
404951-39-9,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2C4CCCCC4)NO,0
404951-37-7,O=C(C=CC1=CC=C(C=C1)CN(CCO)CCCCC2=CNC=3C=CC=CC32)NO,0
404951-36-6,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2CC)NO,0
404951-33-3,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2C=4OC=CC4)NO,0
404951-29-7,O=C(C=CC1=CC=C(C=C1)CN(CCO)CCCCC2=C(Cl)NC=3C=CC=CC32)NO,0
404951-27-5,O=C(C=CC1=CC=C(C=C1)CNCCCCC2=C(Cl)NC=3C=CC=CC32)NO,0
404951-25-3,O=C(C=CC1=CC=C(C=C1)CN(CCC=2C=3C=CC=CC3NC2C)C(C)(C)C)NO,0
404951-23-1,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=C(F)C=CC3NC2C)NO,0
404951-22-0,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2C(F)(F)F)NO,0
404951-20-8,O=C(C=CC1=CC=C(C=C1N(=O)=O)CNCCC=2C=3C=CC=CC3NC2C)NO,0
404951-17-3,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2C=4C=CC(=CC4)C(F)(F)F)NO,0
404951-16-2,O=C(C=CC1=CC=C(C=C1)CN(CCC=2C=3C=CC=CC3NC2C)C(C)C)NO,0
404951-13-9,O=C(C=CC1=CC=C(C=C1)CNCCC=2C=3C=CC=CC3NC2C=4C=CC(OC)=CC4)NO,0
404951-12-8,O=C(C=CC1=CC=C(C=C1)NC(=O)C(NC(=O)NO)CC2=CNC=3C=CC=CC32)NO,0
404951-11-7,O=C(C=CC1=CC=C(C=C1)CNCCNC=2C=CC=CC2)NO,0
404951-10-6,O=C(C=CC1=CC=C(C=C1)CNCCNC(=O)C=2C=CC=CC2N)NO,0
404951-09-3,O=C(C=CC1=CC=C(C=C1)CN(CCN2C=CC=3C=CC=NC32)CCN4C=CC=5C=CC=NC54)NO,0
404951-08-2,O=C(C=CC1=CC=C(C=C1)C(=O)NCCC=2C=3C=CC=CC3NC2C)NO,0
404951-07-1,O=C(C=CC1=CC=C(C=C1)CN(CCO)CCC=2C=3C=CC=CC3NC2C=4C=CC=CC4)NO,0
404951-05-9,O=C(C=CC1=CC=C(C=C1)CNCCN2C=CC=3C=CC=NC32)NO,0
404951-02-6,O=C(C=CC1=CC=C(C=C1)CN(CCC2=CNC=3C=CC=CC32)C(C)(C)C)NO,0
404950-99-8,O=C(C=CC1=CC=C(C=C1)CN(CCC2=CNC=3C=CC(F)=CC32)C(C)C)NO,0
404950-98-7,O=C(C=CC1=CC=C(C=C1)CN2CCN(C3=CC=C(OC)C=C3)CC2)NO,0
404950-97-6,O=C(C=CC1=CC=C(C=C1)C(=O)NC(C(=O)OC)CC2=CNC=3C=CC=CC32)NO,0
404950-96-5,O=C(C=CC1=CC=C(C=C1)CN2CCN(C=3C=CC=CC3F)CC2)NO,0
404950-95-4,O=C(C=CC1=CC=C(C=C1)CN2CCN(C=3C=CC=CC3)CC2)NO,0
404950-94-3,O=C(C=CC1=CC=C(C=C1)CN2CCN(C=3C=CC=C(OC)C3)CC2)NO,0
404950-93-2,O=C(C=CC1=CC=C(C=C1)CN(CCC2=CNC=3C=CC=CC32)C(C)CO)NO,0
