CAS Registry Number,Canonical SMILES,key
32315-10-9,O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,0
96-50-4,N=1C=CSC1N,0
1820-80-0,N=1NC=CC1N,0
1603-91-4,N1=C(SC=C1C)N,0
7305-71-7,N=1C=C(SC1N)C,0
108-33-8,N=1N=C(SC1N)C,0
1750-42-1,N=1OC=CC1N,0
475108-18-0,O=C(NC1=NOC(=C1)C)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C=C2Cl,1
14068-53-2,N=1N=C(SC1N)CC,0
14678-02-5,N=1OC(N)=CC1C,0
53266-94-7,O=C(OCC)CC=1N=C(SC1)N,0
10444-89-0,FC(F)(F)C1=NN=C(S1)N,0
24340-76-9,N=1SC(N)=CC1C,0
39222-73-6,N=1N=C(SC1N)C(C)(C)C,0
25660-70-2,N=1N=C(SC1SCC)N,0
41663-73-4,ClC=1SC(=NC1)N,0
74370-93-7,N1=C(SC=C1C(C)(C)C)N,0
30748-47-1,O=C(C=1SC(=NC1C)N)C,0
57235-50-4,N=1N=C(SC1N)C2CC2,0
347161-74-4,FC1=CC(N)=CC=C1OC=2C=CN=C3C=C(OC)C(OC)=CC32,0
286371-44-6,ClC1=CC(OC=2C=CN=C3C=C(OC)C(OC)=CC32)=CC=C1N,0
228559-74-8,FC1=CC(OC=2C=CN=C3C=C(OC)C(OC)=CC32)=CC=C1N,0
286371-71-9,N=1C=NC=2C=C(OC)C(OC)=CC2C1OC3=CC=C(N)C=C3,0
347161-75-5,ClC1=CC(N)=CC=C1OC=2C=CN=C3C=C(OC)C(OC)=CC32,0
228559-82-8,N=1C=CC(OC2=CC=C(N)C(=C2)C)=C3C=C(OC)C(OC)=CC13,0
347161-76-6,N=1C=CC(OC2=CC=C(N)C=C2C)=C3C=C(OC)C(OC)=CC13,0
286371-45-7,N=1C=CC(OC2=CC=C(N)C(=C2C)C)=C3C=C(OC)C(OC)=CC13,0
286371-63-9,ClC1=CC(OC2=NC=NC=3C=C(OC)C(OC)=CC23)=CC=C1N,0
286371-46-8,N=1C=CC(OC=2C=C(C(N)=CC2C)C)=C3C=C(OC)C(OC)=CC13,0
475108-91-9,ClC1=CC(N)=CC=C1OC2=NC=NC=3C=C(OC)C(OC)=CC23,0
475108-90-8,O=C(NC1=NN=C(S1)C(C)(C)C)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C(=C2C)C,0
475108-89-5,O=C(NC1=NN=C(S1)C(C)(C)C)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C=C2F,0
475108-88-4,O=C(NC1=NN=C(S1)C(F)(F)F)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C(Cl)=C2,0
475108-87-3,O=C(NC1=NN=C(S1)C(F)(F)F)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C=C2Cl,0
475108-86-2,O=C(NC1=NN=C(S1)SCC)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C(=C2C)C,0
475108-85-1,O=C(NC1=NN=C(S1)SCC)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C=C2F,0
475108-84-0,O=C(NC1=NN=C(S1)C2CC2)NC3=CC(=C(OC=4C=CN=C5C=C(OC)C(OC)=CC54)C=C3C)C,0
475108-83-9,O=C(NC1=NN=C(S1)C2CC2)NC3=CC=C(OC=4C=CN=C5C=C(OC)C(OC)=CC54)C(Cl)=C3,0
475108-82-8,O=C(NC1=NN=C(S1)C2CC2)NC3=CC=C(OC=4C=CN=C5C=C(OC)C(OC)=CC54)C=C3Cl,0
475108-81-7,O=C(NC1=NN=C(S1)CC)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C(Cl)=C2,0
475108-80-6,O=C(NC1=NN=C(S1)CC)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C=C2Cl,0
475108-79-3,O=C(NC1=NN=C(S1)CC)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C(F)=C2,0
475108-78-2,O=C(NC1=NN=C(S1)CC)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C=C2F,0
475108-77-1,O=C(NC1=NN=C(S1)CC)NC2=CC=C(OC=3C=CN=C4C=C(OC)C(OC)=CC43)C(=C2C)C,0
