CAS Registry Number,Canonical SMILES,key
64-17-5,OCC,0
67-56-1,OC,0
56-65-5,O=P(O)(O)OP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC=3C(=NC=NC32)N)C(O)C1O,0
80-62-6,O=C(OC)C(=C)C,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
107-02-8,O=CC=C,0
75-16-1,Br[Mg]C,0
358-23-6,O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F,0
75-25-2,BrC(Br)Br,0
67-51-6,N=1NC(=CC1C)C,0
61676-62-8,O(B1OC(C)(C)C(O1)(C)C)C(C)C,0
4746-97-8,O=C1CCC2(OCCO2)CC1,0
196929-78-9,O=S(N)C(C)(C)C,0
343338-28-3,O=S(N)C(C)(C)C,0
31230-17-8,N=1NC(=CC1N)C,0
17159-79-4,O=C(OCC)C1CCC(=O)CC1,0
33252-28-7,N#CC1=CN=C(Cl)C=C1,0
5424-21-5,ClC=1N=C(Cl)C=C(N1)C,0
15878-00-9,ClC=1C=NNC1,0
487-51-4,O=C(OCC)C1C(=CC(=O)CC1)C,0
35277-02-2,FC=1C=NNC1,0
139042-59-4,O=C(C1=CN=C(Br)C=C1)C,0
4472-45-1,ClC=1N=C(N=C(C1)C)C,0
36070-75-4,N#CC=1N=CC(Cl)=NC1,0
2097132-94-8,O=C(NC(C1=CN=C(C=C1)N2N=CC(F)=C2)C)C3(OC)CCC(C=4N=C(C=C(N4)C)NC5=NNC(=C5)C)CC3,1
1049004-32-1,O=C(OCC)C1CC=C(B2OC(C)(C)C(O2)(C)C)CC1,0
73112-16-0,BrC=1N=C(Br)C=C(C1)C,0
578008-32-9,O=C(OC(C)(C)C)N1N=C(N)C=C1C,0
851435-28-4,ClC=1N=C(C=C(N1)C)NC2=NNC(=C2)C,0
160252-31-3,O=C(C=1N=CC(Cl)=NC1)C,0
1980023-96-8,FC=1C=NN(C1)C2=NC=C(C=C2)C(N)C,0
1980023-94-6,O=C(C1=CN=C(C=C1)N2N=CC(F)=C2)C,0
62617-91-8,O=C(OCC)C1CCC(=O)CC1C,0
89466-59-1,ClC=1N=C(SC)C=C(N1)C,0
1980023-95-7,O=S(NC(C1=CN=C(C=C1)N2N=CC(F)=C2)C)C(C)(C)C,0
