CAS Registry Number,Canonical SMILES,key
98-88-4,O=C(Cl)C=1C=CC=CC1,0
85-44-9,O=C1OC(=O)C=2C=CC=CC12,0
99-09-2,O=N(=O)C=1C=CC=C(N)C1,0
152459-95-5,O=C(NC1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C)C4=CC=C(C=C4)CN5CCN(C)CC5,1
122-01-0,O=C(Cl)C1=CC=C(Cl)C=C1,0
874-60-2,O=C(Cl)C1=CC=C(C=C1)C,0
403-43-0,O=C(Cl)C1=CC=C(F)C=C1,0
5271-67-0,O=C(Cl)C=1SC=CC1,0
350-03-8,O=C(C=1C=NC=CC1)C,0
2243-83-6,O=C(Cl)C=1C=CC=2C=CC=CC2C1,0
21615-34-9,O=C(Cl)C=1C=CC=CC1OC,0
10400-19-8,O=C(Cl)C=1C=NC=CC1,0
6068-72-0,N#CC1=CC=C(C=C1)C(=O)Cl,0
14254-57-0,O=C(Cl)C=1C=CN=CC1,0
99-55-8,O=N(=O)C1=CC=C(C(N)=C1)C,0
2051-49-2,O=C(OC(=O)CCCCC)CCCCC,0
2251-50-5,O=C(Cl)C=1C(F)=C(F)C(F)=C(F)C1F,0
29745-44-6,O=C(Cl)C1=NC=CC=C1,0
1535-73-5,FC(F)(F)OC1=CC=CC(N)=C1,0
152460-10-1,N1=CC=CC(=C1)C=2N=C(N=CC2)NC3=CC(N)=CC=C3C,0
55314-16-4,O=C(C=CN(C)C)C=1C=NC=CC1,0
152460-09-8,O=N(=O)C1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C,0
66521-54-8,O=C(C=CN(C)C)C1=NC=CC=C1,0
831-75-4,FC(F)C(F)(F)OC1=CC=CC(N)=C1,0
148077-69-4,O=C(Cl)C1=CC=C(C=C1)CN2CCN(C)CC2,0
66521-53-7,O=C(C=CN(C)C)C=1C=CN=CC1,0
401-94-5,O=N(=O)C1=CC(N)=CC(=C1)C(F)(F)F,0
618-61-1,O=N(=O)C1=CC(N)=CC(=C1)C,0
152459-94-4,O=C(NC1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C)C=4C=CC=CC4,0
152460-06-5,N1=CC=CC(=C1)C=2N=C(N=CC2)NC=3C=CC=C(N)C3,0
152459-75-1,O=N(=O)C=1C=CC=C(C1)NC=2N=CC=C(N2)C3=CN=CC=C3,0
152459-96-6,O=C(NC1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C)C4=CC=C(C=C4)C,0
152459-93-3,O=C(NC=1C=CC=C(C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C4=CC=C(C=C4)CN5CCN(C)CC5,0
152459-98-8,O=C(NC1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C)C4=CC=C(Cl)C=C4,0
152459-97-7,O=C(NC1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C)C=4C=CC=5C=CC=CC5C4,0
