CAS Registry Number,Canonical SMILES,key
108-24-7,O=C(OC(=O)C)C,0
74-88-4,IC,0
141-43-5,OCCN,0
110-89-4,N1CCCCC1,0
110-91-8,O1CCNCC1,0
100-39-0,BrCC=1C=CC=CC1,0
74-89-5,NC,0
100-46-9,NCC=1C=CC=CC1,0
98-59-9,O=S(=O)(Cl)C1=CC=C(C=C1)C,0
124-40-3,N(C)C,0
109-89-7,N(CC)CC,0
288-32-4,N=1C=CNC1,0
124-63-0,O=S(=O)(Cl)C,0
111-42-2,OCCNCCO,0
18162-48-6,Cl[Si](C)(C)C(C)(C)C,0
123-75-1,N1CCCC1,0
75-04-7,NCC,0
110-85-0,N1CCNCC1,0
108-98-5,SC=1C=CC=CC1,0
75-31-0,NC(C)C,0
151-50-8,N#C[K],0
103-71-9,O=C=NC=1C=CC=CC1,0
103-82-2,O=C(O)CC=1C=CC=CC1,0
64-04-0,NCCC=1C=CC=CC1,0
100-58-3,Br[Mg]C=1C=CC=CC1,0
358-23-6,O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F,0
75-64-9,NC(C)(C)C,0
3282-30-2,O=C(Cl)C(C)(C)C,0
58479-61-1,Cl[Si](C=1C=CC=CC1)(C=2C=CC=CC2)C(C)(C)C,0
74-11-3,O=C(O)C1=CC=C(Cl)C=C1,0
2393-23-9,O(C1=CC=C(C=C1)CN)C,0
69739-34-0,O=S(=O)(O[Si](C)(C)C(C)(C)C)C(F)(F)F,0
5328-37-0,O=CC(O)C(O)C(O)CO,0
1099-45-2,O=C(OCC)C=P(C=1C=CC=CC1)(C=2C=CC=CC2)C=3C=CC=CC3,0
111-49-9,N1CCCCCC1,0
762-72-1,C=CC[Si](C)(C)C,0
106-54-7,ClC1=CC=C(S)C=C1,0
104-86-9,ClC1=CC=C(C=C1)CN,0
459-46-1,FC1=CC=C(C=C1)CBr,0
104-12-1,O=C=NC1=CC=C(Cl)C=C1,0
696-63-9,SC1=CC=C(OC)C=C1,0
81290-20-2,FC(F)(F)[Si](C)(C)C,0
611-73-4,O=C(O)C(=O)C=1C=CC=CC1,0
24850-33-7,C=CC[Sn](CCCC)(CCCC)CCCC,0
5416-93-3,O=C=NC1=CC=C(OC)C=C1,0
118-41-2,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1,0
352-13-6,FC1=CC=C([Mg]Br)C=C1,0
534-03-2,OCC(N)CO,0
23356-96-9,OCC1NCCC1,0
15186-48-8,O=CC1OC(OC1)(C)C,0
7143-01-3,O=S(=O)(OS(=O)(=O)C)C,0
2799-21-5,OC1CNCC1,0
253128-41-5,O=C1CC2OC3C(OC4C5OC6CC(OC64)(OC35)CCC7OC(C(=C)C7)CCC8OC(C(=C)C(C)C8)CC9OC(CC(O)CN)C(OC)C9C1)CC2,1
14470-28-1,ClC(C=1C=CC=CC1)(C=2C=CC=CC2)C3=CC=C(OC)C=C3,0
872-35-5,S=C1NC=CN1,0
68832-13-3,OCC1NCCC1,0
89238-99-3,ClC(Cl)(Cl)C(=N)OCC1=CC=C(OC)C=C1,0
1477-49-2,O=C(O)C(=O)C1=CNC=2C=CC=CC21,0
420-90-6,FC(F)(Br)C=C,0
88755-16-2,O=C(O)C(=O)C1=CC(OC)=C(OC)C(OC)=C1,0
33935-64-7,O=C(OC)C(=CC)CBr,0
253128-15-3,O=C1CC2OC3C(OC4C5OC6CC(OC64)(OC35)CCC7OC(C(=C)C7)CCC8OC(C(=C)C(C)C8)CC9OC(CC(O)CO)C(OC)C9C1)CC2,0
