CAS Registry Number,Canonical SMILES,key
64-17-5,OCC,0
630-08-0,[C-]#[O+],0
110-89-4,N1CCCCC1,0
110-91-8,O1CCNCC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
75-65-0,OC(C)(C)C,0
78-83-1,OCC(C)C,0
110-85-0,N1CCNCC1,0
109-86-4,OCCOC,0
504-29-0,N=1C=CC=CC1N,0
110-80-5,OCCOCC,0
2393-23-9,O(C1=CC=C(C=C1)CN)C,0
109-04-6,BrC1=NC=CC=C1,0
141-86-6,N=1C(N)=CC=CC1N,0
571190-30-2,O=C1C(C(=O)C)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5)C,1
97674-02-7,O(C(=C)[Sn](CCCC)(CCCC)CCCC)CC,0
763-69-9,O=C(OCC)CCOCC,0
141-91-3,O1C(C)CNCC1C,0
3852-09-3,O=C(OC)CCOC,0
108-49-6,N1CC(NC(C)C1)C,0
39856-50-3,O=N(=O)C1=NC=C(Br)C=C1,0
571188-59-5,O=C(OC(C)(C)C)N1CCN(C2=CN=C(N)C=C2)CC1,0
84477-72-5,N1CCNC(C)(C)C1,0
571189-49-6,N=1C=C(C=CC1N)N2CCN(C)CC2,0
571189-78-1,N=1C=C(C=CC1N)N2CCOCC2,0
571189-16-7,O=C(OC(C)(C)C)N1CCN(C2=CN=C(C=C2)N(=O)=O)CC1,0
571188-82-4,O=C(OC(C)(C)C)N1CCN(C2=CN=C(C=C2)NC=3N=CC4=C(N3)N(C(=O)C(Br)=C4C)C5CCCC5)CC1,0
491855-89-1,O=N(=O)C1=NC=C(C=C1)N2CCOCC2,0
94924-94-4,N=1C=C(C=CC1N)N2CCCCC2,0
211245-64-6,O=CC1=CN=C(N=C1NC2CCCC2)SC,0
211245-62-4,O=C(OCC)C1=CN=C(N=C1NC2CCCC2)SC,0
26448-91-9,O=C(OCC)CCCOCC,0
444146-17-2,O=N(=O)C1=NC=C(C=C1)N2CCCCC2,0
30315-34-5,N=1C=C(C=CC1N)C2N(C)CCC2,0
571189-27-0,OC1CCN(C2=CN=C(N)C=C2)CC1,0
571188-81-3,O=C1C(Br)=C(C=2C=NC(=NC2N1C3CCCC3)S(=O)C)C,0
362656-23-3,O=C1C=C(C=2C=NC(=NC2N1C3CCCC3)SC)C,0
571190-22-2,O=C1C=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5)C,0
571189-23-6,O=C(OC(C)(C)C)N1CCN(C=2C=CN=C(N)C2)CC1,0
211245-66-8,O=C1C=CC=2C=NC(=NC2N1C3CCCC3)SC,0
161617-96-5,O=C(OCC=1C=CC=CC1)NCCC(=O)OCC,0
571189-10-1,O=C(OC(C)(C)C)N1CCN(C2=CN=C(C=C2)NC=3N=CC4=C(N3)N(C(=O)C(C(OCC)=C)=C4C)C5CCCC5)CC1,0
571189-65-6,O=C(OC(C)(C)C)N1CCN(C2=CN=C(C=C2)NC=3N=CC4=C(N3)N(C(=O)C=C4C)C5CCCC5)CC1,0
362656-25-5,O=C1C(Br)=C(C=2C=NC(=NC2N1C3CCCC3)SC)C,0
571191-15-6,O=C1C(C(=O)C)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)NCCN)C,0
571189-68-9,O=C(OC(C)(C)C)N1CCN(C2=CN=C(N)C=C2)CC1(C)C,0
571189-64-5,O=C1C(C(=O)C)=C(C=2C=NC(=NC2N1C3CCCC3)N)C,0
571189-51-0,O=C1C(C(=O)C)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCN(C)CC5)C,0
571189-21-4,O=C1C(Br)=CC=2C=NC(=NC2N1C3CCCC3)SC,0
571190-02-8,N=1C=C(C=CC1N)N2CC(OC(C)C2)C,0
571189-73-6,O=C(OC(C)(C)C)N1C(C)CN(C2=CN=C(N)C=C2)CC1C,0
211245-67-9,O=C1C=CC=2C=NC(=NC2N1C3CCCC3)S(=O)C,0
571189-81-6,O=C1C(C(=O)C)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCOCC5)C,0
571189-79-2,O=C1C(Br)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCOCC5)C,0
571189-57-6,O=C1C(C(=O)C)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCC(O)CC5)C,0
571189-34-9,O=C1C(C(=O)C)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N(CCOC)CCOC)C,0
571189-32-7,O=C1C(Br)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N(CCOC)CCOC)C,0
571188-70-0,O=C(O)C1=CC=2C=NC(=NC2N(C1=O)C3CCCC3)SC,0
352363-26-9,O=C1C=CC=2C=NC(Cl)=NC2N1C(C)C,0
571190-20-0,O=C1C(C(=O)C)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCCC5)C,0
571190-01-7,O=N(=O)C1=NC=C(C=C1)N2CC(OC(C)C2)C,0
571189-97-4,O=C1C(=CC=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5)COCC,0
571189-63-4,O=C1C(C(=O)C)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=CC=C4)C,0
571189-55-4,O=C1C(Br)=C(C=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCC(O)CC5)C,0
