CAS Registry Number,Canonical SMILES,key
124-40-3,N(C)C,0
288-32-4,N=1C=CNC1,0
1066-54-2,C#C[Si](C)(C)C,0
109-01-3,N1CCN(C)CC1,0
407-25-0,O=C(OC(=O)C(F)(F)F)C(F)(F)F,0
107-20-0,O=CCCl,0
411235-57-9,OB(O)C1CC1,0
822-36-6,N1=CNC(=C1)C,0
5049-61-6,N=1C=CN=C(N)C1,0
943319-70-8,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C5C=CC=NN45)=C3)C,1
10111-08-7,O=CC1=NC=CN1,0
5470-49-5,O=S(=O)(C1=CC=C(N)C=C1)C,0
132958-72-6,N1CCC(N(C)C)C1,0
121-86-8,O=N(=O)C1=CC=C(C(Cl)=C1)C,0
82998-57-0,O=C(O)C1=CC=C(C(I)=C1)C,0
54962-75-3,FC(F)(F)C=1C=C(Br)C=C(N)C1,0
24016-03-3,N=1C=CC=C(OCC=2C=CC=CC2)C1N,0
641571-11-1,FC(F)(F)C=1C=C(N)C=C(C1)N2C=NC(=C2)C,0
694499-26-8,FC(F)(F)C1=CC(N)=CC=C1CN2CCN(C)CC2,0
35944-64-0,IC1=CC(N)=CC=C1C,0
4926-47-0,BrC1=CN=C2C=CC=CN12,0
274-79-3,N=1C=CN2C=CN=C2C1,0
18087-73-5,BrC1=CN=C2C=CC=NN12,0
89976-12-5,O=N(=O)C1=CC=C(C(=C1)C(F)(F)F)C,0
943320-61-4,C#CC1=CN=C2C=CC=NN12,0
52107-98-9,O=C(Cl)C1=CC=C(C(I)=C1)C,0
57948-41-1,BrC1=CN=C2C=NC=CN12,0
859282-11-4,O=C(O)C1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2,0
943320-50-1,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(I)=C3)C,0
54534-78-0,N=1C=CNC1CN(C)C,0
694499-24-6,O=N(=O)C1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2,0
943320-60-3,C(#C[Si](C)(C)C)C1=CN=C2C=CC=NN12,0
943320-53-4,C#CC1=CN=C2C=CC=CN12,0
926922-18-1,O=C(NC=1C=C(C=C(C1)C(F)(F)F)N2C=NC(=C2)C)C3=CC=C(C(I)=C3)C,0
96428-16-9,N=1C=CN2C=CC=C(OCC=3C=CC=CC3)C12,0
943319-87-7,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCNCC2)C3=CC=C(C(C#CC4=CN=C5C=CC=NN45)=C3)C,0
943320-67-0,ClC1=CC(N)=CC=C1CN2CCN(C)CC2,0
943320-63-6,FC(F)(F)C1=CC(N)=CC=C1CN2CCC(N(C)C)C2,0
943320-70-5,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C=3C=CC=C(I)C3,0
943320-48-7,FC(F)(F)C=1C=C(N)C=C(C1)N2C=NC=C2,0
943320-65-8,O=C(NC1=CC=C(C(I)=C1)C)C2=CC=C(C(=C2)C(F)(F)F)CN3CCN(C)CC3,0
943320-47-6,C#CC1=CN=C2C=NC=CN12,0
943320-68-1,O=N(=O)C1=CC=C(C(=C1)C2CC2)CN3CCN(C)CC3,0
943320-49-8,O=C(NC=1C=C(C=C(C1)C(F)(F)F)N2C=NC=C2)C3=CC=C(C(I)=C3)C,0
926922-23-8,O=C(NC1=NC=CC(=C1)C(F)(F)F)C2=CC=C(C(I)=C2)C,0
943320-69-2,O=N(=O)C1=CC=C(C(Br)=C1)CN2CCN(C)CC2,0
943320-66-9,O=N(=O)C1=CC=C(C(Cl)=C1)CN2CCN(C)CC2,0
943319-73-1,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C=3C=CC=C(C#CC4=CN=C5C=CC=NN45)C3,0
926923-09-3,O=C(NC1=NOC(=C1)C(C)(C)C)C2=CC=C(C(I)=C2)C,0
943320-72-7,O=C(OC(C)(C)C)N1CCN(CC2=CC=C(C=C2C(F)(F)F)NC(=O)C3=CC=C(C(I)=C3)C)CC1,0
943320-71-6,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(CCO)CC2)C3=CC=C(C(I)=C3)C,0
943320-62-5,O=N(=O)C1=CC=C(C(=C1)C(F)(F)F)CN2CCC(N(C)C)C2,0
1229622-64-3,O=C(NC1=CC=C(C(=C1)C2CC2)CN3CCN(C)CC3)C4=CC=C(C(I)=C4)C,0
1229622-59-6,O=C(NC1=CC=C(C(Cl)=C1)CN2CCN(C)CC2)C3=CC=C(C(I)=C3)C,0
943320-52-3,O=C(NC=1C=C(C=C(C1)C(F)(F)F)N2C=CN=C2CN(C)C)C3=CC=C(C(I)=C3)C,0
943319-69-5,O=C(NC1=CC=C(C(C#CC2=CN=C3C=CC=NN23)=C1)C)C4=CC=C(C(=C4)C(F)(F)F)CN5CCN(C)CC5,0
109388-59-2,BrC1=CN=C2C(OCC=3C=CC=CC3)=CC=CN12,0
