CAS Registry Number,Canonical SMILES,key
74-88-4,IC,0
110-91-8,O1CCNCC1,0
74-89-5,NC,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
76-05-1,O=C(O)C(F)(F)F,0
75-36-5,O=C(Cl)C,0
100-02-7,O=N(=O)C1=CC=C(O)C=C1,0
123-75-1,N1CCCC1,0
104-94-9,O(C1=CC=C(N)C=C1)C,0
108-86-1,BrC=1C=CC=CC1,0
75-31-0,NC(C)C,0
99-61-6,O=CC1=CC=CC(=C1)N(=O)=O,0
103-71-9,O=C=NC=1C=CC=CC1,0
75-64-9,NC(C)(C)C,0
60-35-5,O=C(N)C,0
106-38-7,BrC1=CC=C(C=C1)C,0
7790-94-5,O=S(=O)(Cl)O,0
540-51-2,BrCCO,0
536-90-3,O(C1=CC=CC(N)=C1)C,0
107-08-4,ICCC,0
90-11-9,BrC1=CC=CC=2C=CC=CC12,0
626-55-1,BrC=1C=NC=CC1,0
350-46-9,O=N(=O)C1=CC=C(F)C=C1,0
591-19-5,BrC1=CC=CC(N)=C1,0
106-39-8,ClC1=CC=C(Br)C=C1,0
402-43-7,FC(F)(F)C1=CC=C(Br)C=C1,0
2398-37-0,BrC1=CC=CC(OC)=C1,0
98-58-8,O=S(=O)(Cl)C1=CC=C(Br)C=C1,0
822-36-6,N1=CNC(=C1)C,0
87120-72-7,O=C(OC(C)(C)C)N1CCC(N)CC1,0
7154-73-6,NCCN1CCCC1,0
3934-20-1,ClC1=NC=CC(Cl)=N1,0
585-79-5,O=N(=O)C=1C=CC=C(Br)C1,0
401-78-5,FC(F)(F)C=1C=CC=C(Br)C1,0
108-37-2,ClC1=CC=CC(Br)=C1,0
2524-67-6,O1CCN(C2=CC=C(N)C=C2)CC1,0
556-96-7,BrC=1C=C(C=C(C1)C)C,0
1711-09-7,O=C(Cl)C=1C=CC=C(Br)C1,0
2635-13-4,BrC1=CC=C2OCOC2=C1,0
329-01-1,O=C=NC1=CC=CC(=C1)C(F)(F)F,0
20469-65-2,BrC=1C=C(OC)C=C(OC)C1,0
52488-36-5,BrC1=CC=CC=2NC=CC12,0
16153-81-4,NC1=CC=C(C=C1)N2CCN(C)CC2,0
7342-82-7,BrC1=CSC=2C=CC=CC12,0
