CAS Registry Number,Canonical SMILES,key
108-24-7,O=C(OC(=O)C)C,0
110-91-8,O1CCNCC1,0
288-32-4,N=1C=CNC1,0
109-01-3,N1CCN(C)CC1,0
106-93-4,BrCCBr,0
184475-35-2,FC1=CC=C(C=C1Cl)NC=2N=CN=C3C=C(OC)C(OCCCN4CCOCC4)=CC32,1
109-64-8,BrCCCBr,0
109-70-6,ClCCCBr,0
3132-64-7,BrCC1OC1,0
367-21-5,FC1=CC=C(N)C=C1Cl,0
367-25-9,FC1=CC=C(N)C(F)=C1,0
3863-11-4,FC1=CC=C(N)C=C1F,0
111-95-5,O(C)CCNCCOC,0
7357-67-7,ClCCCN1CCOCC1,0
13794-72-4,O=C1N=CNC2=CC(OC)=C(OC)C=C12,0
179688-53-0,O=C1N=CNC2=CC(OC)=C(OC(=O)C)C=C12,0
184475-71-6,FC1=CC=C(C=C1Cl)NC=2N=CN=C3C=C(OC)C(O)=CC32,0
179688-52-9,O=C1N=CNC2=CC(OC)=C(O)C=C12,0
92952-84-6,ClCCN1C=NC=C1,0
53710-78-4,ClCCCN1C=NC=C1,0
184475-72-7,FC1=CC=C(C=C1Cl)NC=2N=CN=C3C=C(OC)C(OCCBr)=CC32,0
184475-47-6,FC1=CC=C(C=C1Cl)NC=2N=CN=C3C=C(OC)C(OCCN4C=NC=C4)=CC32,0
184475-76-1,FC1=CC=C(C=C1Cl)NC=2N=CN=C3C=C(OC)C(OCCCBr)=CC32,0
184475-54-5,FC1=CC=C(C=C1Cl)NC=2N=CN=C3C=C(OC)C(OCCCN4C=NC=C4)=CC32,0
184475-52-3,FC1=CC=C(C=C1Cl)NC=2N=CN=C3C=C(OC)C(OCCCN4CCCCC4)=CC32,0
184475-50-1,FC1=CC=C(C=C1F)NC=2N=CN=C3C=C(OC)C(OCCCN4CCOCC4)=CC32,0
184475-45-4,FC1=CC=C(C=C1Cl)NC=2N=CN=C3C=C(OC)C(OCCCN4CCCC4)=CC32,0
184475-37-4,FC1=CC=C(C=C1Cl)NC=2N=CN=C3C=C(OC)C(OCCN4CCOCC4)=CC32,0
