CAS Registry Number,Canonical SMILES,key
110-91-8,O1CCNCC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
78-84-2,O=CC(C)C,0
75-16-1,Br[Mg]C,0
79-03-8,O=C(Cl)CC,0
58479-61-1,Cl[Si](C=1C=CC=CC1)(C=2C=CC=CC2)C(C)(C)C,0
69739-34-0,O=S(=O)(O[Si](C)(C)C(C)(C)C)C(F)(F)F,0
1730-25-2,Br[Mg]CC=C,0
1119-51-3,BrCCCC=C,0
1117-97-1,O(NC)C,0
152044-54-7,O=C1OC(C(=CC=2N=C(SC2)C)C)CC3OC3(C)CCCC(C)C(O)C(C(=O)C(C)(C)C(O)C1)C,0
219989-84-1,O=C1NC(C(=CC=2N=C(SC2)C)C)CC3OC3(C)CCCC(C)C(O)C(C(=O)C(C)(C)C(O)C1)C,1
152044-53-6,O=C1OC(C(=CC=2N=C(SC2)C)C)CC3OC3CCCC(C)C(O)C(C(=O)C(C)(C)C(O)C1)C,0
16338-48-0,O=C(O)C(N)CC=C,0
2403-55-6,O1CCN(C=C(C)C)CC1,0
186692-73-9,O=C1OC(C(=CC=2N=C(SC2)C)C)CC=CCCCC(C)C(O)C(C(=O)C(C)(C)C(O)C1)C,0
90600-20-7,O=C(OC(C)(C)C)NC(C(=O)O)CC=C,0
192060-67-6,O=C(N(C)C(C)C(O)C=1C=CC=CC1)CC,0
208518-52-9,O=C1OC(C(=CC=2N=C(SC2)CO)C)CC3OC3(C)CCCC(C)C(O)C(C(=O)C(C)(C)C(O)C1)C,0
106921-60-2,O=CC(C(=O)CC)(C)C,0
219990-27-9,O=C1OC(C(=CC2=CSC(=N2=O)C)C)CC3OC3(C)CCCC(C)C(O)C(C(=O)C(C)(C)C(O)C1)C,0
184917-63-3,O=CC(C)CCCC=C,0
184246-51-3,O=P(C=1C=CC=CC1)(C=2C=CC=CC2)CC=3N=C(SC3)C,0
219989-87-4,O=C1NC(C(=CC=2N=C(SC2)C)C)CC=C(C)CCCC(C)C(O)C(C(=O)C(C)(C)C(O)C1)C,0
193071-52-2,OCC(C)CCCC=C,0
208521-14-6,O=C(OC(C)(C)C)NC(C(=O)N(OC)C)CC=C,0
