CAS Registry Number,Canonical SMILES,key
124-38-9,O=C=O,0
67-56-1,OC,0
67-64-1,O=C(C)C,0
100-52-7,O=CC=1C=CC=CC1,0
62-53-3,NC=1C=CC=CC1,0
68-12-2,O=CN(C)C,0
74-88-4,IC,0
65-85-0,O=C(O)C=1C=CC=CC1,0
107-15-3,NCCN,0
75-07-0,O=CC,0
107-13-1,N#CC=C,0
107-92-6,O=C(O)CCC,0
110-89-4,N1CCCCC1,0
110-91-8,O1CCNCC1,0
100-39-0,BrCC=1C=CC=CC1,0
98-88-4,O=C(Cl)C=1C=CC=CC1,0
74-89-5,NC,0
100-46-9,NCC=1C=CC=CC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
76-05-1,O=C(O)C(F)(F)F,0
59-67-6,O=C(O)C=1C=NC=CC1,0
75-36-5,O=C(Cl)C,0
124-40-3,N(C)C,0
109-89-7,N(CC)CC,0
124-63-0,O=S(=O)(Cl)C,0
106-49-0,NC1=CC=C(C=C1)C,0
98-80-6,OB(O)C=1C=CC=CC1,0
123-75-1,N1CCCC1,0
104-94-9,O(C1=CC=C(N)C=C1)C,0
141-82-2,O=C(O)CC(=O)O,0
106-47-8,ClC1=CC=C(N)C=C1,0
123-72-8,O=CCCC,0
108-91-8,NC1CCCCC1,0
75-03-6,ICC,0
110-85-0,N1CCNCC1,0
334-88-3,[N-]=[N+]=C,0
108-98-5,SC=1C=CC=CC1,0
1066-54-2,C#C[Si](C)(C)C,0
109-01-3,N1CCN(C)CC1,0
541-41-3,O=C(Cl)OCC,0
107-22-2,O=CC=O,0
151-50-8,N#C[K],0
103-71-9,O=C=NC=1C=CC=CC1,0
103-82-2,O=C(O)CC=1C=CC=CC1,0
503-74-2,O=C(O)CC(C)C,0
143-33-9,N#C[Na],0
75-18-3,S(C)C,0
530-62-1,O=C(N1C=NC=C1)N2C=NC=C2,0
134-32-7,NC1=CC=CC=2C=CC=CC12,0
100-61-8,C=1C=CC(=CC1)NC,0
79-22-1,O=C(Cl)OC,0
75-08-1,SCC,0
288-13-1,N1=CC=CN1,0
2043-61-0,O=CC1CCCCC1,0
288-88-0,N=1N=CNC1,0
90-04-0,O(C=1C=CC=CC1N)C,0
498-66-8,C1=CC2CCC1C2,0
110-52-1,BrCCCCBr,0
4637-24-5,O(C)C(OC)N(C)C,0
930-68-7,O=C1C=CCCC1,0
3132-99-8,O=CC=1C=CC=C(Br)C1,0
76-83-5,ClC(C=1C=CC=CC1)(C=2C=CC=CC2)C=3C=CC=CC3,0
91-59-8,NC=1C=CC=2C=CC=CC2C1,0
75-30-9,IC(C)C,0
867-13-0,O=C(OCC)CP(=O)(OCC)OCC,0
536-90-3,O(C1=CC=CC(N)=C1)C,0
2627-86-3,NC(C=1C=CC=CC1)C,0
558-13-4,BrC(Br)(Br)Br,0
103-80-0,O=C(Cl)CC=1C=CC=CC1,0
103-67-3,C=1C=CC(=CC1)CNC,0
873-74-5,N#CC1=CC=C(N)C=C1,0
109-85-3,O(C)CCN,0
462-08-8,N=1C=CC=C(N)C1,0
