CAS Registry Number,Canonical SMILES,key
58-22-0,O=C1C=C2CCC3C(CCC4(C)C(O)CCC34)C2(C)CC1,0
23214-92-8,O=C1C=2C=CC=C(OC)C2C(=O)C=3C(O)=C4C(=C(O)C13)CC(O)(C(=O)CO)CC4OC5OC(C)C(O)C(N)C5,0
50-02-2,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,0
50-18-0,O=P1(OCCCN1)N(CCCl)CCCl,0
51-45-6,N1=CNC(=C1)CCN,0
51-21-8,O=C1NC=C(F)C(=O)N1,0
59-05-2,O=C(O)CCC(NC(=O)C1=CC=C(C=C1)N(C)CC=2N=C3C(=NC2)N=C(N=C3N)N)C(=O)O,0
33069-62-4,O=C(OC1C2C3(OC(=O)C)COC3CC(O)C2(C(=O)C(OC(=O)C)C4=C(C)C(OC(=O)C(O)C(NC(=O)C=5C=CC=CC5)C=6C=CC=CC6)CC1(O)C4(C)C)C)C=7C=CC=CC7,0
53-03-2,O=C1C=CC2(C(=C1)CCC3C2C(=O)CC4(C)C3CCC4(O)C(=O)CO)C,0
50-24-8,O=C1C=CC2(C(=C1)CCC3C4CCC(O)(C(=O)CO)C4(C)CC(O)C32)C,0
302-79-4,O=C(O)C=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C,0
57-22-7,O=CN1C2=CC(OC)=C(C=C2C34CCN5CC=CC(CC)(C(OC(=O)C)C(O)(C(=O)OC)C13)C54)C6(C(=O)OC)C=7NC=8C=CC=CC8C7CCN9CC(CC(O)(C9)CC)C6,0
33419-42-0,O=C1OCC2C(OC3OC4COC(OC4C(O)C3O)C)C5=CC=6OCOC6C=C5C(C7=CC(OC)=C(O)C(OC)=C7)C12,0
50-53-3,ClC1=CC=C2SC=3C=CC=CC3N(C2=C1)CCCN(C)C,0
10540-29-1,O(C1=CC=C(C=C1)C(C=2C=CC=CC2)=C(C=3C=CC=CC3)CC)CCN(C)C,0
616-91-1,O=C(O)C(NC(=O)C)CS,0
83-43-2,O=C1C=CC2(C(=C1)C(C)CC3C4CCC(O)(C(=O)CO)C4(C)CC(O)C32)C,0
147-94-4,O=C1N=C(N)C=CN1C2OC(CO)C(O)C2O,0
64-86-8,O=C1C=C2C(=CC=C1OC)C3=C(OC)C(OC)=C(OC)C=C3CCC2NC(=O)C,0
114977-28-5,O=C(OC(C)(C)C)NC(C=1C=CC=CC1)C(O)C(=O)OC2C(=C3C(O)C(=O)C4(C)C(O)CC5OCC5(OC(=O)C)C4C(OC(=O)C=6C=CC=CC6)C(O)(C2)C3(C)C)C,0
865-21-4,O=C(OC1C(O)(C(=O)OC)C2N(C3=CC(OC)=C(C=C3C42CCN5CC=CC1(CC)C54)C6(C(=O)OC)C=7NC=8C=CC=CC8C7CCN9CC(CC(O)(C9)CC)C6)C)C,0
95058-81-4,O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(F)F,0
18883-66-4,O=NN(C(=O)NC(C=O)C(O)C(O)C(O)CO)C,0
57-63-6,C#CC1(O)CCC2C3CCC4=CC(O)=CC=C4C3CCC21C,0
58-05-9,O=CN1C=2C(=O)N=C(N)NC2NCC1CNC3=CC=C(C=C3)C(=O)NC(C(=O)O)CCC(=O)O,0
