CAS Registry Number,Canonical SMILES,key
67-64-1,O=C(C)C,0
108-24-7,O=C(OC(=O)C)C,0
110-91-8,O1CCNCC1,0
124-40-3,N(C)C,0
18162-48-6,Cl[Si](C)(C)C(C)(C)C,0
74-96-4,BrCC,0
109-01-3,N1CCN(C)CC1,0
504-29-0,N=1C=CC=CC1N,0
4530-20-5,O=C(OC(C)(C)C)NCC(=O)O,0
57260-71-6,O=C(OC(C)(C)C)N1CCNCC1,0
540-51-2,BrCCO,0
1003-03-8,NC1CCCC1,0
4023-34-1,O=C(Cl)C1CC1,0
917-64-6,I[Mg]C,0
5382-16-1,OC1CCNCC1,0
103-76-4,OCCN1CCNCC1,0
627-18-9,BrCCCO,0
2719-27-9,O=C(Cl)C1CCCCC1,0
1118-68-9,O=C(O)CN(C)C,0
590-17-0,N#CCBr,0
6482-24-2,BrCCOC,0
78-77-3,BrCC(C)C,0
137-43-9,BrC1CCCC1,0
1013-88-3,N=C(C=1C=CC=CC1)C=2C=CC=CC2,0
13889-98-0,O=C(N1CCNCC1)C,0
558-30-5,O1CC1(C)C,0
5445-17-0,O=C(OC)C(Br)C,0
598-41-4,O=C(N)CN,0
2550-36-9,BrCC1CCCCC1,0
683-57-8,O=C(N)CBr,0
15159-40-7,O=C(Cl)N1CCOCC1,0
35320-23-1,OCC(N)C,0
4318-42-7,N1CCN(CC1)C(C)C,0
628-89-7,ClCCOCCO,0
762-49-2,FCCBr,0
50533-97-6,N1CCC(N(C)C)CC1,0
16088-62-3,O1CC1C,0
15448-47-2,O1CC1C,0
1211441-98-3,O=C(C1=CC=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5)N(C)C,1
112275-50-0,O=C(OC(C)(C)C)N1CCNCCC1,0
55276-43-2,O=S(=O)(N1CCNCC1)C,0
10160-87-9,C#CC(OCC)OCC,0
57044-25-4,OCC1OC1,0
1192-63-8,O=C(Cl)N1CCCC1,0
60456-23-7,OCC1OC1,0
99724-19-3,O=C(OC(C)(C)C)NC1CNCC1,0
13484-40-7,O(C)CCN1CCNCC1,0
36082-50-5,ClC1=NC=C(Br)C(Cl)=N1,0
23100-12-1,O=CC1=CN=C(Cl)C=C1,0
39856-50-3,O=N(=O)C1=NC=C(Br)C=C1,0
104-97-2,O=C(Cl)CCC1CCCC1,0
36052-24-1,O=C(OC)C1=CN=C(N)C=C1,0
23860-35-7,O=C(Cl)CC1CCCCC1,0
4704-77-2,BrCC(O)CO,0
626-88-0,BrCCCC(C)C,0
76003-29-7,O=C(OC(C)(C)C)N1CC(=O)NCC1,0
169447-70-5,O=C(OC(C)(C)C)N1CCNCC1C,0
149771-44-8,O=C(OC(C)(C)C)N1C2CNCC1CC2,0
170033-47-3,O=C(OC(C)(C)C)N1CCNCC1C,0
122734-32-1,O=C(OC(C)(C)C)NCCNC,0
5973-11-5,BrCC(C)CC,0
571188-59-5,O=C(OC(C)(C)C)N1CCN(C2=CN=C(N)C=C2)CC1,0
21543-49-7,ClC1=NC=C(C=C1)CO,0
13349-90-1,FC(F)(F)CN1CCNCC1,0
120737-78-2,O=C(OC(C)(C)C)N1CCNCC1C,0
598-18-5,BrC(C)CO,0
571189-78-1,N=1C=C(C=CC1N)N2CCOCC2,0
180975-66-0,O=C(OC(C)(C)C)N1C(C)CNCC1C,0
34064-86-3,N#CCCN1CCNCC1,0
571189-16-7,O=C(OC(C)(C)C)N1CCN(C2=CN=C(C=C2)N(=O)=O)CC1,0
54149-16-5,BrCCOC(C)C,0
1198408-35-3,O=C(OC(C)(C)C)N1CCC(C2=CN=C(N)C=C2)CC1,0
733039-20-8,ClC1=NC=C(Br)C(=N1)NC2CCCC2,0
1211443-61-6,O=C(C1=CC=2C=NC(Cl)=NC2N1C3CCCC3)N(C)C,0
204580-28-9,O(CCNC)[Si](C)(C)C(C)(C)C,0
1002317-13-6,N=1C=C(C=CC1N)N2CCC(N(C)C)CC2,0
1178566-52-3,O=C(OC(C)(C)C)N1CCN(CC2=CN=C(N)C=C2)CC1,0
1082876-26-3,N=1C=C(C=CC1N)N2CCNCC2,0
1211443-58-1,O=C(O)C1=CC=2C=NC(Cl)=NC2N1C3CCCC3,0
1002317-12-5,O=N(=O)C1=NC=C(C=C1)N2CCC(N(C)C)CC2,0
119382-85-3,ClCCOCCO[Si](C)(C)C(C)(C)C,0
1211443-98-9,O=C(OC(C)(C)C)N1CCN(C(=O)C2=CN=C(N)C=C2)CC1,0
322691-19-0,N=1C=C(C=CC1N)CO[Si](C)(C)C(C)(C)C,0
866620-29-3,O=C(OC(C)(C)C)N1CC(=O)N(C2=CN=C(N)C=C2)CC1,0
889447-86-3,O=C(OC(C)(C)C)N1CCN(C2=CN=C(N)C=C2)CCC1,0
1211444-09-5,O=C(OC(C)(C)C)N1CCN(C2=NN=C(N)C=C2)CC1,0
1211443-73-0,O=C(OC(C)(C)C)N1CC(=O)N(C2=CN=C(C=C2)N(=O)=O)CC1,0
1211443-63-8,O=N(=O)C1=NC=C(C=C1)N2CC(O)C2,0
1211443-55-8,O=CC1=CC=2C=NC(Cl)=NC2N1C3CCCC3,0
474484-46-3,ClC1=NC=C(C=C1)CO[Si](C)(C)C(C)(C)C,0
1211443-01-4,O=C(OC(C)(C)C)N1CCN(C2=CN=C(C=C2)N(=O)=O)CCC1,0
1190071-58-9,O=C(OC(C)(C)C)N1CCN(C=2N=CC(=NC2)N)CC1,0
571189-68-9,O=C(OC(C)(C)C)N1CCN(C2=CN=C(N)C=C2)CC1(C)C,0
1211442-89-5,ClC=1N=CC=2C=C(N(C2N1)C3CCCC3)C(OCC)OCC,0
1019507-58-4,O=C1NCCN(C2=CN=C(N)C=C2)C1,0
868366-56-7,O=C(OC(C)(C)C)N1CCN(C2=CN=C(N)C=C2)CC1C,0
1211441-71-2,O=C(C1=CC=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCN(CC5)C(C)C)N(C)C,0
1211441-59-6,O=C(NC)C1=CC=2C=NC(=NC2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5,0
1211443-21-8,O=C(OC(C)(C)C)NC1CN(C2=CN=C(N)C=C2)CC1,0
1211442-87-3,ClC1=NC=C(C#CC(OCC)OCC)C(=N1)NC2CCCC2,0
1211444-17-5,ClC=1N=CC=2C=C(C=3OC=NC3)N(C2N1)C4CCCC4,0
1211444-04-0,N=1C=C(C=CC1N)N2CCC(O[Si](C)(C)C(C)(C)C)CC2,0
