CAS Registry Number,Canonical SMILES,key
51451-05-9,ClCC=NO,0
13626-59-0,O=C(O)C=1ON=C(OC)C1,0
163035-65-2,O=S(=O)(OCC(F)F)C,0
174403-69-1,O=C(OC)C1=CC=C(F)C=C1C,0
263159-64-4,N#CC1=CC=CC(=C1Br)C,0
126674-78-0,O=C(O)C=1C=C(F)C=C(F)C1N,0
206997-15-1,O=CC1=CC(Br)=CN=C1N,0
877264-43-2,FC1=CC=C(I)C(=C1)CO,0
1297537-45-1,O=C(O)C1=NNC(=C1)C(=O)C,0
691872-15-8,O=N(=O)C1=NC=C(Br)C=C1O,0
914225-70-0,O=C(C1=CC(F)=CC=C1I)C,0
55404-31-4,ClC1=NC=CC(=C1Br)C,0
387-48-4,O=C(O)C=1C=CC=C(F)C1I,0
157652-28-3,O=C(OC)C1=CC=C(F)C=C1CBr,0
23982-57-2,O=C(C)CN(C)CC=1C=CC=CC1,0
796729-03-8,O=C(O)C1=NN2C(=C1)CCC2,0
957500-07-1,O=C(O)C1=CC(=NN1C)C2CC2,0
182742-49-0,IC=1C=CC=CC1C(O)C,0
57351-99-2,N#CC1=NOC(=C1)C,0
35392-66-6,O=N1=CC(OC)=CC=C1C,0
877264-44-3,O=CC1=CC(F)=CC=C1I,0
476362-41-1,O=C(OC(C)(C)C)NNCC,0
717843-51-1,BrC=1C(=NC=CC1C)OC,0
13801-51-9,O=C(OCC)C1=CN=C2C=CC=NC2=C1O,0
14029-71-1,O=C(OCC)C(=CNC=1C=NC=CC1)C(=O)OCC,0
1454848-24-8,N#CC1=C(Br)C(=NN1C)CN(C(=O)OC(C)(C)C)C,0
702672-96-6,O=S(=O)(C1=CC=C(C(Br)=C1)C)C,0
35166-36-0,OCC=1ON=C(OC)C1,0
1732-55-4,BrC=1SN=C(C1Br)C,0
1374868-77-5,BrC=1C(=NN(C1CO)C)C,0
90641-65-9,O=C(OCC)C=1C=NN(C1N)CC,0
1454848-00-0,O=C(OC)C1=CC=C(F)C=C1C(OC2=CC(Br)=CN=C2N)C,0
1454847-96-1,FC1=CC=C(I)C(=C1)C(O)C,0
1379585-89-3,O=S(=O)(OC1COC1)C(F)(F)F,0
182742-50-3,IC=1C=CC=CC1C(O)C,0
101421-85-6,O=C(N)C1=CC=CC(=C1Br)C,0
14423-89-3,BrCC=1ON=C(OC)C1,0
4576-94-7,BrC=1SN=C(C1)CBr,0
1177291-38-1,O=C(O)C1=NN(C(=C1)C2CC2)C,0
56572-28-2,O=C(OC(C)(C)C)NN=CC,0
1454849-65-0,O=C(O)C=1C=C(F)C=C(F)C1I,0
59938-40-8,O=CC=1N=C2C=CC=CN2C1Br,0
52804-49-6,O=C(C#CCOC1OCCCC1)CC,0
1454848-54-4,N#CC1=C(Br)C(=NN1C)CNC,0
1454848-65-7,O=C(OC)C1=NN2C(=C1)CCC2,0
1454848-19-1,O=C(OCC)C1=C(Br)C(=NN1C)CBr,0
1454847-99-4,O=C(OC)C1=CC=C(F)C=C1C(OC2=CC=CN=C2N)C,0
1454847-98-3,FC1=CC=C(I)C(=C1)C(OC2=CC=CN=C2N)C,0
331765-71-0,O=C(O)C=1C=C(F)C=C(F)C1N(=O)=O,0
40711-34-0,O=C(OCC)C1=CC(=O)NN1C,0
17117-15-6,O=N1=CC=C(C(Br)=C1)C,0
1454849-17-2,O=C(O)C1=CC=C(F)C=C1C(OC2=CC(Br)=CN=C2N)C,0
1454847-97-2,O=S(=O)(OC(C1=CC(F)=CC=C1I)C)C,0
1171921-06-4,OCC1=CC(=NN1C)C2CC2,0
852227-87-3,N1=C(C=C(N1C)CNC)C,0
180519-10-2,OCC1=NN(C(OC)=C1)C,0
1454852-98-2,FC1=CC=C(I)C(=C1)C(O)C,0
1454852-95-9,N#CC1=C(Br)C(=NN1C)C,0
1454852-76-6,N#CC1=CC(=NN1C)CNC,0
1454848-82-8,N#CC1=C(Br)C(=NN1C)CBr,0
1454848-01-1,FC1=CC=C(I)C(=C1)C(O)C,0
1141427-74-8,O=C(OCC)C=1ON=C(C1)CCl,0
136679-01-1,O=C(NC)C1=CC(=NN1C)C,0
129912-28-3,O=C(OC)C=1C=CC2=NC(=CN2C1)C,0
83067-95-2,O=C(OCC)C1=CN=C2C=CC=NC2=C1Cl,0
1454850-13-5,N#CC1=C(C2=CN=C(N)C(OC(C3=CC(F)=CC=C3C(=O)O)C)=C2)C(=NN1C)CN(C(=O)OC(C)(C)C)C,0
1454848-85-1,N#CC1=CC(=NN1C)CBr,0
1086429-87-9,N#CC1=CC=CC(=C1Br)CBr,0
954238-61-0,O=C(OC(C)(C)C)N(C)CC=1C=CC=CC1Br,0
942519-63-3,N=1OC(=CC1CC)CNC,0
882689-55-6,O=S(=O)(N1N=C(C(Br)=C1)C)N(C)C,0
532410-39-2,O=C(OC(C)(C)C)N(C)CC(=O)C,0
139297-51-1,O=C(O)C1=NN(C(OC)=C1)C,0
58364-91-3,O=C(OC)C1=NN(C(OC)=C1)C,0
1454851-42-3,O=C(OC)C1=CC=C(F)C=C1C(OC2=CC(=CN=C2N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)B3OC(C)(C)C(O3)(C)C)C,0
1454851-41-2,O=C(OC)C1=CC=C(F)C=C1C(OC2=CC(Br)=CN=C2N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)C,0
1454850-93-1,FC1=CC=C(I)C(=C1)C(OC2=CC(Br)=CN=C2N)C,0
1454850-11-3,N#CC1=C(C=2C=NC(N)=C(OC(C3=CC(F)=CC=C3C(=O)OC)C)C2)C(=NN1C)CN(C(=O)OC(C)(C)C)C,0
1454848-23-7,O=C(N)C1=C(Br)C(=NN1C)CN(C(=O)OC(C)(C)C)C,0
1454848-03-3,FC1=CC=C(I)C(=C1)C(OC2=CC=CN=C2N)C,0
1454847-76-7,N#CC1=C2C3=CN=C(N)C(OC(C4=CC(F)=CC=C4C(=O)N(C)CC2=NN1C)C)=C3,0
1454846-50-4,O=C1C2=CC=C(F)C=C2C(OC3=CC(=CN=C3N)C=4C(=NN(C4CN1C)C)C)C,0
1067887-42-6,BrC1=CN=C(N)C(=C1)C(O)C,0
865138-51-8,OCC1=CC(=NN1C)OC,0
1454852-78-8,O=C(OC)C1=CC=C(F)C=C1C(OC2=CC(Br)=CN=C2N)C,0
1454851-48-9,O=C(O)C1=C(Cl)C(F)=CC=C1I,0
1454848-84-0,N#CC1=CC(=NN1C)CO,0
1454848-70-4,N#CC1=CC(=NN1C)CN(C(=O)OC(C)(C)C)C,0
1454848-52-2,BrC1=C(C=NN1CC)CBr,0
1454848-51-1,BrC1=C(C=NN1CC)CO,0
