CAS Registry Number,Canonical SMILES,key
50-00-0,O=C,0
108-95-2,OC=1C=CC=CC1,0
62-53-3,NC=1C=CC=CC1,0
68-12-2,O=CN(C)C,0
74-88-4,IC,0
110-89-4,N1CCCCC1,0
87-69-4,O=C(O)C(O)C(O)C(=O)O,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
76-05-1,O=C(O)C(F)(F)F,0
98-80-6,OB(O)C=1C=CC=CC1,0
95-14-7,N1=NC=2C=CC=CC2N1,0
147-94-4,O=C1N=C(N)C=CN1C2OC(CO)C(O)C2O,0
73183-34-3,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0
814-68-6,O=C(Cl)C=C,0
917-54-4,[Li]C,0
79-37-8,O=C(Cl)C(=O)Cl,0
925-90-6,Br[Mg]CC,0
58479-61-1,Cl[Si](C=1C=CC=CC1)(C=2C=CC=CC2)C(C)(C)C,0
57260-71-6,O=C(OC(C)(C)C)N1CCNCC1,0
16419-60-6,OB(O)C=1C=CC=CC1C,0
13922-41-3,OB(O)C1=CC=CC=2C=CC=CC21,0
96-47-9,O1CCCC1C,0
5720-06-9,OB(O)C=1C=CC=CC1OC,0
411235-57-9,OB(O)C1CC1,0
2516-47-4,NCC1CC1,0
1993-03-9,FC=1C=CC=CC1B(O)O,0
3900-89-8,ClC=1C=CC=CC1B(O)O,0
2237-30-1,N#CC1=CC=CC(N)=C1,0
868540-17-4,O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)C1(OC1)C)CC(C)C)CC=2C=CC=CC2)CC(C)C)CCC=3C=CC=CC3)CN4CCOCC4,0
579-66-8,NC=1C(=CC=CC1CC)CC,0
813-19-4,CCCC[Sn](CCCC)(CCCC)[Sn](CCCC)(CCCC)CCCC,0
144025-03-6,FC1=CC=C(B(O)O)C(F)=C1,0
823-96-1,O1B(OB(OB1C)C)C,0
540-80-7,O=NOC(C)(C)C,0
643-28-7,NC=1C=CC=CC1C(C)C,0
100379-00-8,OB(O)C=1C(=CC=CC1C)C,0
5614-37-9,O(C)C1CCCC1,0
6310-21-0,NC=1C=CC=CC1C(C)(C)C,0
122536-77-0,O=C(OC(C)(C)C)NC1CNCC1,0
5413-85-4,ClC1=NC=NC(Cl)=C1N,0
193269-78-2,O=C(OC(C)(C)C)N1CC(N)C1,0
699-98-9,O=C1OC(=O)C2=CC=CN=C12,0
309956-78-3,O=C(OC(C)(C)C)NC1CNCCC1,0
147081-29-6,O=C(OC(C)(C)C)N1CCNC(C)C1,0
86-58-8,OB(O)C1=CC=CC2=CC=CN=C21,0
188111-79-7,O=C(OC(C)(C)C)N1CCCC(N)C1,0
62673-31-8,Br[Zn]CC=1C=CC=CC1,0
151169-74-3,ClC1=CC=CC(B(O)O)=C1Cl,0
163765-44-4,O=C(OC(C)(C)C)N1CCNC(C)C1,0
90002-36-1,OB(O)C=1C=CC=CC1CC,0
942-06-3,O=C1OC(=O)C2=CC(Cl)=C(Cl)C=C12,0
169447-70-5,O=C(OC(C)(C)C)N1CCNCC1C,0
149771-44-8,O=C(OC(C)(C)C)N1C2CNCC1CC2,0
170033-47-3,O=C(OC(C)(C)C)N1CCNCC1C,0
89787-12-2,OB(O)C=1C=CC=CC1C(C)C,0
1041026-70-3,O=C(OC(C)(C)C)N1CC2(CNC2)C1,0
220465-43-0,OB(O)C=1C=CC=C2NC=CC21,0
82671-06-5,O=C(O)C1=CC(F)=C(Cl)N=C1Cl,0
126403-68-7,Br[Zn]C1CC1,0
406482-19-7,FC1=CC=C(OC)C=C1B(O)O,0
120737-59-9,O=C(OC(C)(C)C)N1CCNC(C)C1,0
5266-85-3,NC=1C(=CC=CC1C(C)C)C,0
78495-63-3,FC1=CC=CC(OC)=C1B(O)O,0
96424-68-9,ClC1=CC=CN=C1Br,0
104116-17-8,OB(O)C1=C(OC)C=CC=2C=CC=CC21,0
171860-68-7,Br[Zn]C1CCCC1,0
202865-73-4,FC1=CC=C(I)C(Br)=C1,0
2296729-00-3,O=C1N=C(C=2C=C(F)C(=NC2N1C=3C(=NC=CC3C)C(C)C)C=4C(F)=CC=CC4O)N5CCN(C(=O)C=C)CC5C,1
301673-16-5,O=C(OC(C)(C)C)N1CCNC(CO)C1,0
278788-66-2,O=C(OC(C)(C)C)N1CCNC(CO)C1,0
