CAS Registry Number,Canonical SMILES,key
39512-49-7,ClC1=CC=C(C=C1)C2(O)CCNCC2,0
36823-88-8,O=C(Cl)C1=CC=C(OC(F)(F)F)C=C1,0
6321-23-9,NC1CCC(C)CC1,0
59025-55-7,O=C=NC1=CC=C(F)C=C1F,0
7003-32-9,NC1CCCCC1C,0
80466-79-1,O=S(=O)(Cl)C=1C(=NOC1C)C,0
41186-03-2,C=1C=C(C=C(C1)C)N2CCNCC2,0
61341-86-4,NC1C=2C=CC=CC2CC1,0
38985-64-7,FC=1C=CC=CC1N=C=S,0
3644-18-6,N1CCN(CC1)CCN(C)C,0
27469-60-9,FC1=CC=C(C=C1)C(C2=CC=C(F)C=C2)N3CCNCC3,0
16413-26-6,N#CC1=CC=CC(N=C=O)=C1,0
39827-11-7,O=C(Cl)C=1SC=2C=CC=CC2C1,0
31027-31-3,O=C=NC1=CC=C(C=C1)C(C)C,0
51639-48-6,O=C(C1=CC=C(C=C1)N2CCNCC2)C,0
62348-13-4,O=C(Cl)C=1ON=CC1,0
56651-60-6,O=C=NCC1=CC=C(OC)C=C1,0
51552-16-0,O=C(Cl)CN(C)C,0
30389-18-5,C#CC1(N)CCCCC1,0
5400-88-4,NC1CCC(CC1)C(C)(C)C,0
218301-22-5,N#CC1=CC(C=O)=CC=C1F,0
56346-57-7,O=C(C1=CC=C(F)C=C1)C2CCNCC2,0
40635-66-3,O=C(OC(C(=O)Cl)(C)C)C,0
39499-34-8,O=C(Cl)C1=NOC(=C1)C,0
2131-64-8,S=C=NC1=CC=C(C=C1)N(C)C,0
21900-54-9,O=C(Cl)C1=CC=C(F)C=C1Cl,0
17596-79-1,NCC(C=1C=CC=CC1)C,0
54745-92-5,O=C(Cl)C1=NC2=CC=CC=C2N=C1,0
88398-93-0,O=S(=O)(Cl)C1=C(Cl)N(N=C1C)C,0
1442-06-4,O=C(Cl)C1=CC=C(SC)C=C1,0
132834-58-3,FC(F)(F)C1=CN=C(C=C1)N2CCNCC2,0
1013-76-9,C=1C=C(C(=CC1C)C)N2CCNCC2,0
67980-77-2,N=1C=CC=C(C1)N2CCNCC2,0
37586-22-4,O=C(C=1C=CC=CC1)C2CCNCC2,0
59944-65-9,O=C(Cl)C=1SN=NC1C,0
67531-68-4,O=C=NC1=CC=CC(=C1)C(=O)OCC,0
50990-93-7,O=C(Cl)C=1C=C(OC1C)C,0
1638-63-7,O=C(Cl)C(OC(=O)C)C=1C=CC=CC1,0
56651-57-1,O=C=NCC1=CC=C(C=C1)C,0
39890-42-1,O=C(NC(C)C)CN1CCNCC1,0
1793-07-3,O=C=NC=1C=CC=CC1C(=O)OC,0
40411-25-4,O=C=NC=1C=CC=CC1CC,0
5395-71-1,O=C=NC=1C=CC=CC1OCC,0
763114-26-7,O=C(O)C1=CC(=CC=C1F)CC2=NNC(=O)C=3C=CC=CC32,0
56309-62-7,O=C=NC1=CC(OC)=CC=C1OC,0
939-87-7,O=C(Cl)C1CC1C=2C=CC=CC2,0
55204-93-8,O=C=NCC=1C=CC=CC1Cl,0
52629-46-6,O=C(Cl)CC=1C(=CC(=CC1C)C)C,0
16883-16-2,O=C(Cl)C=1C(=NOC1C)C=2C=CC=CC2,0
41221-47-0,O=C=NC1=CC=CC(=C1)C(=O)OC,0
39889-69-5,O=C(Cl)CC=1C=CC(=CC1)C=2C=CC=CC2,0
126674-98-4,O=C(Cl)C1=CN(N=C1C(F)(F)F)C,0
19752-09-1,O=C=NCC1=CC=C(Cl)C(Cl)=C1,0
458-04-8,O=C(Cl)CC=1C=CC=C(F)C1,0
50277-65-1,O=C(Cl)C#C,0
149554-29-0,N#CC1=CN=C(C=C1)N2CCNCC2,0
6845-81-4,O=C(Cl)CC1=CC=C2OCOC2=C1,0
3662-78-0,O=C(OC)C1=CC=C(N=C=S)C=C1,0
35923-79-6,FC=1C(F)=C(F)C(N=C=S)=C(F)C1F,0
94143-83-6,O1C=2C=C3C(=CC2OC1)CCNC3,0
13781-65-2,O=C(Cl)CC1=CSC=C1,0
41776-24-3,O=C(Cl)C1CCN(C)CC1,0
772-70-3,O=C(Cl)CCC1=CC=C(F)C=C1,0
763111-47-3,O=C1NN=C(C=2C=CC=CC12)CC3=CC=C(F)C(=C3)C(=O)N4CCNCC4,0
19654-32-1,O=C=NCC1=CC=C(Cl)C=C1Cl,0
157033-24-4,O=C(Cl)CC=1C=C(F)C=C(F)C1,0
61260-15-9,O=C1OC(C=2C=CC=CC12)P(=O)(OC)OC,0
53220-41-0,O=C(C1=CC=C(Cl)C=C1)C2CCNCC2,0
70918-00-2,O=C(N1CCNCC1)C2OC=3C=CC=CC3OC2,0
53427-65-9,OCCN1CCNCCC1,0
88442-63-1,O=C=NC(C1=CC=CC=2C=CC=CC21)C,0
38411-41-5,O=C(Cl)CC=1C=CC=C(C1)N(=O)=O,0
10368-35-1,O=C(Cl)CC1=CC=C(OCC)C=C1,0
27561-62-2,O=C(N1CCNCC1)C2CCCCC2,0
72141-41-4,O=C(C1=CC=C(C=C1)N(=O)=O)N2CCNCC2,0
40478-49-7,O=C(Cl)CCC=1C=CC=C(OC)C1,0
220394-91-2,O=C=NC1CCN(C(=O)OCC=2C=CC=CC2)CC1,0
27006-83-3,O=C(Cl)C1=C(Cl)N(N=C1C)C,0
58315-38-1,O=N(=O)C1=CC(=CC=C1N2CCNCC2)C(F)(F)F,0
190142-48-4,O=C(Cl)C1CCNCC1,0
