CAS Registry Number,Canonical SMILES,key
1448170-87-3,O=C(O)C1N(C(=O)OC(C)(C)C)CC(N2C=C(C#CC=3C=C(OC)C=C(OC)C3)C=4C(=NC=NC42)N)C1,0
1448170-86-2,C(#CC1=CN(C=2N=CN=C(N)C12)C3CNC(CN(C)C)C3)C=4C=C(OC)C=C(OC)C4,0
1448170-85-1,O=C(OC(C)(C)C)N(C(=O)OC(C)(C)C)C1=NC=NC2=C1C(C#CC=3C=C(OC)C=C(OC)C3)=CN2C4CN(C(=O)OC(C)(C)C)C(CN(C)C)C4,0
1448170-84-0,O=C(OC(C)(C)C)N(C(=O)OC(C)(C)C)C1=NC=NC2=C1C(I)=CN2C3CN(C(=O)OC(C)(C)C)C(CN(C)C)C3,0
1448170-83-9,O=CC1N(C(=O)OC(C)(C)C)CC(N2C=C(I)C=3C(=NC=NC32)N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)C1,0
1448170-82-8,O=C(OC(C)(C)C)N(C(=O)OC(C)(C)C)C1=NC=NC2=C1C(I)=CN2C3CN(C(=O)OC(C)(C)C)C(CO)C3,0
1448170-81-7,O=C(OC(C)(C)C)N(C(=O)OC(C)(C)C)C1=NC=NC2=C1C(I)=CN2C3CN(C(=O)OC(C)(C)C)C(CO[Si](C=4C=CC=CC4)(C=5C=CC=CC5)C(C)(C)C)C3,0
1448170-80-6,O=C(OC(C)(C)C)N1CC(N2C=C(I)C=3C(=NC=NC32)N)CC1CO[Si](C=4C=CC=CC4)(C=5C=CC=CC5)C(C)(C)C,0
1448170-79-3,O=C(OC(C)(C)C)N1CC(N2C=C(I)C=3C(Cl)=NC=NC32)CC1CO[Si](C=4C=CC=CC4)(C=5C=CC=CC5)C(C)(C)C,0
1448170-78-2,O=C(OC)C1NCC(N2C=C(C#CC=3C=C(OC)C=C(OC)C3)C=4C(=NC=NC42)N)C1,0
1448170-77-1,O=C(OC(C)(C)C)N1CC(N2C=C(C#CC=3C=C(OC)C=C(OC)C3)C=4C(=NC=NC42)N)CC1C(=O)OC,0
1448170-76-0,C(#CC1=CNC=2N=CN=C(N)C12)C=3C=C(OC)C=C(OC)C3,0
1448170-75-9,C(#CC1=CN(C=2N=CN=C(N)C12)COCC[Si](C)(C)C)C=3C=C(OC)C=C(OC)C3,0
1448170-73-7,C(#CC1=CN(C=2N=CN=C(N)C12)C3CNC3)C=4C=C(OC)C=C(OC)C4,0
1448170-72-6,O=C(OC(C)(C)C)N1CC(N2C=C(C#CC=3C=C(OC)C=C(OC)C3)C=4C(=NC=NC42)N)C1,0
1448170-68-0,C(#CC1=CN(C=2N=CN=C(N)C12)C3CNCC3)C=4C=C(OC)C=C(OC)C4,0
1448170-67-9,O=C(OC(C)(C)C)N1CCC(N2C=C(C#CC=3C=C(OC)C=C(OC)C3)C=4C(=NC=NC42)N)C1,0
1448170-64-6,O=C(OC(C)(C)C)N1CC(N2N=C(C#CC=3C=C(OC)C=C(OC)C3)C=4C(=NC=NC42)N)CC1C#C,0
1448170-63-5,O=C(OC(C)(C)C)N1CC(N2N=C(C#CC=3C=C(OC)C=C(OC)C3)C=4C(=NC=NC42)N)CC1CO,0
1448170-62-4,O=C(OC(C)(C)C)N1CC(N2N=C(C#CC=3C=C(OC)C=C(OC)C3)C=4C(=NC=NC42)N)CC1CO[Si](C=5C=CC=CC5)(C=6C=CC=CC6)C(C)(C)C,0
1448170-61-3,O=C(OC(C)(C)C)N1CC(N2N=C(I)C=3C(=NC=NC32)N)CC1CO[Si](C=4C=CC=CC4)(C=5C=CC=CC5)C(C)(C)C,0
1448170-59-9,O=C(OC(C)(C)C)N1CCC(CN2N=C(C#CC=3C=C(OC)C=C(OC)C3)C=4C(=NC=NC42)N)C1,0
1448170-57-7,C(#CC=1C=C(OC)C=C(OC)C1)C2=NN(C=3N=CN=C(N)C23)C4CNC4,0
1448170-56-6,O=C(OC(C)(C)C)N1CC(N2N=C(C#CC=3C=C(OC)C=C(OC)C3)C=4C(=NC=NC42)N)C1,0
1448170-55-5,BrC(Br)=CC=1C=C(OCC)C=C(OCC)C1,0
1448170-54-4,C#CC=1C=C(OCC)C=C(OCC)C1,0
