CAS Registry Number,Canonical SMILES,key
871701-89-2,O=C1C(=C2C(C(=O)N(C(=O)N2C=3C=CC=C(N)C3)C4CC4)=C(NC5=CC=C(C#C)C=C5F)N1C)C,0
871701-88-1,O=C1C2=C(NC3=CC=C(I)C=C3F)N(C(=O)C(=C2N(C(=O)N1C4CC4)C5=CC=C6C(=C5)NC(=O)C67CC7)C)C,0
871701-86-9,O=C1C2=C(NC3=CC=C(I)C=C3F)N(C(=O)C(=C2N(C(=O)N1C4CC4)C5=CC=C6C(=C5)NC(=O)C6(C)C)C)C,0
871701-85-8,O=C1C2=C(NC3=CC=C(I)C=C3F)N(C(=O)C(=C2N(C(=O)N1C4CC4)C5=CC=CC(=C5)S(=O)(=O)N)C)C,0
871701-84-7,O=C1OC2=CC=C(C=C2N1)N3C(=O)N(C(=O)C4=C(NC5=CC=C(I)C=C5F)N(C(=O)C(=C43)C)C)C6CC6,0
871701-83-6,O=C1OCCN1C=2C=CC=C(C2)N3C(=O)N(C(=O)C4=C(NC5=CC=C(I)C=C5F)N(C(=O)C(=C43)C)C)C6CC6,0
871701-82-5,O=C1NCCN1C=2C=CC=C(C2)N3C(=O)N(C(=O)C4=C(NC5=CC=C(I)C=C5F)N(C(=O)C(=C43)C)C)C6CC6,0
871701-81-4,O=C1C2=C(NC3=CC=C(I)C=C3F)N(C(=O)C(=C2N(C(=O)N1C4CC4)C5=CC=C6C(=C5)NC(=O)CC6)C)C,0
871701-80-3,O=C1C(=C2C(C(=O)N(C(=O)N2C3=CC=CC(=C3)N4C(=O)CN(C)CC4)C5CC5)=C(NC6=CC=C(I)C=C6F)N1C)C,0
871701-79-0,O=C1C2=C(NC3=CC=C(I)C=C3F)N(C(=O)C(=C2N(C(=O)N1C4CC4)C=5C=CC=6N=NNC6C5)C)C,0
871701-78-9,O=C1C2=C(NC3=CC=C(SC)C=C3F)N(C(=O)C(=C2N(C(=O)N1C4CC4)C=5C=CC=C(C5)NS(=O)(=O)N)C)C,0
871701-77-8,O=C1C2=C(NC3=CC=C(I)C=C3F)N(C(=O)C(=C2N(C(=O)N1C)C4=CC=C(C=C4)S(=O)(=O)N)C)C,0
871701-76-7,O=C1NC2=CC(=CC=C2OC1)N3C(=O)N(C(=O)C4=C(NC5=CC=C(I)C=C5F)N(C(=O)C(=C43)C)C)C6CC6,0
871701-75-6,O=C1C2=C(NC3=CC=C(I)C=C3F)N(C(=O)C(=C2N(C(=O)N1C4CC4)C5=CC=C(NS(=O)(=O)C)C(=C5)C)C)C,0
