CAS Registry Number,Canonical SMILES,key
197520-71-1,O=C(O)C=1C=C(C(F)=C(F)C1F)N(=O)=O,0
69719-84-2,BrCC1CCNCC1,0
90792-83-9,OC(C)(C)CON,0
54149-18-7,O=C1C=2C=CC=CC2C(=O)N1OCCOC,0
284030-58-6,O=C(OC)C=1C=C(C(N)=C(F)C1F)N(=O)=O,0
22460-65-7,O(N)CCN1CCCCC1,0
343925-76-8,OCCCON,0
66769-61-7,ICC=1C=C(OC)C=C(OC)C1,0
1123-05-3,O(N)CCN1CCCC1,0
284030-57-5,O=C(O)C=1C=C(C(N)=C(F)C1F)N(=O)=O,0
391212-47-8,O=C(OC(C)(C)C)N(C)CCON,0
128080-06-8,O(N)CCC=C,0
606144-04-1,O=C(O)C1=CC2=C(N=CN2C)C(F)=C1NC3=CC=C(Br)C=C3Cl,0
101512-32-7,O(N)CCSC,0
114809-62-0,O(N)CCCOCC=1C=CC=CC1,0
105687-33-0,ICC=1N=C(SC1)C,0
606144-02-9,O=C(OC)C1=CC2=C(N=CN2C)C(F)=C1NC3=CC=C(Br)C=C3Cl,0
606143-88-8,O=C(NOCCO)C1=CC=2N=CNC2C(F)=C1NC3=CC=C(Br)C=C3Cl,0
221221-03-0,O=C(O)C=1C=C(C(F)=C(Cl)C1F)N(=O)=O,0
113211-31-7,O(N)CC1OCCC1,0
504436-69-5,O=C1C=2C=CC=CC2C(=O)N1OCCSC,0
284030-47-3,O=C(NOCC1CC1)C2=CC=3N=CNC3C(F)=C2NC4=CC=C(I)C=C4C,0
606143-94-6,O=C(OC)C=1C=C(C(N)=C(F)C1NC=2C=CC=CC2F)N(=O)=O,0
606093-58-7,O=C(OC)C=1C=C(C(N)=C(F)C1NC=2C=CC=CC2)N(=O)=O,0
504436-74-2,O=S(=O)(C)CCON,0
606143-46-8,O=C(OC)C1=CC=2N=CNC2C(F)=C1NC3=CC=C(Br)C=C3Cl,0
606093-59-8,O=C(OC)C1=CC=2N=CNC2C(F)=C1NC=3C=CC=CC3,0
343925-88-2,O(N)CCCOC,0
139000-58-1,O(N)CCSC=1C=CC=CC1,0
874100-57-9,O=C1C=2C=CC=CC2C(=O)N1OCCCSC,0
606143-96-8,O=C(OC(C)(C)C)NOCCBr,0
606143-93-5,O=C(OC)C1=CC=2N=CNC2C(F)=C1NC3=CC=C(Br)C=C3,0
284030-62-2,O=C(OC)C1=CC=2N=CNC2C(F)=C1NC3=CC=C(I)C=C3C,0
284030-61-1,O=C(OC)C1=CC=2N=CNC2C(F)=C1NC=3C=CC=CC3C,0
284030-59-7,O=C(OC)C=1C=C(C(N)=C(F)C1NC=2C=CC=CC2C)N(=O)=O,0
1026282-71-2,O=C(NOCCO)C1=CC2=C(N=CN2CC3OCCC3)C(F)=C1NC4=CC=C(Br)C=C4Cl,0
606144-42-7,O=C(OC)C1=CC(N)=C(N)C(F)=C1NC=2C=CC=CC2,0
606144-05-2,O=C(NOCCOC=C)C1=CC2=C(N=CN2C)C(F)=C1NC3=CC=C(Br)C=C3Cl,0
606143-90-2,O=C(NOCCO)C1=CC2=C(N=CN2C)C(F)=C1NC3=CC=C(Cl)C=C3Cl,0
606143-87-7,O=C(NOC(C)(C)CO)C1=CC2=C(N=CN2C)C(F)=C1NC3=CC=C(Br)C=C3Cl,0
606143-75-3,O=C(C1=CC=2N=CNC2C(F)=C1NC3=CC=C(Br)C=C3Cl)COC,0
606143-72-0,O=C(C1=CC2=C(N=CN2C)C(F)=C1NC3=CC=C(Br)C=C3Cl)CO,0
606143-62-8,O=C(NOCCO)C1=CC2=C(N=CN2CC3OCCCC3)C(F)=C1NC4=CC=C(Br)C=C4Cl,0
606143-53-7,O=C(NOCC(O)CO)C1=CC2=C(N=CN2C)C(F)=C1NC3=CC=C(Br)C=C3Cl,0
606143-51-5,O=C(NOCC1CC1)C2=CC=3N=CNC3C(F)=C2NC4=CC=C(Br)C=C4Cl,0
606143-45-7,O=C(NOCC1CC1)C2=CC=3N=CNC3C(F)=C2NC4=CC=C(Br)C=C4C,0
874100-58-0,O(N)CCCSC,0
606144-33-6,O=C(OC)C=1C=C(C(N)=C(Cl)C1F)N(=O)=O,0
606144-03-0,O=C(OC)C1=CC=2N=CN(C2C(F)=C1NC3=CC=C(Br)C=C3Cl)C,0
606143-97-9,O=C(OC(C)(C)C)NOCCN1CCOCC1,0
606143-48-0,O=C(OC)C1=CC=2N=CNC2C(F)=C1NC3=CC=C(Br)C=C3F,0
391212-31-0,OCC(C)(C)CON,0
139000-69-4,O(N)CCCSC=1C=CC=CC1,0
1352241-51-0,O(N)CCOCC(C)C,0
1352241-50-9,O=S(=O)(C=1C=CC=CC1)CCON,0
1352241-49-6,O=S(=O)(C)CCCON,0
1347917-93-4,O=C(NOCC1CC1)C2=CC3=C(N=CN3CCCCN4CCCCC4)C(F)=C2NC5=CC=C(Br)C=C5C,0
1347861-68-0,O=C(NOC(C)(C)CO)C1=CC2=C(N=CN2C)C(F)=C1NC3=CC=C(Br)C=C3F,0
1082878-51-0,O=S(=O)(C=1C=CC=CC1)CCCON,0
1066516-50-4,O=C(NOCC1CC1)C2=CC3=C(N=CN3C)C(F)=C2NC4=CC=C(Br)C=C4C,0
1063980-86-8,O=C(NOCC1CC1)C2=CC3=C(N=CN3CCCC(O)CO)C(F)=C2NC4=CC=C(Cl)C=C4C,0
