CAS Registry Number,Canonical SMILES,key
67-56-1,OC,0
108-95-2,OC=1C=CC=CC1,0
68-12-2,O=CN(C)C,0
74-88-4,IC,0
100-51-6,OCC=1C=CC=CC1,0
141-43-5,OCCN,0
74-89-5,NC,0
124-40-3,N(C)C,0
106-50-3,NC1=CC=C(N)C=C1,0
75-04-7,NCC,0
77-78-1,O=S(=O)(OC)OC,0
123-30-8,OC1=CC=C(N)C=C1,0
75-31-0,NC(C)C,0
75-44-5,O=C(Cl)Cl,0
530-62-1,O=C(N1C=NC=C1)N2C=NC=C2,0
371-40-4,FC1=CC=C(N)C=C1,0
407-25-0,O=C(OC(=O)C(F)(F)F)C(F)(F)F,0
32315-10-9,O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,0
284461-73-0,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NC)C=C1)NC3=CC=C(Cl)C(=C3)C(F)(F)F,1
591-27-5,OC1=CC=CC(N)=C1,0
99-93-4,O=C(C1=CC=C(O)C=C1)C,0
98-98-6,O=C(O)C1=NC=CC=C1,0
108-00-9,NCCN(C)C,0
490-79-9,O=C(O)C1=CC(O)=CC=C1O,0
109-85-3,O(C)CCN,0
462-08-8,N=1C=CC=C(N)C1,0
2038-03-1,O1CCN(CC1)CCN,0
350-46-9,O=N(=O)C1=CC=C(F)C=C1,0
13154-24-0,Cl[Si](C(C)C)(C(C)C)C(C)C,0
110-13-4,O=C(C)CCC(=O)C,0
99-98-9,NC1=CC=C(C=C1)N(C)C,0
1193-02-8,SC1=CC=C(N)C=C1,0
27578-60-5,NCCN1CCCCC1,0
34803-66-2,N=1C=CC=CC1N2CCNCC2,0
503-38-8,O=C(Cl)OC(Cl)(Cl)Cl,0
4795-29-3,O1CCCC1CN,0
2252-63-3,FC1=CC=C(C=C1)N2CCNCC2,0
2524-67-6,O1CCN(C2=CC=C(N)C=C2)CC1,0
2835-95-2,OC1=CC(N)=CC=C1C,0
626-61-9,ClC=1C=CN=CC1,0
2835-99-6,OC1=CC=C(N)C(=C1)C,0
320-51-4,FC(F)(F)C1=CC(N)=CC=C1Cl,0
6628-77-9,N=1C=C(N)C=CC1OC,0
1121-78-4,OC1=CN=C(C=C1)C,0
619-08-9,O=N(=O)C1=CC=C(O)C(Cl)=C1,0
327-78-6,O=C=NC1=CC=C(Cl)C(=C1)C(F)(F)F,0
1664-40-0,NCCNC=1C=CC=CC1,0
2905-24-0,O=S(=O)(Cl)C=1C=CC=C(Br)C1,0
26116-12-1,NCC1N(CC)CCC1,0
1877-71-0,O=C(O)C1=CC=CC(=C1)C(=O)OC,0
13091-23-1,O=N(=O)C=1C=NC=CC1Cl,0
7781-98-8,O=C(OCC)C=1C=CC=C(O)C1,0
3964-52-1,ClC1=CC(N)=CC=C1O,0
883-99-8,O=C(OC)C1=CC=2C=CC=CC2C=C1O,0
