CAS Registry Number,Canonical SMILES,key
903550-26-5,N1=CC=C(B2OC(C)(C)C(O2)(C)C)N1C3OCCCC3,0
50890-83-0,O=C(O)C1=NN(C=2C=CC=CC12)C,0
15069-92-8,O=C(O)C1=NC=C(O)C=C1,0
1121-46-6,O1C=CC=C1CCN,0
123843-67-4,N#CC1=C(F)C=C(Br)C=C1F,0
154607-01-9,N#CC1=CC=C(Br)C=C1Cl,0
57090-88-7,N#CC1=CN=CN1,0
4863-91-6,FC=1C=C(Cl)C=C(N)C1,0
131534-65-1,N=1C=CC=C(C1)B2OCCCO2,0
5198-88-9,O=C(O)C=1N=C(Br)SC1,0
119768-44-4,O=C(OC(C)(C)C)NCC(O)C,0
96628-67-0,O=C(OC(C)(C)C)NCCOS(=O)(=O)C,0
64951-08-2,O=C(O)C=1N=C2C=CC=CN2C1,0
149990-27-2,O=C(OC(C)(C)C)NCCC#C,0
21278-86-4,O=C(O)C=1N=C(SC1)C=2C=CN=CC2,0
38922-77-9,O=C(OCC)C=1N=C2C=CC=CN2C1,0
573675-25-9,N#CC1=NC=C(Br)C=C1N(=O)=O,0
40283-41-8,O=C(O)C=1N=C(SC1)N,0
39067-29-3,O=C(O)C=1N=C(SC1)C=2C=NC=CC2,0
23000-14-8,O=C(O)C=1N=C(OC1C)C,0
5458-84-4,O=N(=O)C1=CC=C(I)C(OC)=C1,0
191165-13-6,N#CC1=CC=C(Br)C=C1C(F)(F)F,0
129768-28-1,O=C(O)C1=NNC(=C1)C(F)(F)F,0
92933-47-6,O=C(O)C1=NNC(=C1)C(C)C,0
167938-56-9,O=C(OC(C)(C)C)NCC(O)C,0
344-38-7,O=N(=O)C1=CC=C(Br)C=C1C(F)(F)F,0
208465-72-9,O=C(OC)C=1N=C(OC1)CCl,0
118452-04-3,O=C(OC)C=1N=C(SC1)N,0
126301-16-4,O=C(OC(C)(C)C)NC(C)COS(=O)(=O)C,0
52130-34-4,O=CC=1OC(=CC1)C=2C=CC(Cl)=C(Cl)C2,0
63927-23-1,O=N(=O)C=1C=CC(Br)=C2C=CN=CC21,0
1457-58-5,O=C(O)C1=CN=C(N1)C,0
34662-31-2,N#CC1=CC(Cl)=CC=C1N(=O)=O,0
34662-32-3,N#CC1=CC=C(Cl)C=C1N(=O)=O,0
101066-87-9,N#CC1=CC=C(I)C=C1C(F)(F)F,0
518048-06-1,O=C(O)C1=NN=C(O1)C,0
150736-72-4,O=C(OC(C)(C)C)NC(CO)CC,0
13626-59-0,O=C(O)C=1ON=C(OC)C1,0
460081-20-3,O=C(OCC)C=1N=C(Br)OC1,0
6704-35-4,O=C(C)CN1CCOCC1,0
88598-08-7,O=C(O)C1=NON=C1,0
126301-17-5,O=C(OC(C)(C)C)NC(C)COS(=O)(=O)C,0
53572-98-8,O=C(O)C=1N=C2SC=CN2C1,0
915030-08-9,O=C(O)C=1N=C(SC1)C(F)(F)F,0
90607-21-9,O=C(O)C1=NOC(=C1)C(C)(C)C,0
6457-48-3,OC(C)C1CCNCC1,0
150736-71-3,O=C(OC(C)(C)C)NC(CO)CC,0
89776-74-9,O=C(O)C1=NOC(=C1)C(C)C,0
64951-10-6,O=C(O)C=1N=C2N=CC=CN2C1,0
365413-00-9,O=C(O)C=1N=C(SC1)C2CCN(C(=O)OC(C)(C)C)CC2,0
83405-71-4,O=C(O)C1=NNC(=C1)C(C)(C)C,0
378211-85-9,O=C(O)C1=NN2C=CC=NC2=C1,0
374064-02-5,O=C(O)C1=NNC(=C1)C=2N=CC=CC2,0
90005-77-9,O=C(O)C1=NOC2=C1CCCC2,0
573768-09-9,N#CC1=CC=C(N)C(=C1Cl)C,0
19703-92-5,O=C(O)C1=NOC(=N1)C,0
1297537-45-1,O=C(O)C1=NNC(=C1)C(=O)C,0
1940-29-0,ClC=1C=C(N)C=C(Cl)C1Br,0
1279088-80-0,N1=C(C=CN1C2OCCCC2)B3OC(C)(C)C(O3)(C)C,0
573675-27-1,N#CC1=NC=C(Br)C=C1N,0
1297537-33-7,N#CC=1C=CC(=CC1Cl)C2=NN(C=C2)CC(NC(=O)C3=NNC(=C3)C(=O)C)C,0
133046-46-5,O=C(OCC)C=1N=C(SC1)C(F)(F)F,0
116153-81-2,O=C(O)C1=NNC(=C1)C=2OC=CC2,0
62306-80-3,O=CC=1OC=C(C1)B(O)O,0
169556-48-3,O=C(OC(C)(C)C)NC(CO)C(C)C,0
77112-53-9,O=C(O)C=1N=C2C=NC=CN2C1,0
945557-04-0,N#CC1=NC=C(Br)C=C1Cl,0
73323-91-8,O=C1C=2C=CC=CC2C(=O)N1C(C)CO,0
917364-11-5,O=C(O)C=1N=C2N(C1)CCCC2,0
374064-01-4,O=C(O)C1=NNC(=C1)C=2C=NC=CC2,0
4490-74-8,O=C1C=2C=CC=CC2C(=O)N1C(C)(C)CO,0
64951-04-8,O=C(OCC)C=1N=C2SC=CN2C1,0
1297537-37-1,N#CC=1C=CC(=CC1Cl)C2=NNC=C2,0
307313-03-7,O=C(O)C1=NN2C(=C1)CCCC2,0
1297537-41-7,N#CC=1C=CC(=CC1Cl)C2=NN(C=C2)CC(N)C,0
911466-96-1,O=C(O)C=1N=C(SC1)C(=O)OCC,0
944906-32-5,O=C(O)C1=NC(=NO1)C,0
307307-97-7,O=C(O)C=1C=NN2C1CCCC2,0
101048-77-5,N#CC1=CC=C(C=O)C=C1Cl,0
95962-95-1,S=C(N)C1=CN=CN1,0
906353-04-6,O=C(O)C=1N=C(SC1)N2CCOCC2,0
757247-75-9,N#CC1=CC=C(I)C(=C1Cl)C,0
714255-28-4,O=C(O)C=1NN=C2C1CCCC2,0
136605-73-7,BrCCNC(C=1C=CC=CC1)(C=2C=CC=CC2)C=3C=CC=CC3,0
1167055-73-3,O=C(O)C=1N=C(Br)OC1,0
842130-48-7,O=C(OCC)C=1N=C(SC1)CCl,0
208465-62-7,O=C(O)C=1N=C(OC1)CCl,0
104776-70-7,O=C(OCC)C1=NOC(=C1)C(=O)C,0
58654-09-4,C#CCC(OC1OCCCC1)C,0
82586-66-1,O=C(OCC)C=1N=C(SC1)CN(C)C,0
6575-18-4,N#CC1=C(Cl)C=C(N)C=C1Cl,0
1297540-69-2,FC=1C=C(N)C=C(Cl)C1Br,0
1297537-35-9,N#CC=1C=CC(=CC1Cl)C2=CC=NN2C3OCCCC3,0
1114547-55-5,N#CC1=CC=C(I)C(F)=C1Cl,0
944900-52-1,O=C(O)C=1N=C(OC1)N,0
139297-56-6,O=C(O)C1=NOC(=C1)CO,0
58110-58-0,O=CC=1OC(=CC1)C=2C=CC(Cl)=C(C2)C(F)(F)F,0
95312-11-1,O=C(O)C1=NOC(=C1)CBr,0
13139-47-4,O=C(O)C=1N=C(SC1)C(=O)C,0
718621-99-9,O=C(O)C1=NN2C(OCCC2)=C1,0
64-17-5,OCC,0
67-56-1,OC,0
50-00-0,O=C,0
68-12-2,O=CN(C)C,0
108-24-7,O=C(OC(=O)C)C,0
74-88-4,IC,0
141-43-5,OCCN,0
110-91-8,O1CCNCC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
76-05-1,O=C(O)C(F)(F)F,0
124-40-3,N(C)C,0
288-32-4,N=1C=CNC1,0
124-63-0,O=S(=O)(Cl)C,0
85-44-9,O=C1OC(=O)C=2C=CC=CC12,0
141-82-2,O=C(O)CC(=O)O,0
75-03-6,ICC,0
110-85-0,N1CCNCC1,0
100-63-0,NNC=1C=CC=CC1,0
108-98-5,SC=1C=CC=CC1,0
75-52-5,O=N(=O)C,0
109-01-3,N1CCN(C)CC1,0
75-16-1,Br[Mg]C,0
616-47-7,N=1C=CN(C1)C,0
78-94-4,O=C(C=C)C,0
62-55-5,S=C(N)C,0
79-22-1,O=C(Cl)OC,0
124-68-5,OCC(N)(C)C,0
110-87-2,O1C=CCCC1,0
762-42-5,O=C(C#CC(=O)OC)OC,0
513-86-0,O=C(C)C(O)C,0
58479-61-1,Cl[Si](C=1C=CC=CC1)(C=2C=CC=CC2)C(C)(C)C,0
98-98-6,O=C(O)C1=NC=CC=C1,0
95-92-1,O=C(OCC)C(=O)OCC,0
544-92-3,N#C[Cu],0
123-56-8,O=C1NC(=O)CC1,0
