CAS Registry Number,Canonical SMILES,key
17847-35-7,O=N(=O)C1=CC=C(C=C1)CNCC,0
5339-15-1,O=N(=O)C1=CC=C(C=C1)CCN2CCCCC2,0
1139453-98-7,O=C(N(C1=CC=C(C=C1)N(=O)=O)C)CN2CCN(C)CC2,0
132458-42-5,O=C1NC(=O)C(N1)CC2=CC=C(N)C=C2,0
59507-51-6,O=N(=O)C1=CC=C(C=C1)CNC2CCCCC2,0
25238-53-3,O=N(=O)C1=CC=C(C=C1)NCCN(C)C,0
415959-10-3,O=N(=O)C1=CC=C(C=C1)CN2CCC(C)CC2,0
99590-26-8,N1=NN(C=C1)CC2=CC=C(N)C=C2,0
62498-75-3,O=N(=O)C1=CC=C(C=C1)CNCCCC,0
247085-22-9,O=C(OC(C)(C)C)N(CC1=CC=C(N)C=C1)CC,0
4119-48-6,O=N(=O)C1=CC=C(NCCN(C)C)C(=C1)N(=O)=O,0
916739-48-5,O=N(=O)C1=CC=C(C=C1)CN(C(C)C)C(C)C,0
334949-32-5,O=C(OC)C1=CC=C2C(=C1)NC(=O)C2=C(NC3=CC=C(C=C3)N(C(=O)CN(C)C)C)C=4C=CC=CC4,0
329083-26-3,O=C(N(C1=CC=C(N)C=C1)CCN(C)C)C,0
262368-69-4,O=C(OCC)C1CCN(CC2=CC=C(N)C=C2)CC1,0
245546-82-1,O=C1N(CC2=CC=C(N)C=C2)CCC1,0
177971-47-0,O=C(OCC)C1CCN(CC2=CC=C(C=C2)N(=O)=O)CC1,0
15429-11-5,O=N(=O)C1=CC=C(C=C1)CN(CC=2C=CC=CC2)CC=3C=CC=CC3,0
689300-32-1,O=C(OC(C)(C)C)N(C)CC1=CC=C(C=C1)N(=O)=O,0
328289-91-4,NC1=CC=C(C=C1)CN2C(C)CCCC2C,0
229008-96-2,O(C)CCN(C)CC1=CC=C(N)C=C1,0
184921-11-7,O=N(=O)C1=CC=C(C=C1)CN2CCC(O)CC2,0
40224-23-5,NC1=CC=C(C=C1)CN2CCN(C=3C=CC=CC3)CC2,0
20173-88-0,OCCN(C)CC1=CC=C(N)C=C1,0
415929-19-0,O=N(=O)C1=CC=C(C=C1)CN(CC=2C=CC=CC2)CC,0
329083-27-4,O=C(N(C1=CC=C(N)C=C1)CCCN(C)C)C,0
328289-85-6,O=N(=O)C1=CC=C(C=C1)N(CCN(C)C)S(=O)(=O)C,0
262368-65-0,O(C)C1CCN(CC2=CC=C(N)C=C2)CC1,0
251552-19-9,NC1=CC=C(C=C1)CN2CCCCCC2,0
210686-43-4,O=N(=O)C1=CC=C(C=C1)CN2CCSCC2,0
157846-00-9,N1=CC=NN1CC2=CC=C(N)C=C2,0
75815-15-5,N1=CNC(C=2C=CC(N)=CC2)=C1C,0
328289-90-3,O=C(N(C)C)CN(C1=CC=C(N)C=C1)S(=O)(=O)C,0
247085-21-8,O=C(OC(C)(C)C)N(CC1=CC=C(C=C1)N(=O)=O)CC,0
158983-15-4,O=N(=O)C1=CC=C(C=C1)CN(C)CCC=2C=CC=CC2,0
334952-12-4,NC1=CC=C(C=C1)CN(C)CC,0
262368-28-5,O=C(N(C1=CC=C(N)C=C1)C)CN2CCCCC2,0
251552-25-7,NC1=CC=C(C=C1)CN2CC(C)CC(C)C2,0
251552-18-8,NC1=CC=C(C=C1)CN(CCC)CCC,0
244055-07-0,O=N(=O)C1=CC=C(C=C1)CN(CCC)CCC,0
223786-19-4,NC1=CC=C(C=C1)N(C)CCCN(C)C,0
157845-99-3,O=N(=O)C1=CC=C(C=C1)CN2N=CC=N2,0
152436-77-6,O(C=1C=C2C(=CC1OC)CCN(CC3=CC=C(N)C=C3)C2)C,0
103143-17-5,O=N(=O)C1=CC=C(C=C1)CN2CC3=CC(OC)=C(OC)C=C3CC2,0
83619-74-3,O=N(=O)C1=CC=C(C=C1)CN(C)CCO,0
5345-22-2,O=N(=O)C1=CC=C(C=C1)CCN(CC)CC,0
1099073-00-3,NC1=CC=C(C=C1)CN(CC=2C=CC=CC2)CCC,0
1099072-55-5,O=C(OC(C)(C)C)N(CC=1C=CC=CC1)CC2=CC=C(C=C2)N(=O)=O,0
334952-01-1,O=N(=O)C1=CC=C(C=C1)N(C)S(=O)(=O)C,0
334949-28-9,O=C(OC)C1=CC=C2C(=C1)NC(=O)C2=C(NC3=CC=C(C=C3)CN(C)C)C=4C=CC=CC4,0
328289-88-9,O=C(O)CN(C1=CC=C(C=C1)N(=O)=O)S(=O)(=O)C,0
309958-19-8,O=C(O)C1=CC=C2C(=C1)NC(=O)C2=C(NC3=CC=C(C=C3)CN4CCCCC4)C=5C=CC=CC5,0
263339-26-0,NC1=CC=C(C=C1)CN2CCC2,0
263339-23-7,O=N(=O)C1=CC=C(C=C1)CN2CCS(=O)(=O)CC2,0
251552-38-2,NC1=CC=C(C=C1)CN(CC=2C=CC=CC2)CC,0
251552-28-0,O=C(OC(C)(C)C)N(CC=1C=CC=CC1)CC2=CC=C(N)C=C2,0
229007-28-7,NC1=CC=C(C=C1)CN(C)CCC,0
223786-18-3,O=N(=O)C1=CC=C(C=C1)N(C)CCCN(C)C,0
223438-28-6,NC1=CC=C(C=C1)CN2CC=3C=CC=CC3CC2,0
212393-29-8,O=C(OC)C1N(CC2=CC=C(C=C2)N(=O)=O)CCC1,0
106977-06-4,O=N(=O)C1=CC=C(C=C1)CN(C)CC2=CC=C(OC)C(OC)=C2,0
1099072-97-5,O=N(=O)C1=CC=C(C=C1)CN(CC=2C=CC=CC2)CCC,0
854392-02-2,O=N(=O)C1=CC=C(C=C1)CN(C)CC=2C=CC=C(Cl)C2,0
854392-00-0,O=N(=O)C1=CC=C(C=C1)CN(C)CC2=CC=C(Cl)C=C2,0
817172-67-1,O=C(OC(C)(C)C)N(CC1=CC=C(C=C1)N(=O)=O)CCCC,0
431935-31-8,O=C(OC)CNCC1=CC=C(C=C1)N(=O)=O,0
414886-52-5,O=N(=O)C1=CC=C(C=C1)CN2CCC(CC=3C=CC=CC3)CC2,0
334952-31-7,O=S(=O)(N(C1=CC=C(N)C=C1)CCN(C)C)CCC,0
334952-08-8,O=C(OCC)C1=CC=C2C(=C1)N(C(=O)C2=C(OCC)C=3C=CC=CC3)C(=O)C,0
334952-06-6,OCC1CCN(CC2=CC=C(N)C=C2)CC1,0
334952-04-4,O=N(=O)C=1C=CC(=CC1)C2=NC=CN2C,0
334951-61-0,O=C(OC)C1=CC=C2C(=C1)NC(=O)C2=C(NC3=CC=C(C=C3)N(C(=O)CN4CCNCC4)C)C=5C=CC=CC5,0
334950-47-9,O=C(OC)C1=CC=C2C(=C1)NC(=O)C2=C(NC3=CC=C(C=C3)N(C(=O)C)CCCN(C)C)C=4C=CC=CC4,0
334949-38-1,O=C(OC)C1=CC=C2C(=C1)NC(=O)C2=C(NC3=CC=C(C=C3)CNC)C=4C=CC=CC4,0
334949-31-4,O=C(OC)C1=CC=C2C(=C1)NC(=O)C2=C(NC=3C=CC(=CC3)C4=NC=CN4C)C=5C=CC=CC5,0
334949-30-3,O=C(OC)C1=CC=C2C(=C1)NC(=O)C2=C(NC3=CC=C(C=C3)CNCC)C=4C=CC=CC4,0
