CAS Registry Number,Canonical SMILES,key
737789-16-1,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C=5C=CC=CC5)C2CN(C)CCC6=NC=CC=C6,0
737789-15-0,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C=5C=CC=CC5)C2CN(C)CCN6N=NC=C6,0
737789-10-5,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CCO)C2CN(C)CCOC,0
308831-99-4,O=C(O)C1=C(SC(C=2C=CC(=CC2)NC(=O)NOC)=C1CN(C)CC=3C=CC=CC3)N(C(=O)OCC)CC=4C(F)=CC=CC4F,0
308831-76-7,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C=5C=CC=CC5)C2CNC,0
107966-09-6,O=C(NCC)CC1=CC=C(N)C=C1,0
737790-55-5,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=CC=C(OC)C=C5)C2CN(C)C,0
737790-54-4,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NN=C(OC)C=C5)C2CNC,0
737790-47-5,O=S(=O)(OCC1(CO[Si](C)(C)C(C)(C)C)CC1)C,0
737789-86-5,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=CC=C(OC)C=C5)C2CN(C)CCO,0
737789-85-4,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NN=C(OC)C=C5)C2CN(C)CCO,0
737789-84-3,O=C1C=CC(=NN1)N2C(=O)C3=C(SC(C=4C=CC(=CC4)NC(=O)NOC)=C3CN(C)CCOC)N(C2=O)CC=5C(F)=CC=CC5F,0
737789-83-2,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=CC=C(OC)C=C5)C2CN(C)CCC6=NC=CC=C6,0
737789-82-1,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NN=C(OC)C=C5)C2CN(C)CCC6=NC=CC=C6,0
737789-81-0,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NN=C(OC)C=C5)C2CN(C)CC=6C=CC=CC6,0
737789-80-9,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NC=CN=C5)C2CN(C)CCOC,0
737789-79-6,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC(O)(C)C)C2CN(C)CCC5=NC=CC=C5,0
737789-78-5,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC(O)C)C2CN(C)CCC5=NC=CC=C5,0
737789-77-4,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC(O)(C)C)C2CN(C)CC=5C=CC=CC5,0
737789-76-3,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC(O)C)C2CN(C)CC=5C=CC=CC5,0
737789-75-2,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NN=C(C=C5)C)C2CN(C)CCOC,0
737789-74-1,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5CCC(O)CC5)C2CN(C)CCOC,0
737789-73-0,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5CCC(O)CC5)C2CN(C)CC=6C=CC=CC6,0
737789-72-9,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC5(CO)CC5)C2CN(C)CCOC,0
737789-71-8,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC(C)(C)CO)C2CN(C)CCOC,0
737789-69-4,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC(O)C(C)(C)C)C2CN(C)CCOC,0
737789-68-3,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC(F)(F)F)C2CN(C)CCOC,0
737789-67-2,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC(=O)C(C)(C)C)C2CN(C)CCOC,0
737789-66-1,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC(=O)C)C2CN(C)CCOC,0
737789-65-0,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CC(O)C)C2CN(C)CCOC,0
737789-64-9,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C)C2CN(C)CCOC,0
737789-63-8,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(OC)C(=O)N3CC=4C(F)=CC=CC4F)C2CN(C)CCOC,0
737789-62-7,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NN=CC=C5)C2CN(C)CCOC,0
737789-60-5,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C(C)C)C2CN(C)CCOC,0
737789-57-0,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CCC(C)C)C2CN(C)CCOC,0
737789-56-9,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NC=CN5C)C2CN(C)CCOC,0
737789-55-8,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=CC=C(C=C5)C(OC)(C)C)C2CN(C)CCOC,0
737789-54-7,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=CC=C(C=C5)C(O)(C)C)C2CN(C)CC=6C=CC=CC6,0
737789-53-6,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=CC=C(C=C5)C(O)(C)C)C2CN(C)CCOC,0
737789-52-5,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NC=CC=C5OC)C2CN(C)CCOC,0
737789-51-4,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NC(=CC=C5O)C)C2CN(C)CCOC,0
737789-50-3,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NC(=CC=C5OC)C)C2CN(C)CCOC,0
737789-49-0,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C=5N=C(C=CC5)C)C2CN(C)CCOC,0
737789-47-8,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=NC=C(Br)C=C5)C2CN(C)CCOC,0
737789-43-4,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C=5C=CC=CC5)C2CN(C)CC6N(CCC6)S(=O)(=O)C,0
737789-42-3,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=CC=C(F)C=C5)C2CN(C)CC6N(CCC6)S(=O)(=O)C,0
737789-41-2,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C=5C=CC=CC5)C2CN(C)CC6N(CCC6)S(=O)(=O)C,0
737789-40-1,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=CC=C(F)C=C5)C2CN(C)CCN(C)S(=O)(=O)C,0
737789-39-8,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C5=CC=C(F)C=C5)C2CN(C)CCN6C(=O)CCC6,0
737789-36-5,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C=5C=CC=CC5)C2CN(C)CCCN6C(=O)CCC6,0
737789-35-4,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)CCO)C2CN(C)CC5=NC=CC=C5,0
737789-34-3,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C=5C=CC=CC5)C2CN(C)CCN6N=NN=C6,0
737789-33-2,O=C(NOC)NC=1C=CC(=CC1)C=2SC3=C(C(=O)N(C(=O)N3CC=4C(F)=CC=CC4F)C=5C=CC=CC5)C2CN(C)CCN6N=NC=N6,0
