CAS Registry Number,Canonical SMILES,key
747413-21-4,O1B(OC(C)(C)C1(C)C)C2=CC=C(C=C2)N3CCN(C)CC3,0
1201905-61-4,O(C=CB1OC(C)(C)C(O1)(C)C)CC,0
1040377-08-9,OCCN1N=CC(=C1)B2OC(C)(C)C(O2)(C)C,0
101395-71-5,N1=CC=CN1CCN,0
34064-86-3,N#CCCN1CCNCC1,0
148900-69-0,N=1C=CC(=CC1OC)CN,0
876343-24-7,N1=CC(N)=CN1CC,0
1513857-77-6,O=C1N(C=2C(F)=C(OC)C=C(OC)C2F)CC3=CNC4=NC(=CC4=C3N1CC)CN5CCOCC5,1
145508-94-7,O=C(OC(C)(C)C)N1CCC(CI)CC1,0
22236-04-0,FC(F)OC=1C=CC=CC1N,0
79257-61-7,O=C(NC=1C=C(OC)C=C(OC)C1)C,0
181657-56-7,O(CC=1C=CC=CC1)C2CCCC2N,0
948570-74-9,N1=CC(N)=CN1CCOC,0
1195768-18-3,O=C(OC)C=1C=CC=C(N)C1F,0
5321-59-5,N=1C=CN=C(C1)CCN,0
123148-66-3,OCC=1C=CN=C(OC)C1,0
1006333-08-9,FC(F)CN1N=CC(N)=C1,0
1048962-82-8,O1CCC(C1)CN,0
1048962-84-0,O1CCC(C1)CN,0
651734-54-2,FC1=C(OC)C=C(OC)C(F)=C1N,0
194658-13-4,N=1C(OC)=CC=CC1CN,0
656257-45-3,O1B(OC(C)(C)C1(C)C)C2=CC=C(C=C2)N3CCN(CC)CC3,0
219489-07-3,O(C=CB1OC(C)(C)C(O1)(C)C)CC,0
958230-19-8,O=CC=1C=NC=2NC=CC2C1Cl,0
83179-01-5,O=C(OCC)C=1C=NC=2C=CSC2C1Cl,0
83472-62-2,ClC1=C(Br)C=NC=2N=CNC21,0
1315381-29-3,O=CC=1C=NC2=C(C=CN2COCC[Si](C)(C)C)C1Cl,0
1002719-50-7,FC1=C(OC)C=C(OC)C(Cl)=C1N,0
1160623-68-6,O=C(OC(C)(C)C)N1CCC(C[Zn]I)CC1,0
1032815-07-8,O=CC=1C=NC2=C(C=CN2S(=O)(=O)C=3C=CC=CC3)C1Cl,0
915403-16-6,O=CC1=CN=C2NC=CC2=C1NCC,0
1513860-02-0,O=C1N(C=2C(F)=C(OC)C=C(OC)C2F)CC3=CN=C4C(C=C(N4S(=O)(=O)C=5C=CC=CC5)CN6CCOCC6)=C3N1CC,0
