CAS Registry Number,Canonical SMILES,key
50-00-0,O=C,0
108-24-7,O=C(OC(=O)C)C,0
110-86-1,N=1C=CC=CC1,0
71-36-3,OCCCC,0
74-88-4,IC,0
62-56-6,S=C(N)N,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
109-89-7,N(CC)CC,0
75-04-7,NCC,0
358-23-6,O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F,0
75-64-9,NC(C)(C)C,0
75-44-5,O=C(Cl)Cl,0
530-62-1,O=C(N1C=NC=C1)N2C=NC=C2,0
122-51-0,O(CC)C(OCC)OCC,0
3282-30-2,O=C(Cl)C(C)(C)C,0
98-09-9,O=S(=O)(Cl)C=1C=CC=CC1,0
1885-14-9,O=C(Cl)OC=1C=CC=CC1,0
78-39-7,O(CC)C(OCC)(OCC)C,0
1068-55-9,Cl[Mg]C(C)C,0
1993-03-9,FC=1C=CC=CC1B(O)O,0
78-82-0,N#CC(C)C,0
624-78-2,N(C)CC,0
865-50-9,IC,0
23719-80-4,Br[Mg]C1CC1,0
3721-95-7,O=C(O)C1CCC1,0
5006-22-4,O=C(Cl)C1CCC1,0
1603-91-4,N1=C(SC=C1C)N,0
7531-52-4,O=C(N)C1NCCC1,0
5500-21-0,N#CC1CC1,0
4774-14-5,ClC=1N=C(Cl)C=NC1,0
1217486-61-7,O=C(N)C1N(C(=O)NC2=NC(=C(S2)C=3C=CN=C(C3)C(C)(C)C(F)(F)F)C)CCC1,1
591-08-2,O=C(NC(=S)N)C,0
6914-76-7,O=C(O)C1(C)CC1,0
321-23-3,O=N(=O)C1=CC=C(Br)C=C1F,0
556-90-1,O=C1N=C(SC1)N,0
128071-98-7,FC1=NC=CC(Br)=C1,0
14002-80-3,O=C(OC)C(C)(C)CO,0
277756-46-4,O=C(O)C1(CC1)C(F)(F)F,0
22282-70-8,FC1=NC=CC(I)=C1,0
4652-27-1,O=C(C=COC)C,0
2719-23-5,O=C(NC1=NC=CS1)C,0
4426-11-3,N#CC1CCC1,0
16480-05-0,O=C(Cl)C1(C)CC1,0
889940-13-0,O=C(O)C(C)(C)C(F)(F)F,0
16728-01-1,O=C(O)C1(C2=CC=C(OC)C=C2)CC1,0
588729-99-1,ClC1=NC=C(Br)C=C1N,0
277756-45-3,O=C(O)C1(CCC1)C(F)(F)F,0
32936-76-8,O=C(O)C1(C)CCC1,0
7336-51-8,O=C(NC1=NC(=CS1)C)C,0
79456-34-1,FC(F)(F)C1=CC(Br)=CN=C1N,0
18240-93-2,N=C(N)N(CC)CC,0
2955-46-6,O=C(O)C(C1=CC=C(OC)C=C1)(C)C,0
918-20-7,ClC(C)(C)C,0
453-11-2,FCC(O)CCl,0
848074-36-2,O=C(Cl)C1(CC1)C(F)(F)F,0
1083326-17-3,O=S(=O)(NC1=CC(Br)=CN=C1Cl)C=2C=CC=CC2,0
1163707-53-6,O=C(Cl)C(C)(C)C(F)(F)F,0
453-12-3,O=C(CF)CCl,0
64241-77-6,O=C(O)C(C)(C)CF,0
16728-02-2,O=C(Cl)C1(C2=CC=C(OC)C=C2)CC1,0
1162695-95-5,BrC1=CC=C(N)C(=C1)NCC,0
2033-46-7,O=C(NC1=NC(=C(I)S1)C)C,0
10523-97-4,ClC1(C)CCC1,0
813448-98-5,O=N(=O)C1=CC=C(Br)C=C1NCC,0
21890-82-4,O=C(Cl)C1(C)CCC1,0
848472-44-6,O=C(OC(C)(C)C)NC1=NC(=CS1)C,0
120092-66-2,N(CC)CC,0
507487-90-3,O=C(C=CN(C)C)C=1SC(N=CN(C)C)=NC1C,0
1086381-30-7,BrC=1C=CN=C(C1)C(C)(C)C,0
83395-36-2,O=C(OCCCC)N1C=NC=C1,0
95298-07-0,O=C(Cl)C(C)(C)CF,0
22918-03-2,ClC=1C=CN=C(I)C1,0
813449-00-2,BrC=1C=CC=2N=CN(C2C1)CC,0
98420-91-8,ClC=1C=CN=C(C1)C(C)C,0
40919-14-0,O=C(Cl)C(C1=CC=C(OC)C=C1)(C)C,0
37641-15-9,O=C1N=C(SC1)NC(=O)C,0
1163707-56-9,N#CC1(C2=NC=CC(Br)=C2)CC1,0
87867-10-5,O=C(C)CBr,0
1217486-47-9,O=C(N)C1N(C(=O)NC2=NC(=C(S2)C=3C=CN=C(C3)C(C)(C)C)C)CCC1,0
1208092-05-0,O=C(O)C(C)(CF)CF,0
1068560-15-5,O=C(OC)C(C)(C)CF,0
89283-43-2,O=C(NC1=NC(Cl)=CS1)C,0
1163706-65-7,O=C1C=CNC(=C1)C(C)(C)C,0
1163706-63-5,O=C(NC1=NC(=C(S1)C=2C=CN=C(C2)C(C)(C)C)C)C,0
1163706-62-4,N=1C=CC(=CC1C(C)(C)C)C=2SC(=NC2C)N,0
1163706-60-2,O=C(NC1=NC(=C(S1)C=2C=CN=C(C2)C(C)(C)C)C)N3C=NC=C3,0
936240-64-1,O=C(OC)C(C)(CF)CF,0
307972-33-4,O=C1C=COC(C1)C(C)(C)C,0
74628-10-7,O=C(C=COC)C=C(O)C(C)(C)C,0
790706-34-2,O=C(N)C1N(C(=O)NC2=NC(=C(S2)C=3N=C(N=CC3)C(C)(C)C)C)CCC1,0
100007-67-8,O=C(Cl)C(C)(CF)CF,0
1163707-72-9,BrC1=CC=C(N)C(=C1)NC(C)(C)C,0
1033538-21-4,O=C(Cl)C1(CCC1)C(F)(F)F,0
918530-84-4,FC=1C=CC=CC1C2=NC=CC(Cl)=C2,0
90565-53-0,O=C1N=C(NC(=C1)C)C(C)(C)C,0
1163707-71-8,BrC=1C=CC=2N=CN(C2C1)C(C)(C)C,0
1163707-68-3,O=C(OC)C(C)(C)COS(=O)(=O)C(F)(F)F,0
