CAS Registry Number,Canonical SMILES,key
64-17-5,OCC,0
62-53-3,NC=1C=CC=CC1,0
68-12-2,O=CN(C)C,0
108-24-7,O=C(OC(=O)C)C,0
110-91-8,O1CCNCC1,0
74-89-5,NC,0
76-05-1,O=C(O)C(F)(F)F,0
75-36-5,O=C(Cl)C,0
124-40-3,N(C)C,0
124-63-0,O=S(=O)(Cl)C,0
123-75-1,N1CCCC1,0
75-12-7,O=CN,0
75-04-7,NCC,0
75-31-0,NC(C)C,0
109-01-3,N1CCN(C)CC1,0
75-75-2,O=S(=O)(O)C,0
103-71-9,O=C=NC=1C=CC=CC1,0
143-33-9,N#C[Na],0
60-35-5,O=C(N)C,0
122-51-0,O(CC)C(OCC)OCC,0
105-56-6,N#CCC(=O)OCC,0
79-22-1,O=C(Cl)OC,0
765-30-0,NC1CC1,0
108-00-9,NCCN(C)C,0
2393-23-9,O(C1=CC=C(C=C1)CN)C,0
109-85-3,O(C)CCN,0
557-21-1,N#C[Zn]C#N,0
1885-14-9,O=C(Cl)OC=1C=CC=CC1,0
372-19-0,FC1=CC=CC(N)=C1,0
107-91-5,N#CCC(=O)N,0
123-00-2,O1CCN(CC1)CCCN,0
5332-73-0,O(C)CCCN,0
38870-89-2,O=C(Cl)COC,0
38041-19-9,O1CCC(N)CC1,0
4248-19-5,O=C(OC(C)(C)C)N,0
1195-45-5,O=C=NC1=CC=C(F)C=C1,0
2909-38-8,O=C=NC=1C=CC=C(Cl)C1,0
86-84-0,O=C=NC1=CC=CC=2C=CC=CC12,0
41838-46-4,NC1CCN(C)CC1,0
372-39-4,FC=1C=C(F)C=C(N)C1,0
105-50-0,O=C(OCC)CC(=O)CC(=O)OCC,0
2444-36-2,O=C(O)CC=1C=CC=CC1Cl,0
598-94-7,O=C(N)N(C)C,0
16744-98-2,O=C=NC=1C=CC=CC1F,0
404-71-7,O=C=NC=1C=CC=C(F)C1,0
18542-42-2,S(C)CCN,0
57946-56-2,FC1=CC(Cl)=CC=C1N,0
69843-13-6,N1=CC(N)=CN1C,0
926-63-6,N(C)(C)CCC,0
132958-72-6,N1CCC(N(C)C)C1,0
3430-14-6,N=1C=C(N)C=CC1C,0
132883-44-4,N1CCC(N(C)C)C1,0
88675-24-5,O1CCC(N)C1,0
702-24-9,O(C1=CC=C(C=C1)CNC)C,0
16413-26-6,N#CC1=CC=CC(N=C=O)=C1,0
455-88-9,O=N(=O)C1=CC=C(F)C(=C1)C,0
99636-32-5,O(C)CC(N)C,0
4519-39-5,O=C(O)C=1C=CC=C(F)C1F,0
81228-09-3,O=C(O)CC1=CC=C(F)C=C1F,0
5381-25-9,O=C(O)C1=CSC=2C=CC=CC21,0
57933-83-2,O=C(Cl)OC(=C)C,0
83594-83-6,O=C=NC=1C=C(F)C=C(F)C1,0
35150-07-3,O=C(OC(C)(C)C)N1CCCC1C(=O)N,0
4863-91-6,FC=1C=C(Cl)C=C(N)C1,0
39718-32-6,O=C=NC1=CC(F)=CC=C1F,0
40296-46-6,O=C(OCC)C1=CN=C(Cl)C=C1Cl,0
13220-27-4,NC1CN(C)CC1,0
52215-41-5,FC=1C=C(N)C=C(C1)C,0
1442472-39-0,O=C(NC=1C=CC=CC1)NC=2C=C(C(Br)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC,1
61150-59-2,O=C(O)CC1=CC=C(F)C=C1Br,0
29027-20-1,ClC=1C=C(N)C=C(C1)C,0
59280-70-5,O=C(NC1=CC=C(Cl)C=C1F)C,0
118684-32-5,O=C(OC(C)(C)C)NC1=CC=CC(=C1)CBr,0
6975-44-6,O=C1C=C(O)C(=CN1)C(=O)OCC,0
454-15-9,O=N(=O)C1=CC=C(F)C(=C1)CBr,0
449811-28-3,O=C(OCC)C1=CN=C(Cl)C=C1NC,0
449811-29-4,O=CC1=CN=C(Cl)C=C1NC,0
499-08-1,O=N(=O)C1=CC(F)=CC(=C1)C,0
407640-40-8,O=C(O)CC1=CC=C(F)C=C1C,0
449811-30-7,ClC1=NC=C(C(=C1)NC)CO,0
37777-70-1,O=C(O)CC1=CC(=CC=C1Cl)N(=O)=O,0
959163-01-0,O=CC1=CN=C(Cl)C=C1NCC,0
1012880-02-2,O=CC1=CN=C(Cl)C=C1NC(C)C,0
959162-99-3,ClC1=NC=C(C(=C1)NCC)CO,0
959162-97-1,O=C(OCC)C1=CN=C(Cl)C=C1NCC,0
352223-25-7,O=C(O)CC1=CC(=C(F)C=C1F)N(=O)=O,0
883987-75-5,O=N(=O)C1=CC(F)=CC(=C1)CBr,0
1012880-03-3,O=C(O)CC1=CC(=C(F)C=C1C)N(=O)=O,0
858972-17-5,O=C(OCC)CC1=CC=C(F)C(N)=C1,0
1442473-09-7,O=C(NC=1C=CC=CC1)NC=2C=C(C(Br)=CC2F)C3=CC=4C=NC(N)=CC4N(C3=O)CC,0
1442471-26-2,O=C(OCC)CC1=CC(N)=C(F)C=C1Br,0
1012879-09-2,O=C(O)CC1=CC(=C(F)C=C1Br)N(=O)=O,0
697305-73-0,FC1=CC=C(N)C=C1CN(C)C,0
260541-01-3,O=N(=O)C1=CC=C(F)C(=C1)CN2CCCC2,0
1442470-53-2,O=C1C(=CC=2C=NC(=CC2N1CC)NC)C3=CC(N)=C(F)C=C3Br,0
1012880-10-2,O=C(OCC)CC1=CC(N)=C(F)C=C1Cl,0
1012880-07-7,O=C(OCC)CC1=CC(N)=C(F)C=C1F,0
1012880-05-5,O=C(OCC)CC1=CC(N)=C(F)C=C1C,0
1012879-10-5,O=C(OCC)CC1=CC(=C(F)C=C1Br)N(=O)=O,0
697305-63-8,O=N(=O)C1=CC=C(F)C(=C1)CN(C)C,0
1442473-88-2,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(Cl)=CC4N(C3=O)CC,0
1442473-87-1,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC(=O)N5CCC(N(C)C)C5,0
1442473-84-8,O=C(NC1=CC=CC(=C1)CN2CCN(C)CC2)NC=3C=C(C(Br)=CC3F)C4=CC=5C=NC(=CC5N(C4=O)CC)NC,0
1442473-83-7,O=C(NC1=CC=CC(=C1)CN2CCN(C)CC2)NC=3C=C(C4=CC=5C=NC(=CC5N(C4=O)CC)NC)C(=CC3F)C,0
1442473-82-6,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC(=O)N5CC(O)C5,0
1442473-81-5,O=C(NC=1C=CC=CC1)NC=2C=C(C3=CC=4C=NC(=CC4N(C3=O)CC)NC(=O)C)C(=CC2F)C,0
1442473-79-1,O=C(NC1=CC=CC(=C1)CN2CCN(C)CC2)NC=3C=C(C(Cl)=CC3F)C4=CC=5C=NC(=CC5N(C4=O)CC)NC,0
1442473-78-0,O=C(NC1=CC=CC(=C1)CN2CCN(C)CC2)NC=3C=C(C(Cl)=CC3F)C4=CC=5C=NC(=CC5N(C4=O)CC)N(C)CC6=CC=C(OC)C=C6,0
1442473-77-9,O=C(NC=1C=CC=C(F)C1)NC=2C=C(C3=CC=4C=NC(=CC4N(C3=O)CC)NC(=O)C)C(=CC2F)C,0
1442473-75-7,O=C(NC=1C=CC=C(F)C1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)C(C)C)NC,0
1442473-74-6,N#CC1=CC(F)=C(C=C1C2=CC=3C=NC(=CC3N(C2=O)CC)NC)NC(=O)NC=4C=CC=CC4,0
1442473-73-5,N#CC1=CC(F)=C(N)C=C1C2=CC=3C=NC(=CC3N(C2=O)CC)NC,0
1442473-72-4,N#CC1=CC(F)=C(N)C=C1C2=CC=3C=NC(Cl)=CC3N(C2=O)CC,0
1442473-71-3,N#CCC(=O)NC=1N=CC=2C=C(C(=O)N(C2C1)CC)C3=CC(NC(=O)NC=4C=CC=CC4)=C(F)C=C3F,0
1442473-70-2,N#CCC(=O)NC=1N=CC=2C=C(C(=O)N(C2C1)CC)C3=CC(NC(=O)OC=4C=CC=CC4)=C(F)C=C3F,0
1442473-69-9,N#CCC(=O)NC=1N=CC=2C=C(C(=O)N(C2C1)CC)C3=CC(N)=C(F)C=C3F,0
1442473-68-8,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC(=O)COC,0
1442473-66-6,O=C(OC)NC=1N=CC=2C=C(C(=O)N(C2C1)CC)C3=CC(NC(=O)NC=4C=CC=CC4)=C(F)C=C3Cl,0
1442473-65-5,O=C(NC1=CC(F)=CC(=C1)C)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC,0
1442473-64-4,O=C(NC1=CC(F)=CC(=C1)C)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)N(C)CC5=CC=C(OC)C=C5,0
1442473-63-3,O=C(NC=1C=C(F)C=C(Cl)C1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC,0
1442473-62-2,O=C(NC=1C=C(F)C=C(Cl)C1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)N(C)CC5=CC=C(OC)C=C5,0
1442473-61-1,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC(=O)N(C)C,0
1442473-60-0,O=C(NC=1C=C(F)C=C(Cl)C1)NC=2C=C(C3=CC=4C=NC(=CC4N(C3=O)CC)NC)C(=CC2F)C,0
1442473-59-7,O=C(NC=1C=C(F)C=C(Cl)C1)NC=2C=C(C3=CC=4C=NC(=CC4N(C3=O)CC)N(C)CC5=CC=C(OC)C=C5)C(=CC2F)C,0
1442473-58-6,O=C(NC1=CC(F)=CC=C1F)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC,0
1442473-57-5,O=C(NC1=CC(F)=CC=C1F)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)N(C)CC5=CC=C(OC)C=C5,0
1442473-54-2,O=C(NC=1C=C(F)C=C(F)C1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC(=O)C,0
1442473-52-0,O=C(NC=1C=C(F)C=C(F)C1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(Cl)=CC4N(C3=O)CC,0
1442473-50-8,O=C(NC=1C=CC=CC1)NC=2C=C(C(F)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC(=O)C,0
1442473-48-4,O=C(NC=1C=CC=CC1)NC=2C=C(C(F)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)N(C(=O)C)C(=O)C,0
1442473-46-2,O=C(NC=1C=CC=CC1)NC=2C=C(C(F)=CC2F)C3=CC=4C=NC(N)=CC4N(C3=O)CC,0
1442473-44-0,O=C1C(=CC=2C=NC(N)=CC2N1CC)C3=CC(N)=C(F)C=C3F,0
1442473-42-8,N#CCC(=O)NC=1N=CC=2C=C(C(=O)N(C2C1)CC)C3=CC(NC(=O)NC=4C=CC=CC4)=C(F)C=C3Cl,0
1442473-40-6,N#CCC(=O)NC=1N=CC=2C=C(C(=O)N(C2C1)CC)C3=CC(NC(=O)NC=4C=CC=CC4)=C(F)C=C3Br,0
1442473-38-2,O=C(NC=1C=C(F)C=C(F)C1)NC2=CC(=C(F)C=C2F)C3=CC4C=NC(=CC4N(C3=O)CC)NC,0
1442473-36-0,O=C(NC=1C=C(F)C=C(F)C1)NC2=CC(=C(F)C=C2F)C3=CC4C=NC(=CC4N(C3=O)CC)N(C)CC5=CC=C(OC)C=C5,0
1442473-33-7,O=C(NC1=CC(F)=CC=C1F)NC2=CC(=C(F)C=C2F)C3=CC4C=NC(=CC4N(C3=O)CC)NC,0
1442473-31-5,O=C(NC1=CC(F)=CC=C1F)NC2=CC(=C(F)C=C2F)C3=CC4C=NC(=CC4N(C3=O)CC)N(C)CC5=CC=C(OC)C=C5,0
1442473-29-1,O=C(NC1=CC(F)=CC=C1F)NC=2C=C(C3=CC=4C=NC(=CC4N(C3=O)CC)NC)C(=CC2F)C,0
1442473-27-9,O=C(NC=1C=C(F)C=C(F)C1)NC=2C=C(C3=CC=4C=NC(=CC4N(C3=O)CC)NC)C(=CC2F)C,0
1442473-25-7,O=C(NC=1C=C(C2=CC=3C=NC(=CC3N(C2=O)CC)NC)C(=CC1F)C)NC4=CSC=5C=CC=CC54,0
1442473-23-5,O=C(NC=1C=CC=C(F)C1)NC=2C=C(C3=CC=4C=NC(N)=CC4N(C3=O)CC)C(=CC2F)C,0
1442473-21-3,O=C(OC(=C)C)NC=1C=CC=C(F)C1,0
1442473-19-9,O=C(NC=1C=CC=CC1)NC=2C=C(C(Br)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)C)NC,0
1442473-17-7,O=C1C(=CC=2C=NC(=CC2N1C)NC)C3=CC(N)=C(F)C=C3Br,0
1442473-13-3,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC(=O)C,0
1442473-11-1,O=C(NC=1C=CC=CC1)NC=2C=C(C(Br)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC(=O)C,0
1442473-07-5,O=C(NC=1C=CC=CC1)NC=2C=C(C(Br)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NCC5=CC=C(OC)C=C5,0
1442473-05-3,O=C(NC=1C=CC=CC1)NC=2C=C(C(Br)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NCCS(=O)(=O)C,0
1442473-03-1,O=C(NC=1C=CC=CC1)NC=2C=C(C(Br)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NCCSC,0
1442472-99-2,O=C(NC=1C=CC=CC1)NC=2C=C(C(Br)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NCCOC,0
1442472-97-0,O=C(NC=1C=CC=C(F)C1)NC=2C=C(C(Br)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC,0
1442472-95-8,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC5CN(C)CC5,0
1442472-93-6,O=C1C(=CC=2C=NC(=CC2N1CC)NC3CN(C)CC3)C4=CC(N)=C(F)C=C4Cl,0
1442472-91-4,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NCCS(=O)(=O)C,0
1442472-89-0,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NCCSC,0
1442472-87-8,O=C1C(=CC=2C=NC(=CC2N1CC)NCCSC)C3=CC(N)=C(F)C=C3Cl,0
1442472-85-6,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC5COCC5,0
1442472-83-4,O=C(NC=1C=CC=CC1)NC=2C=C(C(Cl)=CC2F)C3=CC=4C=NC(=CC4N(C3=O)CC)NC5CCN(C)CC5,0
