CAS Registry Number,Canonical SMILES,key
50-00-0,O=C,0
100-52-7,O=CC=1C=CC=CC1,0
68-12-2,O=CN(C)C,0
108-24-7,O=C(OC(=O)C)C,0
74-88-4,IC,0
75-07-0,O=CC,0
123-11-5,O=CC1=CC=C(OC)C=C1,0
100-39-0,BrCC=1C=CC=CC1,0
98-88-4,O=C(Cl)C=1C=CC=CC1,0
76-05-1,O=C(O)C(F)(F)F,0
59-67-6,O=C(O)C=1C=NC=CC1,0
98-59-9,O=S(=O)(Cl)C1=CC=C(C=C1)C,0
75-36-5,O=C(Cl)C,0
124-63-0,O=S(=O)(Cl)C,0
18162-48-6,Cl[Si](C)(C)C(C)(C)C,0
123-75-1,N1CCCC1,0
75-03-6,ICC,0
73183-34-3,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0
79-31-2,O=C(O)C(C)C,0
74-96-4,BrCC,0
109-86-4,OCCOC,0
108-01-0,OCCN(C)C,0
75-16-1,Br[Mg]C,0
103-71-9,O=C=NC=1C=CC=CC1,0
407-25-0,O=C(OC(=O)C(F)(F)F)C(F)(F)F,0
98-09-9,O=S(=O)(Cl)C=1C=CC=CC1,0
32315-10-9,O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,0
1121-60-4,O=CC1=NC=CC=C1,0
106-94-5,BrCCC,0
98-98-6,O=C(O)C1=NC=CC=C1,0
500-22-1,O=CC=1C=NC=CC1,0
100-07-2,O=C(Cl)C1=CC=C(OC)C=C1,0
78-81-9,NCC(C)C,0
75-30-9,IC(C)C,0
57260-71-6,O=C(OC(C)(C)C)N1CCNCC1,0
7677-24-9,N#C[Si](C)(C)C,0
107-08-4,ICCC,0
79-30-1,O=C(Cl)C(C)C,0
7693-46-1,O=C(Cl)OC1=CC=C(C=C1)N(=O)=O,0
589-87-7,BrC1=CC=C(I)C=C1,0
1885-14-9,O=C(Cl)OC=1C=CC=CC1,0
403-43-0,O=C(Cl)C1=CC=C(F)C=C1,0
4023-34-1,O=C(Cl)C1CC1,0
623-47-2,O=C(C#C)OCC,0
2719-27-9,O=C(Cl)C1CCCCC1,0
98-68-0,O=S(=O)(Cl)C1=CC=C(OC)C=C1,0
543-27-1,O=C(Cl)OCC(C)C,0
37595-74-7,O=S(=O)(N(C=1C=CC=CC1)S(=O)(=O)C(F)(F)F)C(F)(F)F,0
6482-24-2,BrCCOC,0
349-88-2,O=S(=O)(Cl)C1=CC=C(F)C=C1,0
100-55-0,OCC=1C=NC=CC1,0
5416-93-3,O=C=NC1=CC=C(OC)C=C1,0
611-71-2,O=C(O)C(O)C=1C=CC=CC1,0
17199-29-0,O=C(O)C(O)C=1C=CC=CC1,0
622-40-2,OCCN1CCOCC1,0
108-12-3,O=C(Cl)CC(C)C,0
1795-48-8,O=C=NC(C)C,0
108-23-6,O=C(Cl)OC(C)C,0
1939-99-7,O=S(=O)(Cl)CC=1C=CC=CC1,0
558-30-5,O1CC1(C)C,0
625-08-1,O=C(O)CC(O)(C)C,0
4524-93-0,O=C(Cl)C1CCCC1,0
683-57-8,O=C(N)CBr,0
10111-08-7,O=CC1=NC=CN1,0
773-64-8,O=S(=O)(Cl)C=1C(=CC(=CC1C)C)C,0
5006-22-4,O=C(Cl)C1CCC1,0
5625-67-2,O=C1NCCNC1,0
94-53-1,O=C(O)C1=CC=C2OCOC2=C1,0
6226-25-1,O=S(=O)(OCC(F)(F)F)C(F)(F)F,0
920-37-6,N#CC(Cl)=C,0
3240-94-6,ClCCN1CCOCC1,0
86864-60-0,BrCCO[Si](C)(C)C(C)(C)C,0
659-28-9,O=CC1=CC=C(OC(F)(F)F)C=C1,0
16088-62-3,O1CC1C,0
6628-77-9,N=1C=C(N)C=CC1OC,0
15448-47-2,O1CC1C,0
5337-03-1,O=C(O)C1CCOCC1,0
1122-72-1,O=CC=1N=C(C=CC1)C,0
552-63-6,O=C(O)C(C=1C=CC=CC1)CO,0
2675-89-0,O=C(N(C)C)CCl,0
112275-50-0,O=C(OC(C)(C)C)N1CCNCCC1,0
5239-82-7,O=C(O)CC1CC1,0
13472-85-0,BrC1=CN=C(OC)C=C1,0
5006-66-6,O=C(O)C=1C=CC(=O)NC1,0
89031-84-5,BrCCCO[Si](C)(C)C(C)(C)C,0
27374-25-0,O(CC)C1(O[Si](C)(C)C)CC1,0
2516-99-6,O=C(O)CC(F)(F)F,0
3966-32-3,O=C(O)C(OC)C=1C=CC=CC1,0
766-11-0,FC1=NC=C(Br)C=C1,0
26164-26-1,O=C(O)C(OC)C=1C=CC=CC1,0
50675-18-8,O=CC1CCOCC1,0
36016-38-3,O=C(OC(C)(C)C)NO,0
1648-99-3,O=S(=O)(Cl)CC(F)(F)F,0
5050-41-9,ClCCN1CCCC1,0
934-60-1,O=C(O)C=1N=C(C=CC1)C,0
16937-99-8,O=C(OC(C)(C)C)NC(C(=O)O)CC(C)C,0
3222-47-7,O=C(O)C1=CN=C(C=C1)C,0
36016-40-7,O=S(=O)(ON)C=1C(=CC(=CC1C)C)C,0
89364-31-8,O=C(O)C1COCC1,0
351-54-2,O=CC1=CC=C(OC)C(F)=C1,0
16744-81-3,O=CC1=NC=CC(OC)=C1,0
3914-42-9,ClCC1=NN=C(O1)C,0
169457-73-2,O=C(OC(C)(C)C)N1CCC(CCBr)CC1,0
113732-84-6,O=CC=1N=C(OC1)C,0
185246-17-7,ClCC1=NC=CO1,0
312300-42-8,O=S(=O)(Cl)C1=CN=C(OC)C=C1,0
39207-65-3,O=C1CCCCC1C(=O)C(C)C,0
1192-81-0,ClCC1=NC(=NO1)C,0
113118-82-4,O=CC=1C=NC=C(Cl)C1,0
27643-15-8,O=CC=1N=NSC1,0
57044-24-3,ClCC1OC(OC1)(C)C,0
304903-10-4,O=CC=1C=NN(C1)CC,0
60456-22-6,ClCC1OC(OC1)(C)C,0
34970-18-8,O=C(O)C1CC(C)(C)C1,0
871125-86-9,N=1C=C(C=CC1N2CCNCC2)B3OC(C)(C)C(O3)(C)C,0
149805-92-5,O=CC1=CN=C(C=C1)N(C)C,0
54149-16-5,BrCCOC(C)C,0
253176-93-1,O=C(OC(C)(C)C)N1CC(CBr)C1,0
50866-30-3,O=CC1=NC=C(N=C1)C,0
188554-13-4,O=CC=1C=CNC(=O)C1,0
100910-66-5,O=CC1=CN=CC(=C1)C,0
116422-39-0,OCC(OC)C,0
1251017-66-9,O=C(OC(C)(C)C)N1CC2NC(C1)C2,0
20826-03-3,O=C(O)C=1C=NC=C(OC)C1,0
89641-80-5,O=C(Cl)OC1CCOCC1,0
131747-68-7,N#CC1=NC=C(C=O)C=C1,0
59702-21-5,O=C1N(CC=2C=CC=CC2)CCNC1,0
32222-45-0,O=C(O)C(O)C1=CC=C(F)C=C1,0
51333-90-5,O=C1N(CCCl)CCC1,0
16681-69-9,O=CC=1N=NN(C1)C,0
654-11-5,O=CC1=CC(F)=C(OC)C(F)=C1,0
53333-76-9,O=S(=O)(Cl)CC(C)(C)C,0
473917-15-6,O=CC1=CC=C(OC(F)(F)F)C(F)=C1,0
58819-72-0,O=CC1=CC=C(N=C1OC)OC,0
113825-16-4,O=CC1=NC=C(N1)C,0
115655-44-2,O=C(OC(C)(C)C)NC1(C(=O)OC)CCNCC1,0
1207836-10-9,N#CC=1C=NN2C=C(Br)C=C(OC)C12,0
142121-93-5,O=C(OC(C)(C)C)NC(C(=O)O)C1=CC=C(F)C=C1,0
313735-67-0,O=CC=1C=NN(C1)C(C)C,0
178153-11-2,O=C(Cl)OC1COCC1,0
1251010-45-3,O=C(OC(C)(C)C)N1C2COCC1CNC2,0
1216936-29-6,O=C(OC(C)(C)C)N1CCC12CCNCC2,0
303085-53-2,O=CC1=NN=C(Cl)C=C1,0
2068065-16-5,N#CC=1C=NN2C=C(Br)C=C(O)C12,0
32205-72-4,O=CC=1N=CC(=NC1)OC,0
196707-32-1,O=C(OC(C)(C)C)NC(C(=O)O)C1=CC=C(F)C=C1,0
18206-06-9,O=CC=1C=C(N=C(C1)C)C,0
1005-28-3,O=CC=1SC(=NC1)N(C)C,0
2222756-23-0,N#CC=1C=NN2C=C(Br)C=C(OS(=O)(=O)C(F)(F)F)C12,0
1000515-83-2,O=C(O)CC1=NC=C(F)C=C1,0
94170-15-7,O=CC=1C=CN(C(=O)C1)C,0
89180-90-5,ClCC1=CN=CN1C,0
