CAS Registry Number,Canonical SMILES,key
1887015-06-6,O=C(OCC)C=1N=C2C=C(Cl)C=CC2=NC1Cl,0
1887015-02-2,O=C1N=C2NC=C(Cl)C=C2C=C1C(NS(=O)C(C)(C)C)C,0
1887014-75-6,O=C1NC=2C=C(F)C(Cl)=CC2C=C1C(NS(=O)C(C)(C)C)C,0
1887014-73-4,O=C1NC=2C=C(F)C(Cl)=CC2C=C1C(=O)C,0
1887014-62-1,O=CC=1C=C2C=C(Cl)C(F)=CC2=NC1Cl,0
1887014-29-0,N#CC1=CC=C(NC(C2=CC=3C=C(Cl)C=C(F)C3NC2=O)C)C(=O)N1C,0
1887014-28-9,N#CC1=CC=C(NC(C2=CC=3C=C(Cl)C(OC(C)C)=CC3NC2=O)C)C(=O)N1C,0
1887014-25-6,N#CC1=CC=C(NC(C2=CC=3C=C(Cl)C(OC(C4=NC=CC=C4)C)=CC3NC2=O)C)C(=O)N1C,0
1887014-19-8,N#CC1=CC=C(NC(C2=CC=3C=C(Cl)C(OC)=CC3NC2=O)C)C(=O)N1C,0
1887014-04-1,O=C1NC=2C=CC(Cl)=CC2C=C1CNC3=CC=CN(C3=O)C4CC4,0
1887014-02-9,O=C1NC=2C=CC(Cl)=CC2C=C1CNC3=CC=CN(C3=O)C,0
1887014-01-8,O=C1NC=2C=CC(Cl)=CC2C=C1CNC3=CC=CN(C3=O)CC,0
1887014-00-7,N#CC1=CC=C(NCC2=CC=3C=C(Cl)C=CC3NC2=O)C(=O)N1C,0
1887009-72-4,O=C1NC=2C=C(OCC3=NC=CC=C3)C(Cl)=CC2C=C1C(NS(=O)C(C)(C)C)C,0
1887009-71-3,O=C1NC=2C=C(OCC3=NC=CC=C3)C(Cl)=CC2C=C1C=NS(=O)C(C)(C)C,0
1887009-70-2,O=CC1=CC=2C=C(Cl)C(OCC3=NC=CC=C3)=CC2NC1=O,0
1887009-66-6,O=C1NC=2C=C(OC)C(Cl)=CC2C=C1C(N)C,0
1422453-69-7,O=C1C(F)=CC=CN1C,0
1314922-96-7,N#CC=1N=C(OC)C(N)=CC1,0
1170774-20-5,N#CC1=NC=C(C=C1)NC(=O)C(F)(F)F,0
221167-38-0,O=C(OC)C1=NC=2C=C(Cl)C=CC2NC1=O,0
59956-06-8,O=C(OC)C=1N=C2C=C(Cl)C=CC2=NC1Cl,0
1887015-49-7,O=S(N=C(C=1C=C2C=C(Cl)C(OC(C)C)=CC2=NC1OC)C)C(C)(C)C,0
1887015-45-3,ClC1=CC2=CC(=C(N=C2C=C1OC(C)C)OC)C(O)C,0
1887015-43-1,O=CC=1C=C2C=C(Cl)C(OC(C)C)=CC2=NC1OC,0
1887015-36-2,O=C1NC=2C=C(OC(C)C)C(Cl)=CC2C=C1C(N)C,0
1887015-29-3,O=C1NC=2C=C(OCC3CC(F)(F)C3)C(Cl)=CC2C=C1C(NS(=O)C(C)(C)C)C,0
1887015-28-2,O=C1NC=2C=C(OCC3CC(F)(F)C3)C(Cl)=CC2C=C1C=NS(=O)C(C)(C)C,0
1887015-27-1,O=CC1=CC=2C=C(Cl)C(OCC3CC(F)(F)C3)=CC2NC1=O,0
1887015-26-0,O=CC=1C=C2C=C(Cl)C(OCC3CC(F)(F)C3)=CC2=NC1Cl,0
1887015-25-9,O=C(NC1=CC=C(Cl)C(OCC2CC(F)(F)C2)=C1)C,0
1887015-24-8,O=C1NC=2C=C(OCC3CC(F)(F)C3)C(Cl)=CC2C=C1C(N)C,0
1887015-14-6,O=S(NC(C=1N=C2C=C(Cl)C=CC2=NC1OC)C)C(C)(C)C,0
1887015-13-5,O=S(N=CC=1N=C2C=C(Cl)C=CC2=NC1OC)C(C)(C)C,0
1887015-12-4,O=C1NC=2C=CC(Cl)=CC2N=C1C(N)C,0
1887015-11-3,O=S(NC(C=1N=C2C=C(Cl)C=CC2=NC1OC)C)C(C)(C)C,0
1887015-10-2,O=S(N=CC=1N=C2C=C(Cl)C=CC2=NC1OC)C(C)(C)C,0
1887015-09-9,ClC1=CC=C2N=C(OC)C(=NC2=C1)C(O)OC(O)C3=NC4=CC(Cl)=CC=C4N=C3OC,0
1887015-08-8,O=CC=1N=C2C=C(Cl)C=CC2=NC1OC,0
1887015-07-7,O=C(OC)C=1N=C2C=C(Cl)C=CC2=NC1OC,0
1887015-05-5,O=C(OC)C=1C(=O)NC=2C=CC(Cl)=CC2N1=O,0
1887015-04-4,O=C1NC=2C=CC(Cl)=CC2N=C1C(N)C,0
1887014-85-8,O=C1NC=2C=C(OC)C(Cl)=CC2C=C1C=NS(=O)C(C)(C)C,0
1887014-83-6,O=C1NC=2C=C(F)C(Cl)=CC2C=C1C(NS(=O)C(C)(C)C)C,0
1887014-82-5,O=C1NC=2C=C(F)C(Cl)=CC2C=C1C=NS(=O)C(C)(C)C,0
1887014-80-3,O=CC1=CC=2C=C(Cl)C(F)=CC2NC1=O,0
1887014-78-9,O=C1NC=2C=C(F)C(Cl)=CC2C=C1C(N)C,0
1887014-68-7,O=S(NC(C=1C=C2C=C(Cl)C(F)=CC2=NC1Cl)C)C(C)(C)C,0
1887014-66-5,O=S(N=CC=1C=C2C=C(Cl)C(F)=CC2=NC1Cl)C(C)(C)C,0
1887014-58-5,O=S(NC(C=1C=C2C=C(Cl)C=CC2=NC1Cl)C)C(C)(C)C,0
1887014-24-5,N#CC1=CC=C(NC(C2=CC=3C=C(Cl)C(OCC4=NC=CC=C4)=CC3NC2=O)C)C(=O)N1C,0
1887014-21-2,N#CC1=CC=C(NC(C2=CC=3C=C(Cl)C(OC)=CC3NC2=O)C)C(=O)N1C,0
1887014-10-9,O=C1NC=2C=C(OC)C(Cl)=CC2C=C1CNC3=CC=CN(C3=O)C,0
1887014-05-2,O=C1NC=2C=CC(Cl)=CC2C=C1CNC3=CC=C(N(C3=O)C)C,0
1858619-22-3,FC1(F)CC(COC2=CC(N)=CC=C2Cl)C1,0
1887015-59-9,N#CC1=CC=C(C=N1=O)NC(=O)C(F)(F)F,0
1887015-58-8,N#CC1=CC=C(N)C(=O)N1C,0
1887015-15-7,O=C1NC=2C=C(OC(C3=NC=CC=C3)C)C(Cl)=CC2C=C1C(N)C,0
1887014-64-3,O=S(N=CC=1C=C2C=C(Cl)C(F)=CC2=NC1Cl)C(C)(C)C,0
1887014-30-3,N#CC1=CC=C(NC(C2=CC3=CC(Cl)=CNC3=NC2=O)C)C(=O)N1C,0
1887014-15-4,N#CC1=CC=C(NC(C2=CC=3C=C(Cl)C(F)=CC3NC2=O)C)C(=O)N1C,0
1887014-08-5,O=C1NC=2C=CC(Cl)=CC2C=C1CNC3=CC=C(N(C3=O)C)C(F)(F)F,0
1887014-03-0,N#CC1=CC=C(NCC2=CC=3C=C(Cl)C=CC3NC2=O)C(=O)N1,0
1805121-58-7,N#CC1=CC=C(N)C(=O)N1,0
1410166-55-0,O=C1NC(Br)=CN=C1Cl,0
1887015-62-4,O=C1NC=2C=CC(Cl)=CC2C=C1C(NC3=NC=C(Br)N(C3=O)C)C,0
