CAS Registry Number,Canonical SMILES,key
1108745-07-8,N#CC1=CC(=CC=C1F)C(O)C=2C=C(F)C=C(F)C2,0
1108743-96-9,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4N)N5CCN(C)CC5,0
1108743-62-9,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4)N5CCN(C)CC5,0
1108743-56-1,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4N(=O)=O)N5CCN(C)CC5,0
942471-27-4,O=C(OC(C)(C)C)C1=CC=C(C=C1N(C(=O)C(F)(F)F)C(C)COC)N2CCN(C)CC2,0
942471-26-3,O=C(OC(C)(C)C)C1=CC=C(F)C=C1N(C(=O)C(F)(F)F)CCOC,0
942471-25-2,O=C(OC(C)(C)C)C1=CC=C(F)C=C1N(C(=O)C(F)(F)F)C(C)COC,0
942471-24-1,O=C(OC(C)(C)C)C1=CC=C(F)C=C1NCCOC,0
942471-23-0,O=C(OC(C)(C)C)C1=CC=C(F)C=C1NC(C)COC,0
1108747-16-5,O=C(NC1=NNC=2C=CC(=CC12)C(C=3C=C(F)C=C(F)C3)C)C4=CC=C(C=C4NC5CCOCC5)N6CCN(C)CC6,0
1108747-15-4,O=C(NC1=NNC=2C=CC(=CC12)C(C=3C=C(F)C=C(F)C3)C)C4=CC=C(C=C4NC5CCOCC5)N6CCN(C)CC6,0
1108746-57-1,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NCCO[Si](C)(C)C(C)(C)C)N5CCN(C)CC5,0
1108745-37-4,FC=1C=C(F)C=C(C1)C(C=2C=CC=3NN=C(N)C3C2)C,0
1108745-36-3,N#CC1=CC(=CC=C1F)C(C=2C=C(F)C=C(F)C2)C,0
1108745-28-3,N#CC1=CC(=CC=C1F)CC=2C=CC=C(F)C2,0
1108745-08-9,N#CC1=CC(=CC=C1F)C(O)C=2C=CC=CC2,0
1108744-56-4,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NC(C)COC)N5CCN(C)CC5,0
1108744-32-6,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NCC5CN(C)C5)N6CCN(C)CC6,0
1108744-30-4,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NCCO)N5CCN(C)CC5,0
1108744-29-1,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NC5CCC(O)CC5)N6CCN(C)CC6,0
1108744-28-0,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NC5CCC(O)CC5)N6CCN(C)CC6,0
1108744-24-6,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NC5CCN(C)CC5)N6CCN(C)CC6,0
1108744-14-4,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(OC5CCN(C)CC5)C=C4NC6CCOCC6,0
1108744-07-5,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NC5CCOCC5)C(=O)N(C)CCN(C)C,0
1108743-99-2,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NC5CCOCC5)CN6CCCCC6,0
1108743-91-4,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=CC=CC3)C4=CC=C(C=C4NC5CCOCC5)N6CCN(C)CC6,0
1108743-88-9,O=C(NC1=NNC=2C=CC(=CC12)CC3=CC(F)=CC=C3C)C4=CC=C(C=C4NC5CCOCC5)N6CCN(C)CC6,0
1108743-87-8,O=C(NC1=NNC=2C=CC(=CC12)CC3=CC(F)=CC=C3F)C4=CC=C(C=C4NC5CCOCC5)N6CCN(C)CC6,0
1108743-74-3,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NC=5C=CC=CC5)N6CCN(C)CC6,0
1108743-71-0,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NCCF)N5CCN(C)CC5,0
1108743-70-9,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NCC=5C=CC=CC5)N6CCN(C)CC6,0
1108743-69-6,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NC(COC)COC)N5CCN(C)CC5,0
1108743-67-4,O=C(NC1=NNC=2C=CC(=CC12)C(C=3C=C(F)C=C(F)C3)C)C4=CC=C(C=C4NC5CCOCC5)N6CCN(C)CC6,0
1108743-66-3,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NC5CCCCC5)N6CCN(C)CC6,0
1108743-64-1,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NCCOC)N5CCN(C)CC5,0
1108743-61-8,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NCCCOC)N5CCN(C)CC5,0
1034975-56-8,O=C(OC(C)(C)C)C1=CC=C(C=C1N(C(=O)C(F)(F)F)C2CCOCC2)N(C)CCCN(C)C,0
1034975-45-5,O=C(OC(C)(C)C)C1=CC=C(C=C1NC2CCOCC2)N(C)CCCN(C)C,0
1034975-39-7,O=C(OC(C)(C)C)C1=CC=C(C=C1N)N(C)CCCN(C)C,0
1034975-18-2,O=C(OC(C)(C)C)C1=CC=C(C=C1N(=O)=O)N(C)CCCN(C)C,0
942471-18-3,O=C(OC(C)(C)C)C1=CC=C(C=C1N(C(=O)C(F)(F)F)C(C)COC)N2CCN(C)CC2,0
942471-17-2,O=C(OC(C)(C)C)C1=CC=C(F)C=C1N(C(=O)C(F)(F)F)C(C)COC,0
942471-16-1,O=C(OC(C)(C)C)C1=CC=C(F)C=C1NC(C)COC,0
942468-48-6,O=C(OC(C)(C)C)C1=CC=C(OC2CCN(C)CC2)C=C1N(=O)=O,0
942468-47-5,O=C(OC(C)(C)C)C1=CC=C(OCCN(C)C)C=C1N(=O)=O,0
942468-41-9,O=C(OC(C)(C)C)C1=CC=C(C=C1N(=O)=O)N(C)CCN(C)C,0
1108746-88-8,O=C(OC(C)(C)C)C1=CC=C(C=C1N(C(=O)C(F)(F)F)C2CCN(C(=O)OCC)CC2)N3CCN(C)CC3,0
1108746-86-6,O=C(OC(C)(C)C)C1=CC=C(C=C1NC2CCN(C(=O)OCC)CC2)N3CCN(C)CC3,0
1108746-45-7,O=C(OC(C)(C)C)C1=CC=C(C=C1N(C(=O)C(F)(F)F)C(C)(C)COC)N2CCN(C)CC2,0
1108746-42-4,O=C(OC(C)(C)C)C1=CC=C(C=C1N(C(=O)C(F)(F)F)CCCOC)N2CCN(C)CC2,0
1108746-41-3,O=C(OC(C)(C)C)C1=CC=C(F)C=C1N(C(=O)C(F)(F)F)C(C)(C)COC,0
1108746-38-8,O=C(OC(C)(C)C)C1=CC=C(F)C=C1N(C(=O)C(F)(F)F)CCCOC,0
1108746-37-7,O=C(OC(C)(C)C)C1=CC=C(F)C=C1NC(C)(C)COC,0
1108746-34-4,O=C(OC(C)(C)C)C1=CC=C(F)C=C1NCCCOC,0
1108746-10-6,O=C(OC(C)(C)C)C1=CC=C(C=C1N(C(=O)C(F)(F)F)CC=2C=CC=CC2)N3CCN(C)CC3,0
1108746-09-3,O=C(OC(C)(C)C)C1=CC=C(C=C1N(C(=O)C(F)(F)F)C(COC)COC)N2CCN(C)CC2,0
1108746-08-2,O=C(OC(C)(C)C)C1=CC=C(C=C1N(C(=O)C(F)(F)F)C2CCCCC2)N3CCN(C)CC3,0
1108745-97-6,O=C(OC(C)(C)C)C1=CC=C(C=C1NCC=2C=CC=CC2)N3CCN(C)CC3,0
1108745-96-5,O=C(OC(C)(C)C)C1=CC=C(C=C1NC(COC)COC)N2CCN(C)CC2,0
1108745-95-4,O=C(OC(C)(C)C)C1=CC=C(C=C1NC2CCCCC2)N3CCN(C)CC3,0
1108745-90-9,O=C(OC(C)(C)C)C1=CC=C(C=C1N)N2CCOCC2,0
1108745-71-6,O=C(OC)C1=CC=C(C(=O)OC(C)(C)C)C(=C1)N(=O)=O,0
1108745-34-1,N=1C=CC=C(C1)CC=2C=CC=3NN=C(N)C3C2,0
1108745-29-4,N#CC1=CC(=CC=C1F)CC=2C=NC=CC2,0
1108745-10-3,N#CC1=CC(=CC=C1F)C(=O)C=2C=CC=CC2,0
1108745-09-0,N#CC1=CC(=CC=C1F)C(=O)C=2C=C(F)C=C(F)C2,0
1108744-26-8,O=C(NC1=NNC=2C=CC(=CC12)CC=3C=C(F)C=C(F)C3)C4=CC=C(C=C4NC5CCNCC5)N6CCN(C)CC6,0
