CAS Registry Number,Canonical SMILES,key
64-17-5,OCC,0
67-56-1,OC,0
630-08-0,[C-]#[O+],0
62-53-3,NC=1C=CC=CC1,0
68-12-2,O=CN(C)C,0
74-88-4,IC,0
110-89-4,N1CCCCC1,0
110-91-8,O1CCNCC1,0
98-88-4,O=C(Cl)C=1C=CC=CC1,0
74-89-5,NC,0
75-36-5,O=C(Cl)C,0
124-40-3,N(C)C,0
111-87-5,OCCCCCCCC,0
98-80-6,OB(O)C=1C=CC=CC1,0
123-75-1,N1CCCC1,0
106-47-8,ClC1=CC=C(N)C=C1,0
75-31-0,NC(C)C,0
143-33-9,N#C[Na],0
371-40-4,FC1=CC=C(N)C=C1,0
134-32-7,NC1=CC=CC=2C=CC=CC12,0
5720-07-0,OB(O)C1=CC=C(OC)C=C1,0
765-30-0,NC1CC1,0
4637-24-5,O(C)C(OC)N(C)C,0
1765-93-1,FC1=CC=C(C=C1)B(O)O,0
91-59-8,NC=1C=CC=2C=CC=CC2C1,0
149-73-5,O(C)C(OC)OC,0
1679-18-1,ClC1=CC=C(C=C1)B(O)O,0
2450-71-7,C#CCN,0
128796-39-4,FC(F)(F)C1=CC=C(C=C1)B(O)O,0
32316-92-0,OB(O)C=1C=CC=2C=CC=CC2C1,0
1692-25-7,OB(O)C=1C=NC=CC1,0
13922-41-3,OB(O)C1=CC=CC=2C=CC=CC21,0
1692-15-5,OB(O)C=1C=CN=CC1,0
540-38-5,IC1=CC=C(O)C=C1,0
5720-06-9,OB(O)C=1C=CC=CC1OC,0
87199-17-5,O=CC1=CC=C(C=C1)B(O)O,0
6165-68-0,OB(O)C=1SC=CC1,0
6165-69-1,OB(O)C1=CSC=C1,0
63503-60-6,ClC1=CC=CC(=C1)B(O)O,0
873-73-4,ClC1=CC=C(C#C)C=C1,0
5122-94-1,OB(O)C=1C=CC(=CC1)C=2C=CC=CC2,0
123324-71-0,OB(O)C1=CC=C(C=C1)C(C)(C)C,0
5467-74-3,BrC1=CC=C(C=C1)B(O)O,0
30418-59-8,OB(O)C=1C=CC=C(N)C1,0
329-15-7,O=C(Cl)C1=CC=C(C=C1)C(F)(F)F,0
645-45-4,O=C(Cl)CCC=1C=CC=CC1,0
3900-89-8,ClC=1C=CC=CC1B(O)O,0
13331-27-6,O=N(=O)C=1C=CC=C(C1)B(O)O,0
