CAS Registry Number,Canonical SMILES,key
108-31-6,O=C1OC(=O)C=C1,0
107-13-1,N#CC=C,0
100-39-0,BrCC=1C=CC=CC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
106-95-6,BrCC=C,0
75-56-9,O1CC1C,0
407-25-0,O=C(OC(=O)C(F)(F)F)C(F)(F)F,0
122-04-3,O=C(Cl)C1=CC=C(C=C1)N(=O)=O,0
4530-20-5,O=C(OC(C)(C)C)NCC(=O)O,0
100-07-2,O=C(Cl)C1=CC=C(OC)C=C1,0
96-32-2,O=C(OC)CBr,0
62996-74-1,O=C1NCC=2C1=C3C4=CC=CC=C4N5C3=C6C2C=7C=CC=CC7N6C8(OC5CC(NC)C8OC)C,0
122-01-0,O=C(Cl)C1=CC=C(Cl)C=C1,0
1885-14-9,O=C(Cl)OC=1C=CC=CC1,0
57-06-7,S=C=NCC=C,0
403-43-0,O=C(Cl)C1=CC=C(F)C=C1,0
609-65-4,O=C(Cl)C=1C=CC=CC1Cl,0
618-46-2,O=C(Cl)C=1C=CC=C(Cl)C1,0
99-33-2,O=C(Cl)C=1C=C(C=C(C1)N(=O)=O)N(=O)=O,0
121-90-4,O=C(Cl)C1=CC=CC(=C1)N(=O)=O,0
1436-34-6,O1CC1CCCC,0
5445-17-0,O=C(OC)C(Br)C,0
1711-07-5,O=C(Cl)C=1C=CC=C(F)C1,0
120685-11-2,O=C1NCC=2C1=C3C4=CC=CC=C4N5C3=C6C2C=7C=CC=CC7N6C8(OC5CC(N(C(=O)C=9C=CC=CC9)C)C8OC)C,1
7377-26-6,O=C(Cl)C1=CC=C(C=C1)C(=O)OC,0
2404-44-6,O1CC1CCCCCCCC,0
3234-28-4,O1CC1CCCCCCCCCCCC,0
84468-15-5,O=S(=O)(Cl)C1=CC=CC=2C=NC=CC21,0
120685-17-8,O=C(OC(C)(C)C)N(C)C1CC2OC(N3C=4C=CC=CC4C=5C3=C6C(C7=CC=CC=C7N62)=C8C(=O)NCC85)(C)C1OC,0
120685-10-1,O=C(O)CCC(=O)N(C)C1CC2OC(N3C=4C=CC=CC4C=5C3=C6C(C7=CC=CC=C7N62)=C8C(=O)NCC85)(C)C1OC,0
120685-20-3,O=C1NCC=2C1=C3C4=CC=CC=C4N5C3=C6C2C=7C=CC=CC7N6C8(OC5CC(N(C(=O)CN)C)C8OC)C,0
120685-18-9,O=C1NCC=2C1=C3C4=CC=CC=C4N5C3=C6C2C=7C=CC=CC7N6C8(OC5CC(N(C(=O)C=9C=C(C=C(C9)N(=O)=O)N(=O)=O)C)C8OC)C,0
120685-13-4,O=C1NCC=2C1=C3C4=CC=CC=C4N5C3=C6C2C=7C=CC=CC7N6C8(OC5CC(N(C(=S)NC)C)C8OC)C,0
120685-12-3,O=C1NCC=2C1=C3C4=CC=CC=C4N5C3=C6C2C=7C=CC=CC7N6C8(OC5CC(N(C(=O)C(F)(F)F)C)C8OC)C,0
120685-22-5,O=C(O)CN(C)C1CC2OC(N3C=4C=CC=CC4C=5C3=C6C(C7=CC=CC=C7N62)=C8C(=O)NCC85)(C)C1OC,0
