CAS Registry Number,Canonical SMILES,key
62-53-3,NC=1C=CC=CC1,0
107-15-3,NCCN,0
78-94-4,O=C(C=C)C,0
110-87-2,O1C=CCCC1,0
152459-95-5,O=C(NC1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C)C4=CC=C(C=C4)CN5CCN(C)CC5,0
100-19-6,O=C(C1=CC=C(C=C1)N(=O)=O)C,0
302962-49-8,O=C(NC=1C(Cl)=CC=CC1C)C=2SC(=NC2)NC=3N=C(N=C(C3)N4CCN(CCO)CC4)C,0
13734-41-3,O=C(OC(C)(C)C)NC(C(=O)O)C(C)C,0
641571-10-0,O=C(NC=1C=C(C=C(C1)C(F)(F)F)N2C=NC(=C2)C)C3=CC=C(C(=C3)NC=4N=CC=C(N4)C5=CN=CC=C5)C,0
461-82-5,FC(F)(F)OC1=CC=C(N)C=C1,0
761446-44-0,N1=CC(=CN1C)B2OC(C)(C)C(O2)(C)C,0
943319-70-8,O=C(NC1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2)C3=CC=C(C(C#CC4=CN=C5C=CC=NN45)=C3)C,0
380843-75-4,N#CC1=CN=C2C=C(OCCCN3CCN(C)CC3)C(OC)=CC2=C1NC4=CC(OC)=C(Cl)C=C4Cl,0
1453-58-3,N=1NC=CC1C,0
2799-21-5,OC1CNCC1,0
100243-39-8,OC1CNCC1,0
376584-63-3,OB(O)C1=NNC=C1,0
847818-74-0,N1=CC=C(B2OC(C)(C)C(O2)(C)C)N1C,0
1195-66-0,O(B1OC(C)(C)C(O1)(C)C)C,0
372-16-7,FC(F)(F)SC1=CC=C(N)C=C1,0
859212-16-1,O=C(NC1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CN=C3)C)C4=CC=C(C(=C4)C(F)(F)F)CN5CCC(N(C)C)C5,0
1020174-04-2,N1=C(C=CN1C)B2OC(C)(C)C(O2)(C)C,0
903550-26-5,N1=CC=C(B2OC(C)(C)C(O2)(C)C)N1C3OCCCC3,0
2993-24-0,FS(F)(F)(F)(F)C1=CC=C(N)C=C1,0
1007-16-5,O=C(O)C1=CC=C(F)C(Br)=C1,0
421-78-3,FC(F)(Cl)C(F)(F)I,0
110013-19-9,OCC1CNCC1,0
82372-35-8,O1P(OCC=2C=CC=CC2C1)N(CC)CC,0
1492952-76-7,O=C(NC1=CC=C(OC(F)(F)Cl)C=C1)C=2C=NC(=C(C2)C3=NNC=C3)N4CCC(O)C4,1
173340-25-5,O=C(OC(C)(C)C)NCC1CNCC1,0
29241-62-1,O=C(O)C1=CN=C(Cl)C(Br)=C1,0
78686-77-8,O=C(OC)C1=CN=C(Cl)C(Br)=C1,0
956907-34-9,N1=CC(=CN1CCOC2OCCCC2)B3OC(C)(C)C(O3)(C)C,0
