CAS Registry Number,Canonical SMILES,key
62-53-3,NC=1C=CC=CC1,0
108-24-7,O=C(OC(=O)C)C,0
74-88-4,IC,0
65-85-0,O=C(O)C=1C=CC=CC1,0
141-43-5,OCCN,0
79-09-4,O=C(O)CC,0
107-92-6,O=C(O)CCC,0
110-91-8,O1CCNCC1,0
74-89-5,NC,0
57-66-9,O=C(O)C1=CC=C(C=C1)S(=O)(=O)N(CCC)CCC,0
100-46-9,NCC=1C=CC=CC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
76-05-1,O=C(O)C(F)(F)F,0
59-67-6,O=C(O)C=1C=NC=CC1,0
109-89-7,N(CC)CC,0
288-32-4,N=1C=CNC1,0
124-63-0,O=S(=O)(Cl)C,0
106-49-0,NC1=CC=C(C=C1)C,0
124-07-2,O=C(O)CCCCCCC,0
100-02-7,O=N(=O)C1=CC=C(O)C=C1,0
88-99-3,O=C(O)C=1C=CC=CC1C(=O)O,0
104-94-9,O(C1=CC=C(N)C=C1)C,0
106-47-8,ClC1=CC=C(N)C=C1,0
108-91-8,NC1CCCCC1,0
79-11-8,O=C(O)CCl,0
109-52-4,O=C(O)CCCC,0
723-46-6,O=S(=O)(NC1=NOC(=C1)C)C2=CC=C(N)C=C2,0
79-31-2,O=C(O)C(C)C,0
95-53-4,NC=1C=CC=CC1C,0
103-71-9,O=C=NC=1C=CC=CC1,0
103-82-2,O=C(O)CC=1C=CC=CC1,0
108-45-2,NC1=CC=CC(N)=C1,0
64-04-0,NCCC=1C=CC=CC1,0
501-53-1,O=C(Cl)OCC=1C=CC=CC1,0
75-64-9,NC(C)(C)C,0
504-29-0,N=1C=CC=CC1N,0
100-61-8,C=1C=CC(=CC1)NC,0
79-22-1,O=C(Cl)OC,0
107-11-9,C=CCN,0
62-23-7,O=C(O)C1=CC=C(C=C1)N(=O)=O,0
103-72-0,S=C=NC=1C=CC=CC1,0
95-51-2,ClC=1C=CC=CC1N,0
504-24-5,N=1C=CC(N)=CC1,0
111-26-2,NCCCCCC,0
90-04-0,O(C=1C=CC=CC1N)C,0
99-09-2,O=N(=O)C=1C=CC=C(N)C1,0
94-09-7,O=C(OCC)C1=CC=C(N)C=C1,0
108-18-9,N(C(C)C)C(C)C,0
765-30-0,NC1CC1,0
591-27-5,OC1=CC=CC(N)=C1,0
74-11-3,O=C(O)C1=CC=C(Cl)C=C1,0
88-74-4,O=N(=O)C=1C=CC=CC1N,0
98-98-6,O=C(O)C1=NC=CC=C1,0
108-00-9,NCCN(C)C,0
2393-23-9,O(C1=CC=C(C=C1)CN)C,0
305-03-3,O=C(O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,0
91-59-8,NC=1C=CC=2C=CC=CC2C1,0
123-62-6,O=C(OC(=O)CC)CC,0
536-90-3,O(C1=CC=CC(N)=C1)C,0
824-94-2,ClCC1=CC=C(OC)C=C1,0
501-52-0,O=C(O)CCC=1C=CC=CC1,0
2450-71-7,C#CCN,0
55-22-1,O=C(O)C=1C=CN=CC1,0
98-89-5,O=C(O)C1CCCCC1,0
103-67-3,C=1C=CC(=CC1)CNC,0
75-98-9,O=C(O)C(C)(C)C,0
873-74-5,N#CC1=CC=C(N)C=C1,0
109-85-3,O(C)CCN,0
103-49-1,C=1C=CC(=CC1)CNCC=2C=CC=CC2,0
554-84-7,O=N(=O)C=1C=CC=C(O)C1,0
462-08-8,N=1C=CC=C(N)C1,0
302962-49-8,O=C(NC=1C(Cl)=CC=CC1C)C=2SC(=NC2)NC=3N=C(N=C(C3)N4CCN(CCO)CC4)C,1
87-62-7,NC=1C(=CC=CC1C)C,0
93-97-0,O=C(OC(=O)C=1C=CC=CC1)C=2C=CC=CC2,0
1885-14-9,O=C(Cl)OC=1C=CC=CC1,0
617-89-0,O1C=CC=C1CN,0
96-50-4,N=1C=CSC1N,0
618-36-0,NC(C=1C=CC=CC1)C,0
2038-03-1,O1CCN(CC1)CCN,0
586-76-5,O=C(O)C1=CC=C(Br)C=C1,0
591-19-5,BrC1=CC=CC(N)=C1,0
624-83-9,O=C=NC,0
91-21-4,C=1C=CC2=C(C1)CNCC2,0
88-14-2,O=C(O)C=1OC=CC1,0
104-86-9,ClC1=CC=C(C=C1)CN,0
98-74-8,O=N(=O)C1=CC=C(C=C1)S(=O)(=O)Cl,0
24544-04-5,NC=1C(=CC=CC1C(C)C)C(C)C,0
109-90-0,O=C=NCC,0
109-70-6,ClCCCBr,0
106-31-0,O=C(OC(=O)CCC)CCC,0
103-76-4,OCCN1CCNCC1,0
99-98-9,NC1=CC=C(C=C1)N(C)C,0
95-68-1,NC1=CC=C(C=C1C)C,0
120-20-7,O(C1=CC=C(C=C1OC)CCN)C,0
88-05-1,NC=1C(=CC(=CC1C)C)C,0
1821-12-1,O=C(O)CCCC=1C=CC=CC1,0
3173-53-3,O=C=NC1CCCCC1,0
108-69-0,NC=1C=C(C=C(C1)C)C,0
527-72-0,O=C(O)C=1SC=CC1,0
110-70-3,N(C)CCNC,0
554-00-7,ClC1=CC=C(N)C(Cl)=C1,0
530-78-9,O=C(O)C=1C=CC=CC1NC2=CC=CC(=C2)C(F)(F)F,0
111-36-4,O=C=NCCCC,0
123-00-2,O1CCN(CC1)CCCN,0
3173-56-6,O=C=NCC=1C=CC=CC1,0
107-85-7,NCCC(C)C,0
99-56-9,O=N(=O)C1=CC=C(N)C(N)=C1,0
543-24-8,O=C(O)CNC(=O)C,0
870-46-2,O=C(OC(C)(C)C)NN,0
622-58-2,O=C=NC1=CC=C(C=C1)C,0
2038-57-5,NCCCC=1C=CC=CC1,0
2706-56-1,N=1C=CC=CC1CCN,0
90-41-5,NC=1C=CC=CC1C=2C=CC=CC2,0
141-86-6,N=1C(N)=CC=CC1N,0
1759-53-1,O=C(O)C1CC1,0
3218-02-8,NCC1CCCCC1,0
5036-48-6,N=1C=CN(C1)CCCN,0
619-65-8,N#CC1=CC=C(C=C1)C(=O)O,0
828-51-3,O=C(O)C12CC3CC(CC(C3)C1)C2,0
695-34-1,N=1C=CC(=CC1N)C,0
7154-73-6,NCCN1CCCC1,0
117-34-0,O=C(O)C(C=1C=CC=CC1)C=2C=CC=CC2,0
1072-97-5,BrC1=CN=C(N)C=C1,0
107-04-0,ClCCBr,0
100-60-7,N(C)C1CCCCC1,0
1824-81-3,N=1C(N)=CC=CC1C,0
1609-86-5,O=C=NC(C)(C)C,0
1878-66-6,O=C(O)CC1=CC=C(Cl)C=C1,0
578-54-1,NC=1C=CC=CC1CC,0
1126-09-6,O=C(OCC)C1CCNCC1,0
3400-45-1,O=C(O)C1CCCC1,0
6850-57-3,O(C=1C=CC=CC1CN)C,0
24313-88-0,O(C=1C=C(N)C=C(OC)C1OC)C,0
1603-41-4,N=1C=C(C=CC1N)C,0
139-59-3,O(C=1C=CC=CC1)C2=CC=C(N)C=C2,0
14268-66-7,O1C2=CC=C(N)C=C2OC1,0
5049-61-6,N=1C=CN=C(N)C1,0
5071-96-5,O(C1=CC=CC(=C1)CN)C,0
1072-98-6,ClC1=CN=C(N)C=C1,0
55-81-2,O(C1=CC=C(C=C1)CCN)C,0
587-02-0,NC1=CC=CC(=C1)CC,0
624-28-2,BrC1=NC=C(Br)C=C1,0
99-03-6,O=C(C=1C=CC=C(N)C1)C,0
104-03-0,O=C(O)CC1=CC=C(C=C1)N(=O)=O,0
