CAS Registry Number,Canonical SMILES,key
123-30-8,OC1=CC=C(N)C=C1,0
284461-73-0,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NC)C=C1)NC3=CC=C(Cl)C(=C3)C(F)(F)F,0
755037-03-7,O=C(NC1=CC=C(Cl)C(=C1)C(F)(F)F)NC2=CC=C(OC=3C=CN=C(C3)C(=O)NC)C=C2F,1
320-51-4,FC(F)(F)C1=CC(N)=CC=C1Cl,0
327-78-6,O=C=NC1=CC=C(Cl)C(=C1)C(F)(F)F,0
349-65-5,FC(F)(F)C1=CC=C(OC)C(N)=C1,0
284462-37-9,O=C(NC)C1=NC=CC(OC2=CC=C(N)C=C2)=C1,0
99586-65-9,O=C(N)C1=NC=CC(Cl)=C1,0
284461-74-1,O=C(N)C1=NC=CC(OC2=CC=C(C=C2)NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)=C1,0
284462-80-2,O=C(N)C1=NC=CC(OC2=CC=C(N)C=C2)=C1,0
284462-18-6,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NC)C=C1)NC3=CC=C(Br)C(=C3)C(F)(F)F,0
284461-44-5,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NC)C=C1)NC3=CC(=CC=C3OC)C(F)(F)F,0
284461-76-3,O=C(NC=1C=CC=C(OC=2C=CN=C(C2)C(=O)NC)C1)NC3=CC=C(Cl)C(=C3)C(F)(F)F,0
284462-02-8,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NCCN3CCOCC3)C=C1)NC4=CC=C(Cl)C(=C4)C(F)(F)F,0
284461-82-1,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NCC)C=C1)NC3=CC=C(Cl)C(=C3)C(F)(F)F,0
284462-32-4,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NCC)C=C1)NC3=CC(=C(Cl)C=C3OC)C(F)(F)F,0
284462-28-8,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NC)C=C1)NC3=CC(=C(Cl)C=C3OC)C(F)(F)F,0
284462-17-5,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NCCO)C=C1)NC3=CC=C(Cl)C(=C3)C(F)(F)F,0
284461-72-9,O=C(NC1=CC=C(OC2=CC=CC(=C2)C(=O)NC)C=C1)NC3=CC=C(Cl)C(=C3)C(F)(F)F,0
228418-48-2,O=C(NC1=CC=C(OC2=CC=CC(=C2)C(=O)NC)C=C1)NC3=CC(=CC=C3OC)C(F)(F)F,0
284462-29-9,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NC)C=C1Cl)NC3=CC(=C(Cl)C=C3OC)C(F)(F)F,0
284462-24-4,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)N(C)C)C=C1)NC3=CC=C(Br)C(=C3)C(F)(F)F,0
284462-22-2,O=C(NC=1C=CC=C(OC=2C=CN=C(C2)C(=O)NC)C1)NC3=CC=C(Br)C(=C3)C(F)(F)F,0
284462-20-0,O=C(NC1=CC=C(OC=2C=CN=C(C2)C(=O)NC)C(Cl)=C1)NC3=CC=C(Br)C(=C3)C(F)(F)F,0
284462-19-7,O=C(NC1=CC=C(Br)C(=C1)C(F)(F)F)NC2=CC=C(OC=3C=CN=C(C3)C(=O)NC)C=C2Cl,0
284462-07-3,O=C(NC1=CC=C(OC2=CC=CC(=C2)C(=O)NC=3C=NC=CC3)C=C1)NC4=CC=C(Cl)C(=C4)C(F)(F)F,0
284462-04-0,O=C(NC1=CC=C(OC2=CN=CC(=C2)C(=O)NC)C=C1)NC3=CC=C(Cl)C(=C3)C(F)(F)F,0
