CAS Registry Number,Canonical SMILES,key
141-78-6,O=C(OCC)C,0
62-53-3,NC=1C=CC=CC1,0
68-12-2,O=CN(C)C,0
107-15-3,NCCN,0
107-13-1,N#CC=C,0
98-88-4,O=C(Cl)C=1C=CC=CC1,0
98-80-6,OB(O)C=1C=CC=CC1,0
616-38-6,O=C(OC)OC,0
141-97-9,O=C(OCC)CC(=O)C,0
111-40-0,NCCNCCN,0
75-31-0,NC(C)C,0
105-36-2,O=C(OCC)CBr,0
51-67-2,OC1=CC=C(C=C1)CCN,0
6674-22-2,N1=C2N(CCC1)CCCCC2,0
108-59-8,O=C(OC)CC(=O)OC,0
95-92-1,O=C(OCC)C(=O)OCC,0
108-00-9,NCCN(C)C,0
156-87-6,OCCCN,0
557795-19-4,O=C1NC2=CC=C(F)C=C2C1=CC=3NC(=C(C(=O)NCCN(CC)CC)C3C)C,1
18107-18-1,[N-]=[N+]=C[Si](C)(C)C,0
462-08-8,N=1C=CC=C(N)C1,0
2038-03-1,O1CCN(CC1)CCN,0
1692-25-7,OB(O)C=1C=NC=CC1,0
100-36-7,NCCN(CC)CC,0
459-73-4,O=C(OCC)CN,0
104-78-9,NCCCN(CC)CC,0
59-48-3,O=C1NC=2C=CC=CC2C1,0
123-00-2,O1CCN(CC1)CCCN,0
2706-56-1,N=1C=CC=CC1CCN,0
1694-31-1,O=C(OC(C)(C)C)CC(=O)C,0
7154-73-6,NCCN1CCCC1,0
5807-14-7,N1=C2NCCCN2CCC1,0
443-69-6,O=C1NC2=CC=C(F)C=C2C1=O,0
1001-53-2,O=C(NCCN)C,0
63139-21-9,OB(O)C1=CC=C(C=C1)CC,0
7663-77-6,O=C1N(CCCN)CCC1,0
67492-50-6,ClC=1C=C(Cl)C=C(C1)B(O)O,0
7152-15-0,O=C(OCC)CC(=O)C(C)C,0
23159-07-1,NCCCN1CCCC1,0
624-75-9,N#CCI,0
934-98-5,NCCN1CCN(C)CC1,0
5345-54-0,ClC1=CC(N)=CC=C1OC,0
133730-34-4,OB(O)C1=CC=C(OC)C=C1OC,0
83-41-0,O=N(=O)C1=CC=CC(=C1C)C,0
61-70-1,O=C1N(C=2C=CC=CC2C1)C,0
56341-41-4,O=C1NC2=CC=C(F)C=C2C1,0
145240-28-4,OB(O)C1=CC=C(C=C1)CCCC,0
17630-75-0,O=C1NC2=CC=C(Cl)C=C2C1,0
20870-78-4,O=C1NC2=CC=C(Br)C=C2C1,0
216019-28-2,OB(O)C1=CC=CC(=C1)C(C)C,0
99365-40-9,O=C1NC2=CC(Br)=CC=C2C1,0
40004-08-8,O=C(OCC)CN1CCNCC1,0
2199-43-1,O=C(OCC)C1=CC=CN1,0
2199-51-1,O=C(OCC)C=1C(=CNC1C)C,0
2199-44-2,O=C(OCC)C=1NC(=CC1C)C,0
3970-35-2,O=C(O)C1=CC=CC(=C1Cl)N(=O)=O,0
7699-18-5,O=C1NC2=CC=C(OC)C=C2C1,0
20870-79-5,O=C1NC2=CC=C(C=C2C1)N(=O)=O,0
20876-36-2,O=C1NC2=CC=C(N)C=C2C1,0
2199-59-9,O=CC=1NC(=C(C(=O)OCC)C1C)C,0
253870-02-9,O=CC=1NC(=C(C(=O)O)C1C)C,0
356068-94-5,O=C1NC2=CC=C(F)C=C2C1=CC=3NC(=C(C(=O)NCCN4CCCC4)C3C)C,0
356068-86-5,O=CC=1NC(=C(C(=O)NCCN(CC)CC)C1C)C,0
2199-49-7,O=C(OCC)C1=CNC=C1C,0
199328-31-9,O=C1NC2=CC=C(C=C2C1)S(=O)(=O)Cl,0
356068-97-8,O=C1NC2=CC=C(F)C=C2C1=CC=3NC(=C(C(=O)NCCNCC)C3C)C,0
7699-19-6,O=C1NC2=CC(OC)=CC=C2C1,0
53553-14-3,O=C(OC)C1=CC=CC(=C1Cl)N(=O)=O,0
65880-17-3,O=C(OCC)C=1NC=C2C1CCCC2,0
14352-65-9,O=C(OC(C)(C)C)C(=NO)C(=O)C,0
13220-46-7,O=C1NC2=CC=CC(=C2C1)C,0
86770-31-2,O=C(OCC)C1=C(NC(C(=O)OC(C)(C)C)=C1C)C,0
24566-95-8,O=C1N(CCCN)CCCCC1,0
40611-85-6,O=C(OCC)C1=CC(=CN1)C,0
356068-93-4,O=C(O)C1=C(NC(C=C2C(=O)NC3=CC=C(F)C=C32)=C1C)C,0
326914-10-7,O=C1NC2=CC=C(Cl)C=C2C1=CC=3NC(=C(C(=O)NCCN(CC)CC)C3C)C,0
22584-31-2,N#CCCNCCN,0
334952-09-9,O=C(O)C1=CC=C2C(=C1)NC(=O)C2,0
175075-24-8,O=C1NC2=CC=C(C=C2C1)S(=O)(=O)N,0
342641-94-5,O=C1NC2=CC=C(F)C=C2C1=CC=3NC(=C(C(=O)NCCN(CC)CC)C3C)C,0
139122-19-3,O=C1NC2=CC=CC(=C2C1)CCO,0
90751-00-1,O=C1NC=2C=C(C=CC2C1)C=3C=CC=CC3,0
281676-73-1,N#CCNCCN,0
199328-55-7,O=C1NC2=CC=C(C=C2C1)S(=O)(=O)NC,0
