CAS Registry Number,Canonical SMILES,key
99548-55-7,O=C(OC)C1=CC=C(Br)C=C1C,0
42088-91-5,N=1C=CC=CC1C(N)C,0
1878-91-7,O=C(O)COC1=CC=C(Br)C=C1,0
106391-86-0,O=C(OC(C)(C)C)NC(C)CO,0
1120-99-6,N=1N=C(N=CC1)N,0
50998-17-9,BrC1=CC=C2N=CC=NC2=C1,0
120099-60-7,O(C)C1CNCC1,0
447-43-8,O=C(C1=CC=C(F)C=C1)C(O)O,0
18293-53-3,N#CC[Si](C)(C)C,0
74592-33-9,OC1(CN)CC1,0
120728-10-1,O=C(OC(C)(C)C)NC1(C(=O)O)CCC1,0
78471-43-9,O=C(OC)C1=CC=C(Br)C=C1CBr,0
56129-55-6,N=1C=CC=C(C1)C(N)C,0
406463-06-7,N1=CC=CC2=CC(=CC=C12)B3OC(C)(C)C(O3)(C)C,0
50392-78-4,N=1C=CC(=CC1)C(N)C,0
216159-03-4,O=S(=O)(Cl)C1=CC=C(Br)C=C1F,0
930-45-0,OC1CCCC1N,0
496786-98-2,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=C2)B3OC(C)(C)C(O3)(C)C)CC1,0
112734-22-2,FC1=CC(Br)=CC=C1CN,0
850568-54-6,O=C(OC(C)(C)C)C1=CC=C(C=C1)B(O)O,0
25216-74-4,O=C(OC(C)(C)C)NC=1C=CC=C(Br)C1,0
76334-36-6,BrC(=C)CCO,0
220210-56-0,O=C(OC(C)(C)C)C=1C=CC=C(C1)B(O)O,0
124276-67-1,N#CC1(C2=CC=C(Br)C=C2)CC1,0
185312-82-7,O=C(OC)C1=CC=C(Br)C=C1Cl,0
59624-87-2,O=C(OC(C)(C)C)C(N)C,0
95656-86-3,O=C(OC(C)(C)C)NCC(O)C,0
150281-45-1,N=1C=CC=CC1C2CNCC2,0
945863-21-8,O=C(NC)C1=NC=C(C=C1)B2OC(C)(C)C(O2)(C)C,0
132794-07-1,O=C(O)C=1C=C(F)C(Cl)=CC1F,0
172843-97-9,O=C(OC(C)(C)C)NC1(C(=O)O)CCOCC1,0
84677-06-5,O=C(OCC=1C=CC=CC1)NC2(C(=O)O)CC2,0
1029716-44-6,N1=CC(=CN1C(OCC)C)B2OC(C)(C)C(O2)(C)C,0
156380-34-6,O=S(=O)(OC1COCC1)C,0
749927-69-3,O=C(NC)C1=CC=C(Br)C=C1F,0
503417-37-6,N=1C=CC=CC1C2(N)CC2,0
13650-70-9,O=C(OC(C)(C)C)C(O)C,0
486422-04-2,O=S(=O)(C1=CC=C(C=C1)B2OC(C)(C)C(O2)(C)C)N(C)C,0
304445-49-6,O=C(C1=CC=C(Br)C(F)=C1)C,0
69249-22-5,BrC1=NN=C(N=C1)N,0
197569-11-2,N#CC=C1CCN(C(=O)OC(C)(C)C)CC1,0
1154097-27-4,N#CC1CNCC1,0
1029716-05-9,O(C)CC1(N)CC1,0
374790-97-3,FC1=CC(=CC=C1Br)B(O)O,0
69034-13-5,O(C1=CC=C(OCC(OCC)OCC)C=C1)C,0
308348-93-8,O=C(OC)C1=CN=C(N=C1)N,0
68426-09-5,O=CCOC1=CC=C(OC)C=C1,0
863238-73-7,N1=CC(=CN1C(C=2C=CC=CC2)(C=3C=CC=CC3)C=4C=CC=CC4)B5OC(C)(C)C(O5)(C)C,0
67617-35-0,O=C(OC(C)(C)C)C(N)CC(C)C,0
1029715-63-6,N1=CC(=CN1C2COCC2)B3OC(C)(C)C(O3)(C)C,0
103500-22-7,O=C(OCC=1C=CC=CC1)NC2(CO)CC2,0
132393-07-8,O=C(OC(C)(C)C)NC(C(=O)N(C)C)C(C)C,0
343564-56-7,O=C(C1=CC=C(Br)C(F)=C1)N(OC)C,0
1006875-83-7,O=C(OC(C)(C)C)CN1N=CC(=C1)B2OC(C)(C)C(O2)(C)C,0
807667-27-2,O=CC(Cl)CC1=CC=C(OC)C=C1,0
103983-94-4,N#CCC1=CC=C2N=CC=CC2=C1,0
214760-18-6,N#CC1=CC=C(C=C1F)C(=O)C,0
