CAS Registry Number,Canonical SMILES,key
90564-26-4,O=C(OC)C1=CC=CC(=C1OC)N(=O)=O,0
4736-71-4,O=C(N)N1CCCC1,0
100481-09-2,O=S(=O)(Cl)C1=NC=CS1,0
206551-41-9,O=C(OC)C=1C=CC=C(Br)C1F,0
40398-36-5,S=C(N)N1CCCC1,0
196811-66-2,O=C(OC(C)(C)C)N1CCN(C(=S)N)CC1,0
84832-01-9,O=C(OC)C=1C(F)=CC=C(C1F)N(=O)=O,0
84832-02-0,O=C(OC)C=1C(F)=CC=C(N)C1F,0
53662-85-4,O=C(OC)C1COCC1,0
67475-56-3,O=S(=O)(Cl)C1=CC(F)=CC=C1OC,0
946126-94-9,O=C(OC)C1=CC=CC(=C1F)N(=O)=O,0
264608-37-9,O=S(=O)(NC1CCC(N)CC1)C,0
120100-15-4,O=C(OC)C=1C=CC=C(N)C1Cl,0
5129-25-9,O=C(OC)C=1C=CC=C(N)C1OC,0
455-75-4,O=C(OCC)C1=CC=C(F)C(N)=C1,0
69815-97-0,O=S(=O)(Cl)C=1SC=C(C1)C,0
1195768-23-0,O=S(=O)(NC=1C=CC=C(C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)(C)C)C=4C(F)=CC=CC4F,0
1195768-19-4,O=C(OC)C=1C=CC=C(NS(=O)(=O)C=2C(F)=CC=CC2F)C1F,0
73470-46-9,O=C(OC(C)(C)C)NC(C(=O)N)(C)C,0
1195768-20-7,O=C(C=1C=CC=C(NS(=O)(=O)C=2C(F)=CC=CC2F)C1F)CC3=NC(Cl)=NC=C3,0
871677-92-8,O=C(N)C1COCC1,0
88571-77-1,S=C(N)C1CCOCC1,0
251947-23-6,O=C(OC(C)(C)C)NC1CCC(NS(=O)(=O)C)CC1,0
156589-97-8,S=C(N)C1CCC1,0
951745-01-0,O=C(OC(C)(C)C)N1CCC(C(=S)N)(C)CC1,0
1195767-77-1,O=S(=O)(NC=1C=CC=C(C1F)C=2N=C(SC2C=3N=C(N=CC3)N)C(C)(C)CO)C=4C(F)=CC=CC4F,0
1195765-47-9,O=S(=O)(NC=1C=CC=C(C1F)C=2N=C(SC2C=3N=C(N=CC3)N)C(C)C)C=4C(F)=CC=CC4F,0
1195768-31-0,FC1=C(N)C=CC=C1C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)(C)C,0
1195768-27-4,O=C(OCC=C)NC1=CC=CC(C(=O)CC2=NC(Cl)=NC=C2)=C1F,0
1195768-26-3,O=C(OCC=C)NC1=CC=CC(C(=O)OC)=C1F,0
1195768-22-9,O=S(=O)(NC=1C=CC=C(C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)C)C=4C(F)=CC=CC4F,0
1195769-09-5,O=S(=O)(NC1=CC=CC(=C1)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)C)C=4C=CC=C(F)C4,0
1195768-43-4,O=S(=O)(NC1=CC(=CC=C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)C)C=4C(F)=CC=CC4F,0
1195768-42-3,O=C(C1=CC=C(F)C(=C1)NS(=O)(=O)C=2C(F)=CC=CC2F)CC3=NC(Cl)=NC=C3,0
1195768-17-2,O=S(=O)(NC1=CC=CC(=C1)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)C)C=4C(F)=CC=CC4F,0
1160626-02-7,O=C(OCC=C)NC1=CC=CC(=C1)C(=O)CC2=NC(Cl)=NC=C2,0
1160626-00-5,O=C(OCC=C)NC1=CC=CC(=C1)C(=O)OCC,0
133117-98-3,O=C(OC(C)(C)C)NC(C(=S)N)(C)C,0
1195769-01-7,FC1=C(N)C=CC=C1C=2N=C(SC2C=3N=C(N=CC3)N)C(C)(C)C,0
1195768-51-4,O=S(=O)(NC1=CC(=CC=C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)(C)C)C=4C(F)=CC=CC4F,0
1195768-30-9,O=C(OCC=C)NC=1C=CC=C(C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)(C)C,0
1195768-24-1,O=C(OC)C=1C=CC=C(NS(=O)(=O)C2=CC(F)=CC=C2F)C1F,0
902717-20-8,O=C(OC)C=1C=CC=C(C1)NS(=O)(=O)C2=CC(F)=CC=C2F,0
17969-52-7,O=C(OCC)C(C(=S)N)(C)C,0
1195769-74-4,O=C(OC(C)(C)C)N1CCC(C2=NC(=C(S2)C=3N=C(N=CC3)N)C4=CC=CC(NS(=O)(=O)C=5C(F)=CC=CC5F)=C4F)CC1,0
1195769-63-1,O=C(OC(C)(C)C)N1CCC(C2=NC(=C(S2)C=3N=C(Cl)N=CC3)C4=CC=CC(N)=C4F)(C)CC1,0
1195769-62-0,O=C(OCC=C)NC=1C=CC=C(C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)C4(C)CCN(C(=O)OC(C)(C)C)CC4,0
1195769-54-0,FC1=C(N)C=CC=C1C=2N=C(OC2C=3N=C(Cl)N=CC3)C(C)(C)C,0
1195769-52-8,O=C(OCC=C)NC1=CC=CC(C(=O)C(Br)C2=NC(Cl)=NC=C2)=C1F,0
1195769-50-6,S=C(N)C(C)(C)CO,0
1195769-25-5,FC=1C=CC(N)=C(F)C1C=2N=C(SC2C=3N=C(Cl)N=CC3)N4CCOCC4,0
1195769-24-4,O=C(OCC=C)NC=1C=CC(F)=C(C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)N4CCOCC4,0
1195769-23-3,O=C(OCC=C)NC1=CC=C(F)C(C(=O)CC2=NC(Cl)=NC=C2)=C1F,0
1195769-22-2,O=C(OCC=C)NC1=CC=C(F)C(C(=O)OC)=C1F,0
1195769-08-4,O=S(=O)(NC1=CC(=CC=C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)C)C=4C=CC=C(F)C4,0
1195769-03-9,O=C(OCC=C)NC=1C=CC=C(C1F)C=2N=C(SC2C=3N=C(N=CC3)N)C(C)(C)C,0
1195768-71-8,ClC=1N=CC=C(N1)C=2SC(=NC2C3=CC=CC(N)=C3Cl)N4CCOCC4,0
1195768-70-7,O=C(OCC=C)NC=1C=CC=C(C1Cl)C=2N=C(SC2C=3N=C(Cl)N=CC3)N4CCOCC4,0
1195768-69-4,O=C(OCC=C)NC1=CC=CC(=C1Cl)C(O)=CC2=NC(Cl)=NC=C2,0
1195768-53-6,FC1=CC=C(C=C1N)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)C,0
1195768-52-5,O=C(OCC=C)NC1=CC(=CC=C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)C,0
1195768-48-9,O=C(OCC=C)NC1=CC(=CC=C1F)C(=O)CC2=NC(Cl)=NC=C2,0
1195768-40-1,O=C(OCC)C1=CC=C(F)C(=C1)NS(=O)(=O)C=2C(F)=CC=CC2F,0
1195768-38-7,FC1=C(N)C=CC=C1C=2N=C(SC2C=3N=C(Cl)N=CC3)C4CCOCC4,0
1195768-37-6,O=C(OCC=C)NC=1C=CC=C(C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)C4CCOCC4,0
1195768-34-3,FC1=C(N)C=CC=C1C=2N=C(SC2C=3N=C(Cl)N=CC3)N4CCOCC4,0
1195768-33-2,O=C(OCC=C)NC=1C=CC=C(C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)N4CCOCC4,0
1195768-29-6,FC1=C(N)C=CC=C1C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)C,0
1195768-28-5,O=C(OCC=C)NC=1C=CC=C(C1F)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)C,0
1195768-25-2,O=C(C=1C=CC=C(NS(=O)(=O)C2=CC(F)=CC=C2F)C1F)CC3=NC(Cl)=NC=C3,0
1195768-16-1,ClC=1N=CC=C(N1)C=2SC(=NC2C=3C=CC=C(N)C3)C(C)C,0
1195768-14-9,O=C(OCC=C)NC1=CC=CC(=C1)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)C,0
1195768-12-7,O=S(=O)(NC1=CC=CC(=C1)C=2N=C(SC2C=3N=C(Cl)N=CC3)C(C)(C)C)C4=CC(F)=CC=C4F,0
