CAS Registry Number,Canonical SMILES,key
50-00-0,O=C,0
74-88-4,IC,0
100-46-9,NCC=1C=CC=CC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
75-65-0,OC(C)(C)C,0
106-89-8,ClCC1OC1,0
124-40-3,N(C)C,0
124-63-0,O=S(=O)(Cl)C,0
106-95-6,BrCC=C,0
78-83-1,OCC(C)C,0
120-72-9,C=1C=CC=2NC=CC2C1,0
109-01-3,N1CCN(C)CC1,0
814-68-6,O=C(Cl)C=C,0
541-41-3,O=C(Cl)OCC,0
30525-89-4,O=C,0
98-09-9,O=S(=O)(Cl)C=1C=CC=CC1,0
96-32-2,O=C(OC)CBr,0
420-04-2,N#CN,0
3886-69-9,NC(C=1C=CC=CC1)C,0
557-21-1,N#C[Zn]C#N,0
107-14-2,N#CCCl,0
603-76-9,C=1C=CC2=C(C1)C=CN2C,0
111-34-2,O(C=C)CCCC,0
110-70-3,N(C)CCNC,0
625-36-5,O=C(Cl)CCCl,0
91-00-9,NC(C=1C=CC=CC1)C=2C=CC=CC2,0
142-25-6,N(C)CCN(C)C,0
22483-09-6,O(C)C(OC)CN,0
1421373-65-0,O=C(C=C)NC1=CC(NC=2N=CC=C(N2)C3=CN(C=4C=CC=CC34)C)=C(OC)C=C1N(C)CCN(C)C,1
3934-20-1,ClC1=NC=CC(Cl)=N1,0
5750-76-5,ClC1=NC=C(Cl)C(Cl)=N1,0
132958-72-6,N1CCC(N(C)C)C1,0
1780-31-0,ClC1=NC=C(C(Cl)=N1)C,0
132883-44-4,N1CCC(N(C)C)C1,0
112257-19-9,O=C(OC(C)(C)C)N(C)CCNC,0
18621-17-5,OC1CN(C1)C(C=2C=CC=CC2)C=3C=CC=CC3,0
71195-85-2,O=C(OC=1C(F)=C(F)C(F)=C(F)C1F)C=C,0
59433-50-0,O=C(OC(C)(C)C)N1CCCC1C(=O)O,0
1075705-01-9,O=N(=O)C=1C=C(N)C(OC)=CC1F,0
59557-91-4,BrC1=CC=C(N)C(OC)=C1,0
454482-11-2,O1B(OC(C)(C)C1(C)C)C2=CCN(C)CC2,0
450-91-9,FC1=CC=C(N)C(OC)=C1,0
138022-85-2,N1CC(N(C)C)C1,0
