CAS Registry Number,Canonical SMILES,key
1207456-01-6,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=NN5C,1
1207454-56-5,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=NN5C,0
1207456-00-5,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=NN5C,0
1207456-05-0,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=NN5C,0
1207456-03-8,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=CN5C,0
1207454-19-0,O=C1NN=C2C=3C(=CC=CC13)NC(C4=NC=CN4C)C2C5=NC=CN5C,0
1207453-94-8,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=CN5C,0
1207453-17-5,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=CC=C(C=C5)CN(C)C,0
1207453-15-3,O=C1NN=C2C=3C(=CC=CC13)NC(C=4C=NC=CC4)C2C5CNCCC5,0
1207452-77-4,O=C1NN=C2C=3C(=CC=CC13)NC(C4=NC=CC=C4)C2C5=NC=CC=C5,0
1207452-74-1,O=C1NN=C2C=3C(=CC=CC13)NC(C=4C=NC=CC4)C2C=5C=NC=CC5,0
1207452-71-8,O=C1NN=C2C=3C(=CC=CC13)NC(C=4C=CN=CC4)C2C=5C=CN=CC5,0
1207452-63-8,O=C1NN=C2C=3C(=CC=CC13)NC(C=4C=CC=CC4)C2C=5C=CC=CC5,0
1207456-15-2,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C=4C=CC=CC4)C2C5=NC=NN5C,0
1207456-04-9,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=NN5C,0
1207456-02-7,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=CN5C,0
1207455-99-9,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=CN5C,0
1207455-98-8,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=CN5C,0
1207455-89-7,O=C1NN=C2C=3C(=CC=CC13)NC(C4=NC=CN4C)C2(O)C5=CC=C(F)C=C5,0
1207455-87-5,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C=4C=CC=CC4)C2C5=NC=NN5C,0
1207455-83-1,O=C1NN=C2C=3C(=CC=CC13)NC(C4=NC=CN4)C2C5=CC=C(F)C=C5,0
1207455-81-9,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2(C5=NC=CN5C)C,0
1207455-76-2,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)C5NCCC5)C2C6=CC=C(F)C=C6,0
1207455-71-7,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)C5N(C)CCC5)C2C6=CC=C(F)C=C6,0
1207455-69-3,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(CC)CC)C2C5=CC=C(C=C5)C,0
1207455-67-1,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=CC=C(C=C5)C(F)(F)F,0
1207455-65-9,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=CC=C(C=C5)C(C)C,0
1207455-63-7,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=CC=C(C=C5)CC,0
1207455-61-5,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C4=NC=CN4C)C2C5=CC=C(F)C=C5,0
1207455-55-7,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(CC)CC)C2C5=CC=C(Cl)C=C5,0
1207455-54-6,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(CC)CC)C2C5=CC=C(F)C=C5,0
1207455-53-5,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(CC)CC)C2C=5C=CC=CC5,0
1207455-51-3,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=CC=C(OC)C=C5,0
1207455-48-8,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=CC=C(Cl)C=C5,0
1207455-46-6,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=CC=C(C=C5)C,0
1207455-44-4,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C5N=CC=CC5=C4)C2C6=CC=C(F)C=C6,0
1207455-41-1,O=C1NN=C2C=3C(=CC=CC13)NC(C4=NC=CN4C)C2C5=CC=C(F)C=C5,0
1207455-40-0,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CCCC5)C2C6=NC=CN6C,0
1207455-39-7,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CCCC5)C2C=6C=CC=CC6,0
1207455-36-4,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CC(NC(C)C5)C)C2C6=CC=C(F)C=C6,0
1207455-35-3,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CCN(C)C(C)C5)C2C6=CC=C(F)C=C6,0
1207455-32-0,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=CC=C(C=C5)CN(C)C,0
1207455-30-8,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=CC=C(F)C=C5,0
1207455-24-0,O=C1NN=C2C=3C(=CC(Cl)=CC13)NC(C=4C=CC=CC4)C2C5=NC=CN5C,0
1207455-22-8,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=6C=NC=CC6N5C,0
1207455-20-6,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=NN5C,0
1207455-18-2,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NN=CN5C,0
1207455-12-6,O=C1NN=C2C=3C(=CC=CC13)NCC2C=4C=CC=CC4,0
1207455-11-5,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CCCC5)C2C6=CC=C(F)C=C6,0
1207455-06-8,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CCNC(C)C5)C2C6=CC=C(F)C=C6,0
1207455-03-5,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CCNCC5)C2C6=CC=C(F)C=C6,0
1207455-02-4,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CCN(C)CC5)C2C6=CC=C(F)C=C6,0
1207454-95-2,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CCN(CC)CC5)C2C6=CC=C(F)C=C6,0
1207454-94-1,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CCN(CC)C(C)C5)C2C=6C=CC=CC6,0
1207454-92-9,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=CN5CC,0
1207454-90-7,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=CS5,0
1207454-87-2,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)C(F)(F)F)C2C5=NC=CN5C,0
1207454-84-9,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(Cl)C=C4)C2C5=NC=CN5C,0
1207454-78-1,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NN=C(N5C)C,0
1207454-76-9,O=C1NN=C2C=3C(=CC=CC13)NC(C=4C=CC=CC4)C2C5=NN=C(N5C)C,0
1207454-71-4,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C=5N=NN(C5)C,0
1207454-69-0,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC(=C(N5C)C)C,0
1207454-66-7,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2(C5=NC=NN5C)C,0
1207454-63-4,O=C1NN=C2C=3C(=CC(F)=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=NC=NN5C,0
1207454-60-1,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN(C)C)C2C5=NC=NN5C,0
1207454-58-7,O=C1NN=C2C=3C(=CC=CC13)NC(C=4C=CC=CC4)C2C5=NC=NN5C,0
1207454-53-2,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(C=C4)CN5CCC5)C2C6=CC=C(F)C=C6,0
1207454-52-1,O=C1NN=C2C=3C(=CC=CC13)NC(C=4C=CC=C(C4)CN5CCOCC5)C2C=6C=CC=CC6,0
1207454-51-0,O=C1NN=C2C=3C(=CC=CC13)NC(C=4C=CC=C(C4)CN(C)C)C2C=5C=CC=CC5,0
1207454-50-9,O=C1NN=C2C=3C(=CC=CC13)NC(C=4C=CC=CC4)C2C=5C=CC=C(C5)CNC6CC6,0
1207454-49-6,O=C1NN=C2C=3C(=CC=CC13)NC(C=4C=CC=C(C4)CN(C)C)C2C=5C=CC=C(C5)CN(C)C,0
1207454-46-3,O=C1NN=C2C=3C(=CC=CC13)NC(C4=CC=C(F)C=C4)C2C5=NC=CN5C,0
