CAS Registry Number,Canonical SMILES,key
67-56-1,OC,0
110-91-8,O1CCNCC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
75-65-0,OC(C)(C)C,0
109-89-7,N(CC)CC,0
98-80-6,OB(O)C=1C=CC=CC1,0
108-91-8,NC1CCCCC1,0
75-04-7,NCC,0
109-01-3,N1CCN(C)CC1,0
693-98-1,N=1C=CNC1C,0
108-42-9,ClC1=CC=CC(N)=C1,0
156-87-6,OCCCN,0
2393-23-9,O(C1=CC=C(C=C1)CN)C,0
78-81-9,NCC(C)C,0
420-04-2,N#CN,0
103-67-3,C=1C=CC(=CC1)CNC,0
109-85-3,O(C)CCN,0
617-89-0,O1C=CC=C1CN,0
2038-03-1,O1CCN(CC1)CCN,0
91-21-4,C=1C=CC2=C(C1)CNCC2,0
641571-10-0,O=C(NC=1C=C(C=C(C1)C(F)(F)F)N2C=NC(=C2)C)C3=CC=C(C(=C3)NC=4N=CC=C(N4)C5=CN=CC=C5)C,1
120-20-7,O(C1=CC=C(C=C1OC)CCN)C,0
2759-28-6,C=1C=CC(=CC1)CN2CCNCC2,0
3731-53-1,N=1C=CC(=CC1)CN,0
2516-47-4,NCC1CC1,0
2706-56-1,N=1C=CC=CC1CCN,0
822-36-6,N1=CNC(=C1)C,0
91-00-9,NC(C=1C=CC=CC1)C=2C=CC=CC2,0
5036-48-6,N=1C=CN(C1)CCCN,0
27578-60-5,NCCN1CCCCC1,0
34803-66-2,N=1C=CC=CC1N2CCNCC2,0
122-80-5,O=C(NC1=CC=C(N)C=C1)C,0
3300-51-4,FC(F)(F)C1=CC=C(C=C1)CN,0
4795-29-3,O1CCCC1CN,0
1603-41-4,N=1C=C(C=CC1N)C,0
50541-93-0,NC1CCN(CC=2C=CC=CC2)CC1,0
120-43-4,O=C(OCC)N1CCNCC1,0
38212-30-5,O(C1=CC=C(C=C1)N2CCNCC2)C,0
582-33-2,O=C(OCC)C=1C=CC=C(N)C1,0
4897-50-1,N1CCC(N2CCCCC2)CC1,0
111-95-5,O(C)CCNCCOC,0
7663-77-6,O=C1N(CCCN)CCC1,0
34698-41-4,NC1C=2C=CC=CC2CC1,0
102-50-1,O(C1=CC=C(N)C(=C1)C)C,0
110-76-9,O(CC)CCN,0
3963-62-0,NCC(C=1C=CC=CC1)C=2C=CC=CC2,0
40807-61-2,OC1(C=2C=CC=CC2)CCNCC1,0
1008-91-9,N=1C=CC(=CC1)N2CCNCC2,0
121-05-1,NCCN(C(C)C)C(C)C,0
930-62-1,N=1C=C(NC1C)C,0
6436-90-4,O=C(OCC)CNCC=1C=CC=CC1,0
2217-41-6,NC1=CC=CC2=C1CCCC2,0
6281-42-1,O=C1NCCN1CCN,0
5438-70-0,O=C(OCC)CC1=CC=C(N)C=C1,0
53266-94-7,O=C(OCC)CC=1N=C(SC1)N,0
2835-78-1,O=C(C=1C=CC=CC1)C=2C=CC=C(N)C2,0
59020-10-9,N=1C=CC=C(C1)[Sn](CCCC)(CCCC)CCCC,0
132664-85-8,N=1C=C(N=CC1C)CN,0
34803-68-4,N=1C=CN=C(C1)N2CCNCC2,0
21043-40-3,N1CCN(CC1)C2CCCC2,0
18595-18-1,O=C(OC)C1=CC=C(C(N)=C1)C,0
21568-87-6,O=C1NCCCCC1N,0
54962-75-3,FC(F)(F)C=1C=C(Br)C=C(N)C1,0
39890-45-4,O=C(N1CCCC1)CN2CCNCC2,0
55314-16-4,O=C(C=CN(C)C)C=1C=NC=CC1,0
70261-82-4,NC1=CC=C(C=C1)CN2CCN(C)CC2,0
641571-11-1,FC(F)(F)C=1C=C(N)C=C(C1)N2C=NC(=C2)C,0
53485-07-7,NCCCN(C=1C=CC=CC1)C,0
367-67-9,O=N(=O)C1=CC=C(Br)C(=C1)C(F)(F)F,0
83732-75-6,NCCC1=CC=CN1C,0
33953-37-6,O=C(NC1CCNCC1)C=2C=CC=CC2,0
641571-13-3,O=C(O)C=1C=C(C=C(C1)C(F)(F)F)N2C=NC(=C2)C,0
26513-20-2,NC1=CC=CC(=C1)N(CC)CC,0
641569-94-0,O=C(O)C1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C,0
330796-48-0,FC(F)(F)C1=CC(N)=CC=C1N2CCN(C)CC2,0
41191-92-8,O=C(OCC)C1=CC=C(C(N)=C1)C,0
105316-06-1,FC(F)(F)C1=CC(N)=CC=C1N2CCOCC2,0
641571-21-3,FC(F)(F)C=1C=C(N)C=C(C1)N2CCN(C)CC2,0
133184-80-2,FC(F)(F)C1=CC=C(C(N)=C1)N2CCCC2,0
641571-02-0,FC(F)(F)C=1C=C(N)C=C(C1)N2CCOCC2,0
641571-12-2,N#CC=1C=C(C=C(C1)C(F)(F)F)N2C=NC(=C2)C,0
641571-08-6,O=C(O)C=1C=C(C=C(C1)C(F)(F)F)N2C=CN=C2C,0
16085-45-3,FC(F)(F)C1=CC(N)=CC=C1N2CCCC2,0
641569-97-3,O=C(OCC)C1=CC=C(C(=C1)NC=2N=CC=C(N2)C3=CN=CC=C3)C,0
641571-03-1,O=C(OC(C)(C)C)NC1=CC(Br)=CC(=C1)C(F)(F)F,0
70339-06-9,FC(F)(F)C1=CC(N)=CC=C1N2CCCCC2,0
51339-40-3,O=C(Cl)C1=CC(Br)=CC(=C1)N(=O)=O,0
641570-82-3,FC(F)(F)C=1C=C(N)C=CC1C=2C=CC=CC2,0
306937-22-4,O=C(OCC)C1CCN(CC=2C=CC=C(N)C2)CC1,0
210917-99-0,N=1C=CN(C1)CCCOC2=CC=CC(N)=C2,0
641570-89-0,FC(F)(F)C1=CC(N)=CC=C1N2C=NC(=C2)C,0
641571-18-8,O=C(O)C=1C=C(C=C(C1)C(F)(F)F)N2C=NC=C2C,0
641570-98-1,O=C(NC)C1=CC(N)=CC(=C1)C(F)(F)F,0
156790-79-3,O=C(OC)C=1C=CC=C(C1)NC=2N=CC=C(N2)C3=CN=CC=C3,0
641571-16-6,FC(F)(F)C=1C=C(N)C=C(C1)N2C=NC=C2C,0
641571-14-4,O=C(OC(C)(C)C)NC=1C=C(C=C(C1)C(F)(F)F)N2C=NC(=C2)C,0
641571-06-4,FC(F)(F)C=1C=C(N)C=C(C1)N2C=CN=C2C,0
641570-93-6,O=C(OC(C)(C)C)C1=CC(Br)=CC(=C1)N(=O)=O,0
221170-25-8,O=C1NC=C(C(=O)N1)CCN,0
112677-70-0,N=1C=CN(C1)CCOC2=CC=CC(N)=C2,0
22227-30-1,O=C(NC)C=1C=C(C=C(C1)C(F)(F)F)N(=O)=O,0
641571-15-5,O=C(NC=1C=C(C=C(C1)C(F)(F)F)N2C=NC=C2C)C3=CC=C(C(=C3)NC=4N=CC=C(N4)C5=CN=CC=C5)C,0
630126-03-3,FC(F)(F)C1=CC(N)=CC=C1N2C=CN=C2C,0
188260-51-7,O=C(O)C=1C=CC=C(C1)NC=2N=CC=C(N2)C3=CN=CC=C3,0
641571-00-8,FC(F)(F)C=1C=C(N)C=C(C1)C2=CN=CC=C2,0
641570-65-2,FC(F)(F)C1=CC(N)=CC(=C1)C(O)(C)C,0
641571-22-4,O=C(OC(C)(C)C)NC=1C=C(C=C(C1)C(F)(F)F)N2CCN(C)CC2,0
641571-07-5,N#CC=1C=C(C=C(C1)C(F)(F)F)N2C=CN=C2C,0
641571-05-3,O=C(NC=1C=C(C=C(C1)C(F)(F)F)N2C=CN=C2C)C3=CC=C(C(=C3)NC=4N=CC=C(N4)C5=CN=CC=C5)C,0
641571-04-2,O=C(OC(C)(C)C)NC=1C=C(C=C(C1)C(F)(F)F)N2CCOCC2,0
641570-95-8,O=C(OC)C=1C=C(C=C(C1)N2CCOCC2)N(=O)=O,0
641570-70-9,O=C(NC=1C=CC=C(OCCCN2C=NC=C2)C1)C3=CC=C(C(=C3)NC=4N=CC=C(N4)C5=CN=CC=C5)C,0
351324-53-3,FC(F)(F)C1=CC(N)=CC=C1N2C=NC=C2,0
122863-00-7,FC(F)(F)C1=CC(N)=CC=C1NCC(O)C,0
112696-09-0,O=C(OCC)C=1C=CC=C(C1)NC=2N=CC=C(N2)C3=CN=CC=C3,0
105298-89-3,FC(F)(F)C1=CC(N)=CC=C1N(CCOC)CCOC,0
105296-03-5,FC(F)(F)C1=CC(N)=CC=C1N(CC)CC,0
641571-23-5,O=C(NC1=CC(=CC=C1N2CCCC2)C(F)(F)F)C3=CC=C(C(=C3)NC=4N=CC=C(N4)C5=CN=CC=C5)C,0
641571-20-2,O=C(NC=1C=C(C=C(C1)C(F)(F)F)N2CCN(C)CC2)C3=CC=C(C(=C3)NC=4N=CC=C(N4)C5=CN=CC=C5)C,0
641571-17-7,N#CC=1C=C(C=C(C1)C(F)(F)F)N2C=NC=C2C,0
641571-09-7,O=C(OC(C)(C)C)NC=1C=C(C=C(C1)C(F)(F)F)N2C=CN=C2C,0
641571-01-9,O=C(NC=1C=C(C=C(C1)C(F)(F)F)N2CCOCC2)C3=CC=C(C(=C3)NC=4N=CC=C(N4)C5=CN=CC=C5)C,0
641570-99-2,O=C(NC=1C=C(C=C(C1)C(F)(F)F)C=2C=NC=CC2)C3=CC=C(C(=C3)NC4=NC=CC(=N4)C=5C=NC=CC5)C,0
