CAS Registry Number,Canonical SMILES,key
25676-75-9,BrC=1N=CN(C1)C,0
116574-75-5,FC1CNCCC1,0
364794-79-6,O1B(OC(C)(C)C1(C)C)C2=CC=C(C=C2)CN3CCOCC3,0
496786-98-2,O=C(OC(C)(C)C)N1CCN(C2=NC=C(C=C2)B3OC(C)(C)C(O3)(C)C)CC1,0
279262-23-6,OB(O)C1=CC=C(C=C1)CN2CCOCC2,0
42521-09-5,O=C(OC)C=1C=C(Cl)N=C(Cl)C1,0
864754-18-7,N1=CC(=CN1CCN2CCOCC2)B3OC(C)(C)C(O3)(C)C,0
248270-25-9,O=CC1=CC=C(C=C1F)B(O)O,0
918524-63-7,N=1C=C(C=CC1N2CCN(C)CC2)B3OC(C)(C)C(O3)(C)C,0
98006-90-7,BrC1=NC=C(N=C1)C,0
661470-56-0,O1CC2NCC1C2,0
1052686-67-5,N=1C=C(C=NC1C)B2OC(C)(C)C(O2)(C)C,0
869973-96-6,OB(O)C1=NN(C=C1)C,0
771579-27-2,O=C1NC(=CC(=C1CN)C)C,0
90259-27-1,O=C(O)C=1C(F)=CC=CC1C,0
70799-12-1,OB(O)C1=CC=C(C=C1)CN(C)C,0
871126-22-6,O=CC1=CC=C(B(O)O)C(F)=C1,0
656239-38-2,O=C(C1=CC=C(C=C1)B2OC(C)(C)C(O2)(C)C)N3CCOCC3,0
871125-86-9,N=1C=C(C=CC1N2CCNCC2)B3OC(C)(C)C(O3)(C)C,0
1000342-11-9,O=C(OC)C=1C=C(Br)C=C(N)C1C,0
1003043-64-8,OB(O)C=1C=NN(C1)CCN2CCOCC2,0
220514-28-3,O=C(OC)C1=CC(Br)=CC(=C1C)N(=O)=O,0
107650-20-4,O=C(O)C1=CC(Br)=CC(=C1C)N(=O)=O,0
73406-97-0,BrC1=CN=C(C=C1)N2CCNCC2,0
878197-87-6,O1B(OC(C)(C)C1(C)C)C2=CC=C(C=C2)CN(C)C,0
763120-62-3,OB(O)C1=CC=C(C=C1)CN2CCN(C)CC2,0
1403257-79-3,O=C(OC)C1=CC(Br)=CC(=C1C)N(CC)C2CCOCC2,0
1403257-49-7,O=C(OC)C=1C=C(Br)C=C(NC2CCOCC2)C1C,0
364794-58-1,BrC1=CN=C(C=C1)N2CCN(C)CC2,0
759-02-4,O=C(C)C(F)C(=O)C,0
16232-40-9,N#CC=1C(=O)NC(=CC1CCC)C,0
523977-64-2,N#CC1=CC(Br)=CC=C1C=O,0
1083180-00-0,N1=CSC=C1B2OC(C)(C)C(O2)(C)C,0
1346575-64-1,O=C1NC(=CC(=C1CN)CCC)C,0
1403257-81-7,O=C(O)C1=CC(Br)=CC(=C1C)N(CC)C2CCOCC2,0
1403257-80-6,O=C(NCC=1C(=O)NC(=CC1C)C)C2=CC(Br)=CC(=C2C)N(CC)C3CCOCC3,0
1403256-13-2,O=C(NCC=1C(=O)NC(=CC1C)C)C2=CC(=CC(=C2C)N(CC)C3CCC(N(C)C)CC3)C4=CC=C(C=C4)CN5CCOCC5,0
23819-87-6,N#CC=1C(=O)NC(=C(Br)C1C)C,0
1073354-14-9,O=CC1=NC=C(C=C1)B2OC(C)(C)C(O2)(C)C,0
1403259-00-6,O=C(O)C1=CC(=CC(=C1C)N(CC)C2CCOCC2)C3=CC=C(C=C3)CN4CCOCC4,0
1403255-41-3,O=C(NCC=1C(=O)NC(=CC1C)C)C2=CC(=CC(=C2C)N(CC)C3CCOCC3)C4=CC=C(C=C4)CN5CCNCC5,0
146881-63-2,N#CC=1C(=O)NC(=CC1C(C)C)C,0
81535-82-2,O=C(C#CCO[Si](C)(C)C(C)(C)C)C,0
1160790-92-0,N=1C=C(C=CC1CN2CCOCC2)B3OC(C)(C)C(O3)(C)C,0
1079992-96-3,O=C(O)C=1C(F)=CC=C(C1C)N(=O)=O,0
