CAS Registry Number,Canonical SMILES,key
1100598-32-0,N#CC1=CC=CC(=C1)C2=NN(C(=O)C=C2)CC3=CC=CC(=C3)C4=NC=C(OCC5CCN(C)CC5)C=N4,1
24715-90-0,NCCCCN1CCCC1,0
80370-42-9,O=CC(C=O)C(=O)OCC,0
37972-69-3,O=C(O)C1=NNC(=O)C=C1,0
2109-66-2,OC(C)CN1CCOCC1,0
42042-68-2,OCCCCNC,0
104641-60-3,OC1CN(C)CC1,0
42588-57-8,O=CC(=COCC)C,0
36437-19-1,O=CC(Cl)C=O,0
628-11-5,O=C(Cl)OCCCCl,0
104641-59-0,OC1CN(C)CC1,0
124072-61-3,O=C(OC(C)(C)C)N(C)CCC(=O)O,0
7432-10-2,OC1CC2N(C)C(CC2)C1,0
2162-33-6,OCCCOC1OCCCC1,0
135034-10-5,ClC1=NN=C(I)C=C1,0
304858-67-1,N#CC1=CC(F)=CC(=C1)B(O)O,0
10575-25-4,OCC#CCN(CC)CC,0
42055-16-3,OCCCNCC,0
55480-45-0,O=C(O)CCN1CCN(C)CC1,0
2166-13-4,O=C1C=CC(=NN1)C=2C=CC(Cl)=CC2,0
443776-76-9,OCC=1C=CC=C(C1)B2OC(C)(C)C(O2)(C)C,0
2166-32-7,O=C1C=CC(=NN1)C=2C=CC(=CC2)C,0
39229-33-9,O=C(Cl)COCCCl,0
2166-33-8,O=C1C=CC(=NN1)C=2C=CC(OC)=CC2,0
533-15-3,OCCC1N(C)CCCC1,0
69807-82-5,N=1C=NN(C1)CCCN,0
63001-30-9,O=C1C=CC(=NN1)C(=O)OC,0
1000802-52-7,N1=CC(=CN1CCN2CCCC2)B3OC(C)(C)C(O3)(C)C,0
264264-32-6,O=C(O)C1=CC=CC(=C1)C2=NOC(=N2)C,0
58897-67-9,O=C1C=CC(=NN1)C=2C=CC(F)=CC2,0
69296-06-6,OCC(N1CCOCC1)C,0
221050-88-0,O=C(OC(C)(C)C)N1CCN(C2=NC(Cl)=NC=C2)CC1,0
199447-10-4,O=C(O)C1=CC=CC(=C1)C(=N)NO,0
253273-90-4,BrCC1=CC=CC(=C1)C2=NOC(=N2)C,0
52240-08-1,N#CC1=CC=CC(=C1)C2=NNC(=O)C=C2,0
62902-66-3,O=C1C=CC(=NN1)C=2C=CC=C(Cl)C2,0
943541-20-6,ClC=1N=NC(=CC1)C=2C=NN(C2)C,0
54558-07-5,O=C1C=CC(=NN1)C=2SC=CC2,0
78157-26-3,O=C1C=CC(=NN1)C=2C=CN=CC2,0
66548-62-7,O=C1C=CC(=NN1)C=2C=CC=C(C2)C(F)(F)F,0
19065-49-7,OC1CCN(C)CCC1,0
78784-65-3,O=C1C=CC(=NN1)C=2C=NC=CC2,0
52240-10-5,N#CC=1C=CC(=CC1)C2=NNC(=O)C=C2,0
1092568-90-5,BrC1=CN=C(N=C1)C=2C=CC=C(C2)CO,0
1092568-87-0,O=C(OC)C1=CC=CC(=C1)C2=NC=C(O)C=N2,0
1007098-93-2,O=C1C=CC(=NN1)C=2C=C(F)C=C(F)C2,0
62902-65-2,O=C1C=CC(=NN1)C=2C=CC=C(Br)C2,0
