CAS Registry Number,Canonical SMILES,key
67-56-1,OC,0
100-52-7,O=CC=1C=CC=CC1,0
108-24-7,O=C(OC(=O)C)C,0
64-18-6,O=CO,0
56-45-1,O=C(O)C(N)CO,0
74-88-4,IC,0
123-11-5,O=CC1=CC=C(OC)C=C1,0
100-39-0,BrCC=1C=CC=CC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
75-65-0,OC(C)(C)C,0
18162-48-6,Cl[Si](C)(C)C(C)(C)C,0
108-86-1,BrC=1C=CC=CC1,0
89-98-5,O=CC=1C=CC=CC1Cl,0
105-36-2,O=C(OCC)CBr,0
79-04-9,O=C(Cl)CCl,0
328-50-7,O=C(O)C(=O)CCC(=O)O,0
75-16-1,Br[Mg]C,0
75-64-9,NC(C)(C)C,0
109-94-4,O=COCC,0
32315-10-9,O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,0
624-92-0,S(SC)C,0
925-90-6,Br[Mg]CC,0
98-79-3,O=C(O)C1NC(=O)CC1,0
100-53-8,SCC=1C=CC=CC1,0
109-04-6,BrC1=NC=CC=C1,0
874-42-0,O=CC1=CC=C(Cl)C=C1Cl,0
540-51-2,BrCCO,0
536-90-3,O(C1=CC=CC(N)=C1)C,0
446-52-6,O=CC=1C=CC=CC1F,0
554-84-7,O=N(=O)C=1C=CC=C(O)C1,0
626-55-1,BrC=1C=NC=CC1,0
348-54-9,FC=1C=CC=CC1N,0
372-19-0,FC1=CC=CC(N)=C1,0
76513-69-4,ClCOCC[Si](C)(C)C,0
83-38-5,O=CC=1C(Cl)=CC=CC1Cl,0
931-53-3,[C-]#[N+]C1CCCCC1,0
672-15-1,O=C(O)C(N)CCO,0
2237-30-1,N#CC1=CC=CC(N)=C1,0
5437-45-6,O=C(OCC=1C=CC=CC1)CBr,0
585-79-5,O=N(=O)C=1C=CC=C(Br)C1,0
3034-53-5,BrC1=NC=CS1,0
