CAS Registry Number,Canonical SMILES,key
3430-33-9,N=1C(=CC=C(N)C1C)C,0
56309-62-7,O=C=NC1=CC(OC)=CC=C1OC,0
50609-01-3,O(C1=CC=C(N)C=C1)CCN2CCCC2,0
27958-77-6,NC1=CC=CC(=C1)CN(C)C,0
261952-01-6,O=C(O)C1=CC=C(C(=C1)C(F)(F)F)C,0
55440-54-5,O=C=NC1=CC(Cl)=CC=C1OC,0
28395-76-8,O=C=NC1=CC=C(OC)C(Cl)=C1,0
2505-31-9,O=C=NC=1C(Cl)=CC(Cl)=CC1Cl,0
79257-61-7,O=C(NC=1C=C(OC)C=C(OC)C1)C,0
65766-32-7,ClC1=NC=NC(=C1)NC,0
443914-86-1,NC1=CC=C(C=C1)N2CCN(CC2)C(C)C,0
13471-68-6,O=C=NC1=CC(=CC=C1C)N(=O)=O,0
30069-31-9,O=C(NC1=CC=C(C(N)=C1)C)C2=CC=CC(=C2)C(F)(F)F,0
859282-11-4,O=C(O)C1=CC=C(C(=C1)C(F)(F)F)CN2CCN(C)CC2,0
26328-35-8,O=C=NC1=CC(Cl)=C(Cl)C=C1Cl,0
100800-40-6,O(C1=CC=C(N)C=C1)CCCN2CCOCC2,0
41864-45-3,O(C=1C=C(N)C(=CC1OC)C)C,0
872509-56-3,ClC1=C(OC)C=C(OC)C(Cl)=C1N,0
115619-00-6,O=N(=O)C1=CC=C(C=C1)N2CCN(CC)CC2,0
611225-86-6,NC1=CC=C(C=C1)CN2CCN(CC)CC2,0
38948-28-6,O(C1=CC=C(N)C=C1)CCN2CCN(C)CC2,0
27958-97-0,NC1=CC=CC(=C1)CN(CC)CC,0
221876-21-7,O=C(NC1=CC=C(C(=C1)N(=O)=O)C)C2=CC=CC(=C2)C(F)(F)F,0
23410-19-7,O=C(NC1=CC=CC(=C1)C(F)(F)F)C2=CC=C(C(N)=C2)C,0
872511-32-5,O=C=NC=1C(Cl)=C(OC)C=C(OC)C1Cl,0
120758-03-4,ClC=1C(OC)=CC(OC)=CC1N,0
443914-85-0,O=N(=O)C1=CC=C(C=C1)N2CCN(CC2)C(C)C,0
66131-69-9,N=1C=NC(=CC1N)NC,0
872511-30-3,ClC1=NC=NC(=C1)NCC,0
853297-25-3,FC(F)(F)C1=CC(N)=CC=C1CN(C)C,0
27958-92-5,O=N(=O)C1=CC=CC(=C1)CN(CC)CC,0
354112-08-6,O=C(OC(C)(C)C)N(C(=O)OC(C)(C)C)C=1N=CN=C(Cl)C1,0
42817-60-7,NC1=CC=C(C=C1)CCCN(C)C,0
790667-66-2,O(C1=CC=CC(N)=C1)C2CCN(C)CC2,0
220822-26-4,O(C1=CC=C(N)C=C1)CCCN2CCN(C)CC2,0
104097-50-9,O=N(=O)C1=CC=C(C#CCN(C)C)C=C1,0
78645-88-2,O=C=NC1=CC=CC(OC)=C1OC,0
872513-02-5,ClC1=NC=NC(=N1)NC,0
872511-35-8,N=1C=NC(=CC1NC2=CC=C(C=C2)N3CCN(CC)CC3)NC,0
