CAS Registry Number,Canonical SMILES,key
937266-19-8,O=C(N(C=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1)C)CC,0
937266-17-6,O=C(OCCOC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1)C,0
937266-15-4,O=C(NCCOC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5N=CN=C5C4)C(=C3)C)=C2C1)N(C)C,0
937266-13-2,N=1C=NN(C1)CCOC=2C=CC3=NC=NC(NC4=CC=C(OC=5C=CN6N=CN=C6C5)C(=C4)C)=C3C2,0
937266-11-0,O=C(N(C=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1)C)COC,0
937266-09-6,O=C(N(C)C)COC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1,0
937266-07-4,O=C(NCCOC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1)N6CCCC6,0
937266-05-2,O=C(NCCOC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1)N(OC)C,0
937266-03-0,O=C(NCCOC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1)N(C)C,0
937266-01-8,N=1C=NC(NC2=CC=C(OC=3C=CN4N=CN=C4C3)C(=C2)C)=C5C=C(C=CC15)NC6=NC(C)(C)CS6,0
937265-98-0,O=C(NC)COC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1,0
937265-96-8,O=C(OC)COC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1,0
937265-94-6,O=C(OCCOC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1)N(C)C,0
937265-92-4,N=1C=NC(=C2C=C(OCCOC)C=CC12)N3C4=CC=C(OC=5C=CN6C=CN=C6C5)C=C4CC3,0
937265-90-2,O=S(=O)(C)CCCOC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CC5=C(N=CN5C)C4)C(Cl)=C3)=C2C1,0
937265-88-8,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OCCOCC)C=CC15,0
937265-87-7,O=S(=O)(C)CCCOC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CC5=C(N=CN5C)C4)C(=C3)C)=C2C1,0
937265-86-6,OCC(O)COC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5N=CN=C5C4)C(=C3)C)=C2C1,0
937265-85-5,OCC(O)COC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5N=CN=C5C4)C(=C3)C)=C2C1,0
937265-84-4,OC(COC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5N=CN=C5C4)C(=C3)C)=C2C1)COCC=6C=CC=CC6,0
937265-82-2,OCCCC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1,0
937265-81-1,N=1C=NC(NC2=CC=C(OC=3C=CN4C=CN=C4C3)C(=C2)C)=C5C=C(OCCOCC)C=CC15,0
937265-80-0,O=S(=O)(C)CCCOC=1C=CC2=NC=NC(NC3=CC=C(OC=4C=CN5C=CN=C5C4)C(=C3)C)=C2C1,0
937265-79-7,N=1C=NC(NC2=CC=C(OC=3C=CC=4SC=NC4C3)C(=C2)C)=C5C=C(OCCCN(C)C)C=CC15,0
937265-78-6,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OCCCN6CCN(C)CC6)C=CC15,0
937265-77-5,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OCCN6CCN(C)CC6)C=CC15,0
937265-76-4,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OCCC6CCN(C)CC6)C=CC15,0
937265-75-3,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OCCN6CCOCC6)C=CC15,0
937265-74-2,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OCCCN(C)C)C=CC15,0
937265-73-1,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OCCN(C)C)C=CC15,0
937265-72-0,O=C(N(C)C)N1CCC(OC=2C=CC3=NC=NC(NC4=CC=C(OC=5C=CC6=C(N=CN6C)C5)C(=C4)C)=C3C2)C1,0
937265-71-9,O=S(=O)(N1CCC(OC=2C=CC3=NC=NC(NC4=CC=C(OC=5C=CC6=C(N=CN6C)C5)C(=C4)C)=C3C2)C1)C,0
937265-70-8,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OC6CN(C)CC6)C=CC15,0
937265-69-5,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OC6COCC6)C=CC15,0
937265-68-4,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OC6COCC6)C=CC15,0
937265-67-3,N=1C=NC(NC2=CC=C(OC=3C=CC4=C(N=CN4C)C3)C(=C2)C)=C5C=C(OCC6OCCC6)C=CC15,0
