CAS Registry Number,Canonical SMILES,key
3314-30-5,O=CC1=NC=2C=CC=CC2N1,0
15205-11-5,FC1=CC=C(C(Cl)=C1)CN,0
6627-60-7,N=1C(=CC=CC1CN)C,0
387350-39-2,FC(F)(F)C1=NC=C(C=C1)CN,0
34328-46-6,O=CC1=CC=C(Cl)C(=C1)C(F)(F)F,0
31224-43-8,O=CC1=NC=CC=C1F,0
146137-78-2,O=CC1=CC(=CC=C1F)C(F)(F)F,0
198348-89-9,O=C(O)C1=NNC(=C1)N(=O)=O,0
71255-09-9,O=CC1=CC=CN=C1OC,0
154016-48-5,N=1OC(=CC1CN)C,0
40273-47-0,O=CC=1C=CN=CC1F,0
10541-69-2,ClC1=CC=C(Cl)C(=C1)CN,0
150517-77-4,FC=1C=C(C=C(C1)C(F)(F)F)CN,0
103438-88-6,O=CC=1C=CC=C(OC)C1F,0
71653-64-0,O=CC=1C=CC=CC1OC(F)F,0
72235-51-9,FC1=CC=CC(=C1F)CN,0
72990-37-5,O=CC=1C=CN=CC1Cl,0
31181-89-2,O=CC1=NC=C(Cl)C=C1,0
20949-84-2,O=CC=1N=C(SC1)C,0
19415-51-1,O=CC1=CC(F)=CC=C1OC,0
63082-45-1,O=CC1=CC=C(F)C=C1C,0
96515-79-6,O=CC1=CC(Cl)=CC=C1F,0
30280-44-5,O=C=NCC1=CC=C(Cl)C=C1,0
136590-83-5,O=CC=1C(Cl)=CN=CC1Cl,0
56651-57-1,O=C=NCC1=CC=C(C=C1)C,0
90176-80-0,O=CC1=CC=C(F)C=C1C(F)(F)F,0
58028-76-5,O=CC=1C=CC=CC1N2CCOCC2,0
130628-75-0,BrCC1=NOC(=C1)C,0
486414-83-9,N1=CN(C=C1CN)C,0
54881-49-1,O=CC=1C=CC=C(OC)C1Cl,0
146137-80-6,O=CC1=CC=C(C=C1F)C,0
112641-20-0,O=CC1=CC=CC(=C1F)C(F)(F)F,0
60611-24-7,O=CC=1C(F)=CC=CC1C(F)(F)F,0
1801-10-1,O=C(N)C1=CC=CC(=C1)C(F)(F)F,0
55204-93-8,O=C=NCC=1C=CC=CC1Cl,0
82386-89-8,O=CC1=CC(=CC=C1Cl)C(F)(F)F,0
88497-27-2,BrC1=NN=C(N)C=C1,0
39891-04-8,O=CC=1C=NC=C(F)C1,0
102422-56-0,O=C=NCC=1C=CC=C(F)C1,0
113118-83-5,O=CC=1C=NC=C(OC)C1,0
866546-07-8,ClC=1C=NC=2NC=CC2C1,0
188815-30-7,O=CC1=CC(F)=CC(=C1)C(F)(F)F,0
72235-57-5,FC1=CC(Cl)=CC=C1CN,0
202522-22-3,FC1=CC=C(C(=C1)C(F)(F)F)CN,0
72235-55-3,FC=1C(Cl)=CC=CC1CN,0
22062-53-9,O=CC1=CC(F)=CC=C1C,0
17515-77-4,FC(F)(F)C=1OC(=CC1)CBr,0
132740-44-4,O=C=NCC=1C=CC=CC1F,0
56651-58-2,O=C=NCC=1C=CC=CC1C,0
93118-03-7,O=CC1=CC=CC(=C1Cl)C(F)(F)F,0
7091-12-5,O=CC=1C=CC=CC1OCCC,0
181585-93-3,O=C(OC)C1=NNC(=C1)N(=O)=O,0
90905-32-1,O=CC1=CN=C(N=C1)OC,0
423768-52-9,N1=C(C=C(N1C)C)CN,0
6960-22-1,O=C(N)C1=CN=C(C=C1)C,0
2670-38-4,O=C(N)C1=CC=C(Cl)C(Cl)=C1,0
74788-45-7,FC1=CC=CC(=C1)C(N)C,0
