CAS Registry Number,Canonical SMILES,key
107-21-1,OCCO,0
100-51-6,OCC=1C=CC=CC1,0
100-39-0,BrCC=1C=CC=CC1,0
75-65-0,OC(C)(C)C,0
100-02-7,O=N(=O)C1=CC=C(O)C=C1,0
1461-22-9,Cl[Sn](CCCC)(CCCC)CCCC,0
231277-92-2,O=S(=O)(C)CCNCC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=C(F)C5)C(Cl)=C4)=C3C2,1
503-38-8,O=C(Cl)OC(Cl)(Cl)Cl,0
139-59-3,O(C=1C=CC=CC1)C2=CC=C(N)C=C2,0
4394-85-8,O=CN1CCOCC1,0
5326-23-8,O=C(O)C1=CN=C(Cl)C=C1,0
6373-46-2,O(C1=CC=C(N)C=C1)CC=2C=CC=CC2,0
18542-42-2,S(C)CCN,0
5401-94-5,O=N(=O)C=1C=CC=2NN=CC2C1,0
446-32-2,O=C(O)C1=CC=C(F)C=C1N,0
49773-20-8,O=S(=O)(C)CCN,0
202197-26-0,FC1=CC=CC(=C1)COC2=CC=C(N)C=C2Cl,0
400-74-8,O=N(=O)C1=CC=C(F)C(=C1)C(F)(F)F,0
7019-01-4,O=S(=O)(C=1C=CC=CC1)C2=CC=C(N)C=C2,0
491-11-2,O=N(=O)C1=CC=C(O)C=C1Cl,0
38267-96-8,ClC1=NC=NC=2C=CC(Br)=CC12,0
98556-31-1,ClC1=NC=NC=2C=CC(I)=CC12,0
79110-05-7,O=C(C1=CC(=CC=C1F)N(=O)=O)C,0
231278-20-9,FC1=CC=CC(=C1)COC2=CC=C(C=C2Cl)NC=3N=CN=C4C=CC(I)=CC43,0
59404-86-3,ClC1=CC(N)=CC=C1OCC=2C=CC=CC2,0
231278-84-5,O=CC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=C(F)C5)C(Cl)=C4)=C3C2,0
5198-80-1,O=CC=1N=C(Br)SC1,0
20420-43-3,O(C=C[Sn](CCCC)(CCCC)CCCC)CC,0
202197-31-7,FC1=CC=CC(=C1)CN2N=CC=3C=C(N)C=CC32,0
171178-45-3,O=C(OC(C)(C)C)NC1=CN=C(Cl)C=C1,0
23856-21-5,N1=CC=2C=C(N)C=CC2N1CC=3C=CC=CC3,0
202197-25-9,FC1=CC=CC(=C1)COC2=CC=C(N)C=C2,0
22200-50-6,ClC=1C=CN=C2C=C(I)C=CC12,0
168268-00-6,FC1=CC(N)=CC=C1OCC=2C=CC=CC2,0
171178-48-6,ClC=1N=CC=2N=CN=C(Cl)C2C1,0
23856-20-4,O=N(=O)C=1C=CC2=C(C=NN2CC=3C=CC=CC3)C1,0
118505-28-5,O1C(=CC=C1[Sn](CCCC)(CCCC)CCCC)C2OCCO2,0
53234-85-8,FC1=CC=C(C=C1)COC2=CC=C(N)C=C2,0
90004-09-4,O=C1N=CNC2=CC(N)=CC=C12,0
202197-27-1,FC1=CC=C(C=C1)COC2=CC=C(N)C=C2Cl,0
57181-83-6,FC=1C=CC=CC1COC2=CC=C(N)C=C2,0
202197-33-9,N=1C=CC=CC1CN2N=CC=3C=C(N)C=CC32,0
202197-78-2,ClC1=NC=NC=2C=C(I)C=CC12,0
70338-47-5,FC(F)(F)C1=CC(N)=CC=C1OCC=2C=CC=CC2,0
231278-79-8,FC1=CC=CC(=C1)CN2N=CC=3C=C(C=CC32)NC=4N=CN=C5C=CC(I)=CC54,0
187668-23-1,O=N(=O)C=1C=CC2=NN(C=C2C1)CC=3C=CC=CC3,0
173978-98-8,BrC=1N=C(SC1)[Sn](CCCC)(CCCC)CCCC,0
231278-66-3,FC1=CC=CC(=C1)COC2=CC=C(N)C=C2OC,0
231278-08-3,O=C(O)C1=CC(I)=C(F)C=C1N,0
179246-45-8,FC=1C=CC=CC1COC2=CC=C(N)C=C2Cl,0
39062-69-6,O=N(=O)C1=CC=C(OCC=2C=CC=CC2)C(=C1)C(F)(F)F,0
697299-82-4,FC1=CC=CC(=C1)COC2=CC=C(C=C2Cl)NC=3N=CN=C4C=CC(=CC43)C=5OC(=CC5)CN,0
202197-77-1,O=C1N=CNC2=CC(I)=CC=C12,0
130493-24-2,O=CC1=COC(=C1)[Sn](CCCC)(CCCC)CCCC,0
231277-91-1,O=S(=O)(C)CCNCC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C(Cl)=C4)=C3C2,0
202197-34-0,N=1C=CC=C(C1)CN2N=CC=3C=C(N)C=CC32,0
202197-32-8,FC1=CC=C(C=C1)CN2N=CC=3C=C(N)C=CC32,0
124434-65-7,O1CCOC1C2=CC=CC(=C2)[Sn](CCCC)(CCCC)CCCC,0
231278-67-4,FC(F)(F)C=1C=CC=C(C1)COC2=CC=C(N)C=C2,0
231278-65-2,FC1=CC=CC(=C1)COC2=CC=C(N)C=C2F,0
231278-14-1,O=CC1=NC(=CS1)[Sn](CCCC)(CCCC)CCCC,0
231278-05-0,O=S(=O)(C)CCNCC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C=C4)=C3C2,0
202197-30-6,FC=1C=CC=CC1CN2N=CC=3C=C(N)C=CC32,0
179248-66-9,BrC=1C=CC2=NC=NC(NC3=CC=C(OCC=4C=CC=CC4)C=C3)=C2C1,0
93631-55-1,BrC1=CC=CC(=C1)COC2=CC=C(N)C=C2,0
231278-00-5,O=S(=O)(C)CCNCC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C(=C4)C(F)(F)F)=C3C2,0
202198-16-1,IC=1C=CC2=NC=NC(NC3=CC=C(OCC=4C=CC=CC4)C=C3)=C2C1,0
202197-35-1,N=1C=CC(=CC1)CN2N=CC=3C=C(N)C=CC32,0
189680-73-7,ClC=1N=CC2=NC=NC(NC3=CC=C(OCC=4C=CC=CC4)C=C3)=C2C1,0
231278-83-4,O=CC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C(Cl)=C4)=C3C2,0
231278-12-9,BrC1=NC(=CS1)C2OCCO2,0
231277-80-8,O=S(=O)(C)CCNCC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC5=CC=CC(=C5)C(F)(F)F)C=C4)=C3C2,0
202197-37-3,FC=1C=C(F)C=C(C1)CN2N=CC=3C=C(N)C=CC32,0
202197-36-2,FC1=CC=CC(=C1F)CN2N=CC=3C=C(N)C=CC32,0
202197-29-3,N1=C(C=2C=C(N)C=CC2N1CC=3C=CC=CC3)C,0
202197-28-2,O=N(=O)C=1C=CC2=C(C1)C(=NN2CC=3C=CC=CC3)C,0
202196-46-1,O=CC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C=C4)=C3C2,0
189680-34-0,O=CC=1OC(=CC1)C=2N=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C=C4)=C3C2,0
231278-26-5,FC(F)(F)C=1C=CC=C(C1)COC2=CC=C(C=C2)NC=3N=CN=C4C=CC(I)=CC43,0
231278-25-4,FC1=CC=CC(=C1)COC2=CC=C(C=C2)NC=3N=CN=C4C=CC(I)=CC43,0
231278-22-1,FC1=CC=CC(=C1)COC2=CC=C(C=C2OC)NC=3N=CN=C4C=CC(I)=CC43,0
231278-10-7,O=C1N=CNC2=CC(F)=C(I)C=C12,0
231277-89-7,O=S(=O)(C)CCNCC1=NC(=CS1)C=2C=CC3=NC=NC(NC=4C=CC5=C(C=NN5CC=6C=CC=CC6)C4)=C3C2,0
231277-87-5,O=S(=O)(C)CCNCC1=NC(=CS1)C=2C=CC3=NC=NC(NC4=CC=C(OCC5=CC=CC(=C5)C(F)(F)F)C=C4)=C3C2,0
231277-83-1,O=S(=O)(C)CCNCC=1C=COC1C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C=C4)=C3C2,0
231277-82-0,O=S(=O)(C)CCNCC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=C(Br)C5)C=C4)=C3C2,0
231277-74-0,O=S(=O)(C)CCNCC1=COC(=C1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C=C4)=C3C2,0
230955-62-1,FC1=CC=CC(=C1)COC2=CC=C(C=C2)NC=3N=CN=C4C=NC(Cl)=CC43,0
202271-32-7,N=1C=NC(NC2=CC=C(OCC=3C=CC=CC3)C=C2)=C4C=C(N=CC14)C=5OC(=CC5)C6OCCO6,0
202197-39-5,BrC=1C=CC2=NC=NC(NC=3C=CC4=C(C=NN4CC=5C=CC=CC5)C3)=C2C1,0
202196-42-7,N=1C=NC(NC2=CC=C(OCC=3C=CC=CC3)C=C2)=C4C=C(C=CC14)C=5OC(=CC5)C6OCCO6,0
307327-30-6,O=CC1=NC(=CS1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C=C4)=C3C2,0
231278-82-3,O=CC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C(F)=C4)=C3C2,0
231278-74-3,O=C(N(CC(=S)N)CCS(=O)(=O)C)C(F)(F)F,0
231278-52-7,O=CC=1OC(=CC1)C=2N=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=C(F)C5)C=C4)=C3C2,0
231278-51-6,O=CC1=COC(=C1)C=2N=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=C(F)C5)C=C4)=C3C2,0
231278-50-5,FC1=CC=CC(=C1)COC2=CC=C(C=C2)NC=3N=CN=C4C=NC(=CC43)C=5OC(=CC5)C6OCCO6,0
231278-33-4,N1=CN=C(NC2=CC=C(OCC=3C=CC=CC3)C=C2)C4=CC(C=5OC(=CC5)C6OCCO6)=C(OC)C=C14,0
231278-32-3,O=CC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C(=C4)C(F)(F)F)=C3C2,0
231278-28-7,FC=1C=C2N=CN=C(NC3=CC=C(OCC=4C=CC=CC4)C=C3)C2=CC1C=5OC(=CC5)C6OCCO6,0
231278-27-6,FC(F)(F)C1=CC(=CC=C1OCC=2C=CC=CC2)NC=3N=CN=C4C=CC(I)=CC43,0
231278-24-3,BrC1=CC=CC(=C1)COC2=CC=C(C=C2)NC=3N=CN=C4C=CC(I)=CC43,0
231278-23-2,FC1=CC(=CC=C1OCC=2C=CC=CC2)NC=3N=CN=C4C=CC(I)=CC43,0
231278-21-0,FC1=CC=CC(=C1)COC2=CC=C(C=C2F)NC=3N=CN=C4C=CC(I)=CC43,0
231278-13-0,N1=CSC(=C1C2OCCO2)[Sn](CCCC)(CCCC)CCCC,0
231278-07-2,O=S(=O)(C)CCNCC1=NC(=CS1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=CC5)C=C4)=C3C2,0
231277-72-8,O=S(=O)(C)CCNCC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=C(F)C5)C(OC)=C4)=C3C2,0
202272-75-1,O=CC=1OC(=CC1)C=2N=CC3=NC=NC(NC=4C=CC5=C(C=NN5CC=6C=CC=CC6)C4)=C3C2,0
202272-74-0,N=1C=NC(NC=2C=CC3=C(C=NN3CC=4C=CC=CC4)C2)=C5C=C(N=CC15)C=6OC(=CC6)C7OCCO7,0
202198-17-2,IC=1C=CC2=NC=NC(NC=3C=CC4=C(C=NN4CC=5C=CC=CC5)C3)=C2C1,0
