CAS Registry Number,Canonical SMILES,key
50-99-7,O=CC(O)C(O)C(O)C(O)CO,0
25322-68-3,OCCO,0
7440-06-4,[Pt],0
57-88-5,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1,0
23214-92-8,O=C1C=2C=CC=C(OC)C2C(=O)C=3C(O)=C4C(=C(O)C13)CC(O)(C(=O)CO)CC4OC5OC(C)C(O)C(N)C5,0
107-15-3,NCCN,0
50-18-0,O=P1(OCCCN1)N(CCCl)CCCl,0
59-30-3,O=C1N=C(N=C2NC=C(N=C12)CNC3=CC=C(C=C3)C(=O)NC(C(=O)O)CCC(=O)O)N,0
59-05-2,O=C(O)CCC(NC(=O)C1=CC=C(C=C1)N(C)CC=2N=C3C(=NC2)N=C(N=C3N)N)C(=O)O,0
33069-62-4,O=C(OC1C2C3(OC(=O)C)COC3CC(O)C2(C(=O)C(OC(=O)C)C4=C(C)C(OC(=O)C(O)C(NC(=O)C=5C=CC=CC5)C=6C=CC=CC6)CC1(O)C4(C)C)C)C=7C=CC=CC7,0
57-22-7,O=CN1C2=CC(OC)=C(C=C2C34CCN5CC=CC(CC)(C(OC(=O)C)C(O)(C(=O)OC)C13)C54)C6(C(=O)OC)C=7NC=8C=CC=CC8C7CCN9CC(CC(O)(C9)CC)C6,0
53123-88-9,O=C1OC(CC(=O)C(C=C(C)C(O)C(OC)C(=O)C(C)CC(C=CC=CC=C(C)C(OC)CC2OC(O)(C(=O)C(=O)N3CCCCC13)C(C)CC2)C)C)C(C)CC4CCC(O)C(OC)C4,0
33419-42-0,O=C1OCC2C(OC3OC4COC(OC4C(O)C3O)C)C5=CC=6OCOC6C=C5C(C7=CC(OC)=C(O)C(OC)=C7)C12,0
108-30-5,O=C1OC(=O)CC1,0
114977-28-5,O=C(OC(C)(C)C)NC(C=1C=CC=CC1)C(O)C(=O)OC2C(=C3C(O)C(=O)C4(C)C(O)CC5OCC5(OC(=O)C)C4C(OC(=O)C=6C=CC=CC6)C(O)(C2)C3(C)C)C,0
13598-36-2,O=P(O)O,0
865-21-4,O=C(OC1C(O)(C(=O)OC)C2N(C3=CC(OC)=C(C=C3C42CCN5CC=CC1(CC)C54)C6(C(=O)OC)C=7NC=8C=CC=CC8C7CCN9CC(CC(O)(C9)CC)C6)C)C,0
7689-03-4,O=C1OCC=2C(=O)N3C(=CC2C1(O)CC)C=4N=C5C=CC=CC5=CC4C3,0
95058-81-4,O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(F)F,0
20830-81-3,O=C1C=2C=CC=C(OC)C2C(=O)C=3C(O)=C4C(=C(O)C13)CC(O)(C(=O)C)CC4OC5OC(C)C(O)C(N)C5,0
1122-58-3,N=1C=CC(=CC1)N(C)C,0
289-95-2,N=1C=NC=CC1,0
120-73-0,N=1C=NC=2N=CNC2C1,0
58-05-9,O=CN1C=2C(=O)N=C(N)NC2NCC1CNC3=CC=C(C=C3)C(=O)NC(C(=O)O)CCC(=O)O,0
50-44-2,S=C1N=CNC=2N=CNC12,0
179324-69-7,O=C(NC(C(=O)NC(B(O)O)CC(C)C)CC=1C=CC=CC1)C2=NC=CN=C2,0
97682-44-5,O=C(OC=1C=CC2=NC=3C4=CC5=C(C(=O)N4CC3C(=C2C1)CC)COC(=O)C5(O)CC)N6CCC(N7CCCCC7)CC6,0
65271-80-9,O=C1C=2C(O)=CC=C(O)C2C(=O)C=3C(=CC=C(NCCNCCO)C13)NCCNCCO,0
154361-50-9,O=C(OCCCCC)NC1=NC(=O)N(C=C1F)C2OC(C)C(O)C2O,0
63-89-8,O=C(OCC(OC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCCCC,0
2644-64-6,O=C(OCC(OC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCCCC,0
85622-93-1,O=C(N)C=1N=CN2C(=O)N(N=NC12)C,0
3778-73-2,O=P1(OCCCN1CCCl)NCCCl,0
55-98-1,O=S(=O)(OCCCCOS(=O)(=O)C)C,0
151-56-4,N1CC1,0
183321-74-6,C#CC1=CC=CC(=C1)NC=2N=CN=C3C=C(OCCOC)C(OCCOC)=CC32,0
154447-36-6,O=C1C=C(OC=2C1=CC=CC2C=3C=CC=CC3)N4CCOCC4,0
71486-22-1,O=C(OC1C(O)(C(=O)OC)C2N(C3=CC(OC)=C(C=C3C42CCN5CC=CC1(CC)C54)C6(C(=O)OC)C=7NC=8C=CC=CC8C7CN9CC(=CC(C9)C6)CC)C)C,0
154-42-7,S=C1N=C(N)NC=2N=CNC12,0
19545-26-7,O=C1OC(COC)C2(C3=C(OC=C13)C(=O)C4=C2C(OC(=O)C)CC5(C(=O)CCC45)C)C,0
231277-92-2,O=S(=O)(C)CCNCC=1OC(=CC1)C=2C=CC3=NC=NC(NC4=CC=C(OCC=5C=CC=C(F)C5)C(Cl)=C4)=C3C2,0
149647-78-9,O=C(NO)CCCCCCC(=O)NC=1C=CC=CC1,0
57260-73-8,O=C(OC(C)(C)C)NCCN,0
18656-38-7,O=C(OCC(OC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCC,0
29767-20-2,O=C1OCC2C(OC3OC4COC(OC4C(O)C3O)C=5SC=CC5)C6=CC=7OCOC7C=C6C(C8=CC(OC)=C(O)C(OC)=C8)C12,0
54-62-6,O=C(O)CCC(NC(=O)C1=CC=C(C=C1)NCC=2N=C3C(=NC2)N=C(N=C3N)N)C(=O)O,0
2462-63-7,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCC=CCCCCCCCC,0
4539-70-2,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCCCCCC,0
68737-67-7,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCC=CCCCCCCCC,0
26662-91-9,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCCCC,0
4537-77-3,O=C(OCC(OC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO)CCCCCCCCCCCCCCC,0
2197-63-9,O=P(O)(OCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCC,0
114084-78-5,O=P(O)(O)C(O)(CCN(C)CCCCC)P(=O)(O)O,0
35846-53-8,O=C1OC2CC(O)(N1)C(OC)C=CC=C(C)CC3=CC(OC)=C(Cl)C(=C3)N(C(=O)CC(OC(=O)C(N(C(=O)C)C)C)C4(OC4C2C)C)C,0
5681-36-7,O=C(OCC(OC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCCCCCCCCC,0
4537-76-2,O=C(OCC(OC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCCCCCCCCCCC,0
2053-29-4,N=C,0
13010-20-3,O=NNC(=O)N,0
915019-65-7,N#CC(C1=CC=C(C=C1)N2C(=O)N(C=3C=NC4=CC=C(C=C4C32)C=5C=NC6=CC=CC=C6C5)C)(C)C,0
7144-08-3,O=C(Cl)OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C)CCCC(C)C)C2(C)CC1,0
