CAS Registry Number,Canonical SMILES,key
111-42-2,OCCNCCO,0
51-35-4,O=C(O)C1NCC(O)C1,0
104-55-2,O=CC=CC=1C=CC=CC1,0
179324-69-7,O=C(NC(C(=O)NC(B(O)O)CC(C)C)CC=1C=CC=CC1)C2=NC=CN=C2,1
66-77-3,O=CC1=CC=CC=2C=CC=CC12,0
2627-86-3,NC(C=1C=CC=CC1)C,0
2033-24-1,O=C1OC(OC(=O)C1)(C)C,0
540-88-5,O=C(OC(C)(C)C)C,0
5437-45-6,O=C(OCC=1C=CC=CC1)CBr,0
1068-90-2,O=C(NC(C(=O)OCC)C(=O)OCC)C,0
4780-79-4,OCC1=CC=CC=2C=CC=CC21,0
15159-40-7,O=C(Cl)N1CCOCC1,0
2018-66-8,O=C(OCC=1C=CC=CC1)NC(C(=O)O)CC(C)C,0
18704-37-5,O=S(=O)(Cl)C1=CC=CC2=CC=CN=C21,0
2130-96-3,O=C(OC(C)(C)C)NC(C(=O)O)CC1=CC=C(OCC=2C=CC=CC2)C=C1,0
17016-83-0,O=C1OCC(N1)C(C)C,0
486-73-7,O=C(O)C1=NC=CC=2C=CC=CC21,0
16652-64-5,O=C(O)C(N)CC1=CC=C(OCC=2C=CC=CC2)C=C1,0
13504-85-3,O=C(O)C1N(C(=O)OCC=2C=CC=CC2)CC(O)C1,0
67123-97-1,O=C(O)C1NCC=2C=CC=CC2C1,0
64187-48-0,O=C(OCC=1C=CC=CC1)N2CC(O)CC2C(=O)OC,0
3243-42-3,O=C(O)CCC1=CC=CC=2C=CC=CC21,0
55447-00-2,O=C(OC(C)(C)C)NC(C(=O)O)CC1=CC=CC=2C=CC=CC21,0
179324-22-2,O=C(OCC=1C=CC=CC1)NC(C(=O)NC(C(=O)NC(B(O)O)CC(C)C)CC(C)C)CC(C)C,0
41034-52-0,O=C(O)C1NCCC=2C=CC=CC21,0
33099-08-0,O=C(OCC=1C=CC=CC1)N(C)C(C(=O)O)CC(C)C,0
13979-14-1,O=C(OCC)C=CC1=CC=CC=2C=CC=CC21,0
151838-62-9,O=C(OC(C)(C)C)N1CC=2C=CC=CC2CC1C(=O)O,0
