CAS Registry Number,Canonical SMILES,key
67-64-1,O=C(C)C,0
107-21-1,OCCO,0
68-12-2,O=CN(C)C,0
108-24-7,O=C(OC(=O)C)C,0
74-88-4,IC,0
100-51-6,OCC=1C=CC=CC1,0
110-89-4,N1CCCCC1,0
110-91-8,O1CCNCC1,0
100-39-0,BrCC=1C=CC=CC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
76-05-1,O=C(O)C(F)(F)F,0
96-33-3,O=C(OC)C=C,0
98-59-9,O=S(=O)(Cl)C1=CC=C(C=C1)C,0
75-65-0,OC(C)(C)C,0
75-36-5,O=C(Cl)C,0
120-80-9,OC=1C=CC=CC1O,0
124-63-0,O=S(=O)(Cl)C,0
616-38-6,O=C(OC)OC,0
77-78-1,O=S(=O)(OC)OC,0
75-03-6,ICC,0
110-85-0,N1CCNCC1,0
541-41-3,O=C(Cl)OCC,0
109-86-4,OCCOC,0
75-16-1,Br[Mg]C,0
75-24-1,[Al](C)(C)C,0
501-53-1,O=C(Cl)OCC=1C=CC=CC1,0
358-23-6,O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F,0
917-54-4,[Li]C,0
407-25-0,O=C(OC(=O)C(F)(F)F)C(F)(F)F,0
79-22-1,O=C(Cl)OC,0
29022-11-5,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NCC(=O)O,0
925-90-6,Br[Mg]CC,0
765-30-0,NC1CC1,0
35661-39-3,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)C,0
35661-60-0,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)CC(C)C,0
35661-40-6,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)CC=4C=CC=CC4,0
2393-23-9,O(C1=CC=C(C=C1)CN)C,0
5292-43-3,O=C(OC(C)(C)C)CBr,0
149-73-5,O(C)C(OC)OC,0
57260-71-6,O=C(OC(C)(C)C)N1CCNCC1,0
1679-18-1,ClC1=CC=C(C=C1)B(O)O,0
1826-67-1,Br[Mg]C=C,0
68858-20-8,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)C(C)C,0
71989-31-6,O=C(O)C1N(C(=O)OCC2C=3C=CC=CC3C=4C=CC=CC42)CCC1,0
109-85-3,O(C)CCN,0
71989-23-6,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)C(C)CC,0
