CAS Registry Number,Canonical SMILES,key
64-19-7,O=C(O)C,0
67-64-1,O=C(C)C,0
108-24-7,O=C(OC(=O)C)C,0
73183-34-3,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0
75-31-0,NC(C)C,0
765-30-0,NC1CC1,0
1003-03-8,NC1CCCC1,0
78-39-7,O(CC)C(OCC)(OCC)C,0
2516-47-4,NCC1CC1,0
5308-25-8,N1CCN(CC)CC1,0
108-36-1,BrC1=CC=CC(Br)=C1,0
109384-19-2,O=C(OC(C)(C)C)N1CCC(O)CC1,0
1072-97-5,BrC1=CN=C(N)C=C1,0
3934-20-1,ClC1=NC=CC(Cl)=N1,0
73874-95-0,O=C(OC(C)(C)C)NC1CCNCC1,0
286961-14-6,O=C(OC(C)(C)C)N1CC=C(B2OC(C)(C)C(O2)(C)C)CC1,0
4318-42-7,N1CCN(CC1)C(C)C,0
2927-71-1,FC1=CN=C(Cl)N=C1Cl,0
1231929-97-7,FC=1C=NC(=NC1C=2C=C(F)C=3N=C(N(C3C2)C(C)C)C)NC4=NC=C(C=C4)CN5CCN(CC)CC5,1
21717-96-4,FC1=CN=C(N)C=C1,0
149806-06-4,O=CC1=CN=C(Br)C=C1,0
20511-12-0,IC1=CN=C(N)C=C1,0
39856-50-3,O=N(=O)C1=NC=C(Br)C=C1,0
159635-49-1,O=C(OC(C)(C)C)N1CCC(=C)CC1,0
67567-26-4,FC=1C=C(Br)C=C(F)C1N,0
42753-71-9,BrC1=CC=C(N=C1C)N,0
1118-69-0,O=C(NC(C)C)C,0
51686-78-3,O=N(=O)C1=CC=C(Br)C=C1Br,0
134464-79-2,O=C(OC(C)(C)C)N1CCC(S)CC1,0
779345-37-8,O=N(=O)C1=NC=C(F)C=C1,0
1180132-17-5,N=1C=C(C=CC1N)CN2CCN(CC)CC2,0
1198408-35-3,O=C(OC(C)(C)C)N1CCC(C2=CN=C(N)C=C2)CC1,0
1231930-42-9,FC=1C=NC(Cl)=NC1C=2C=C(F)C=3N=C(N(C3C2)C(C)C)C,0
1231930-37-2,FC1=CC(=CC2=C1N=C(N2C(C)C)C)B3OC(C)(C)C(O3)(C)C,0
25291-41-2,O=C(NC1CCCC1)C,0
29512-07-0,O=C(NC1CC1)C,0
1231930-22-5,O=C(OC(C)(C)C)N1CC=C(C=2C=NC(=CC2)N(=O)=O)CC1,0
1231930-33-8,FC1=CC(Br)=CC2=C1N=C(N2C(C)C)C,0
1178566-52-3,O=C(OC(C)(C)C)N1CCN(CC2=CN=C(N)C=C2)CC1,0
1231930-25-8,BrC1=NC=C(C=C1)CN2CCN(CC)CC2,0
1160923-86-3,O=C(OC(C)(C)C)N1CCN(CC2=CN=C(Br)C=C2)CC1,0
1231930-29-2,FC=1C=C(Br)C=C(F)C1N=C(NC(C)C)C,0
61771-97-9,O=C(NCC1CC1)C,0
1231930-57-6,FC=1C=NC(=NC1C=2C=C(F)C=3N=C(N(C3C2)C(C)C)C)NC4=NC=C(C=C4)CN5CCNCC5,0
1231930-17-8,O=C(OC(C)(C)C)NC1CCN(C2=CN=C(N)C=C2)CC1,0
1231930-34-9,FC1=CC(Br)=CC2=C1N=C(N2C3CC3)C,0
1231930-48-5,O=C(OC(C)(C)C)N1CCN(CC2=CN=C(C=C2)NC=3N=CC(F)=C(N3)C=4C=C(F)C=5N=C(N(C5C4)C(C)C)C)CC1,0
1231930-47-4,FC1=CC(=CC2=C1N=C(N2C(C)C)C)C=3N=C(Cl)N=CC3,0
1231930-41-8,FC1=CC(=CC2=C1N=C(N2C3CCCC3)C)B4OC(C)(C)C(O4)(C)C,0
1231930-38-3,FC1=CC(=CC2=C1N=C(N2C3CC3)C)B4OC(C)(C)C(O4)(C)C,0
1231930-27-0,BrC1=CC=C(N)C(=C1)NC2CCCC2,0
1231930-26-9,O=N(=O)C1=CC=C(Br)C=C1NC2CCCC2,0
1231930-13-4,O=N(=O)C=1N=C(C(Br)=CC1)C,0
1231930-78-1,O=C(OC(C)(C)C)NC1CCN(C2=CN=C(C=C2)N(=O)=O)CC1,0
1231930-19-0,O=C(OC(C)(C)C)N1CCC(OC2=CN=C(N)C=C2)CC1,0
1231930-43-0,FC=1C=NC(Cl)=NC1C=2C=C(F)C=3N=C(N(C3C2)C4CC4)C,0
1231930-40-7,FC1=CC(=CC2=C1N=C(N2CC3CC3)C)B4OC(C)(C)C(O4)(C)C,0
1231930-36-1,FC1=CC(Br)=CC2=C1N=C(N2C3CCCC3)C,0
1231930-30-5,FC=1C=C(Br)C=C(F)C1N=C(NC2CC2)C,0
1231930-24-7,O=C(OC(C)(C)C)N1CCC(CC2=CC=C(N=C2C)N)CC1,0
1231930-23-6,O=C(OC(C)(C)C)N1CCC(CC2=CN=C(N)C=C2)CC1,0
1231930-18-9,O=C(OC(C)(C)C)N1CCC(OC2=CN=C(C=C2)N(=O)=O)CC1,0
1231930-98-5,FC1=CC(=CC2=C1N=C(N2C3CCCC3)C)C=4N=C(N=CC4)NC5=NC=C(C=C5)N6CCC(N(CC)CC)CC6,0
1231930-96-3,FC=1C=NC(=NC1C=2C=C(F)C=3N=C(N(C3C2)C(C)C)C)NC=4N=C(C(=CC4)N5CCC(N(CC)CC)CC5)C,0
1231930-45-2,FC=1C=NC(Cl)=NC1C=2C=C(F)C=3N=C(N(C3C2)CC4CC4)C,0
1231930-44-1,FC=1C=NC(Cl)=NC1C=2C=CC=3N=C(N(C3C2)C4CCCC4)C,0
1231930-39-4,N=1C=2C=CC(=CC2N(C1C)C3CCCC3)B4OC(C)(C)C(O4)(C)C,0
1231930-32-7,FC=1C=C(Br)C=C(F)C1N=C(NC2CCCC2)C,0
1231930-28-1,BrC=1C=CC=2N=C(N(C2C1)C3CCCC3)C,0
1231930-21-4,O=C(OC(C)(C)C)N1CCC(C2=CC=C(N=C2C)N)CC1,0
1231930-20-3,O=C(OC(C)(C)C)N1CC=C(C=2C=CC(=NC2C)N)CC1,0
1231930-11-2,FC1=CC(=CC2=C1N=C(N2C(C)C)C)C=3N=C(N=CC3)NC4=NC=C(SC5CCN(CC)CC5)C=C4,0
1231930-06-5,FC=1C=NC(=NC1C=2C=C(F)C=3N=C(N(C3C2)C(C)C)C)NC4=NC=C(OC5CCN(CC5)C(C)C)C=C4,0
1231930-05-4,FC=1C=NC(=NC1C=2C=C(F)C=3N=C(N(C3C2)C(C)C)C)NC4=NC=C(OC5CCN(CC)CC5)C=C4,0
