CAS Registry Number,Canonical SMILES,key
110-91-8,O1CCNCC1,0
74-89-5,NC,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
76-05-1,O=C(O)C(F)(F)F,0
59-67-6,O=C(O)C=1C=NC=CC1,0
124-40-3,N(C)C,0
109-01-3,N1CCN(C)CC1,0
103-71-9,O=C=NC=1C=CC=CC1,0
530-62-1,O=C(N1C=NC=C1)N2C=NC=C2,0
917-54-4,[Li]C,0
765-30-0,NC1CC1,0
98-98-6,O=C(O)C1=NC=CC=C1,0
55-22-1,O=C(O)C=1C=CN=CC1,0
5382-16-1,OC1CCNCC1,0
104-12-1,O=C=NC1=CC=C(Cl)C=C1,0
5308-25-8,N1CCN(CC)CC1,0
594-61-6,O=C(O)C(O)(C)C,0
98-97-5,O=C(O)C1=NC=CN=C1,0
5416-93-3,O=C=NC1=CC=C(OC)C=C1,0
97-72-3,O=C(OC(=O)C(C)C)C(C)C,0
1609-86-5,O=C=NC(C)(C)C,0
1195-45-5,O=C=NC1=CC=C(F)C=C1,0
1073-06-9,FC1=CC=CC(Br)=C1,0
5781-53-3,O=C(Cl)C(=O)OC,0
1538-75-6,O=C(OC(=O)C(C)(C)C)C(C)(C)C,0
2799-21-5,OC1CNCC1,0
4318-42-7,N1CCN(CC1)C(C)C,0
100243-39-8,OC1CNCC1,0
45347-82-8,OC1CNC1,0
21655-48-1,N1CC(NC(C)C1)C,0
5521-55-1,O=C(O)C1=NC=C(N=C1)C,0
934-60-1,O=C(O)C=1N=C(C=CC1)C,0
3222-47-7,O=C(O)C1=CN=C(C=C1)C,0
4835-90-9,O=C(O)C(C)(C)CO,0
1621-91-6,O=C(O)C1=NNC=C1,0
17318-03-5,FC1=CC=CC([Mg]Br)=C1,0
142253-55-2,O=C(OC(C)(C)C)N1CC(C(=O)O)C1,0
86953-79-9,O=C(OC(C)(C)C)N1CCCC1,0
17994-25-1,O=C(O)C1(O)CC1,0
4684-94-0,O=C(O)C1=NC(Cl)=CC=C1,0
5470-22-4,O=C(O)C1=NC=CC(Cl)=C1,0
169447-70-5,O=C(OC(C)(C)C)N1CCNCC1C,0
86873-60-1,O=C(O)C1=NC=C(Cl)C=C1,0
277756-46-4,O=C(O)C1(CC1)C(F)(F)F,0
6914-79-0,N#CC1(C(=O)O)CC1,0
85909-08-6,O=C(OC(C)(C)C)N1C(=O)CCC1,0
407-20-5,FC1=CN=CC(Br)=C1,0
20485-43-2,O=C(O)C1=NC=CN1C,0
4021-07-2,O=C(O)C1=NC=CC=C1C,0
399-94-0,FC1=CC=C(F)C(Br)=C1,0
1223403-58-4,O=C(NC=1C=NN2C=CC(=NC12)N3CCCC3C4=CC(F)=CC=C4F)N5CCC(O)C5,1
16498-81-0,O=C(O)C1=CC=CN=C1OC,0
31519-62-7,O=C(O)C1=NC=CC=N1,0
25016-20-0,O=C(O)C1=NN(C=C1)C,0
62414-68-0,OC1CNCCC1,0
24211-55-0,OC1CNCCC1,0
33863-76-2,FC=1C=C(Cl)C=C(Br)C1,0
452-08-4,FC1=CC=C(OC)C(Br)=C1,0
189321-63-9,O=C(OC(C)(C)C)N1CCC(C(=O)O)(C)CC1,0
63812-15-7,O=C(O)C(F)(C)C,0
4021-12-9,O=C(O)C=1C=CN=CC1C,0
