CAS Registry Number,Canonical SMILES,key
50-00-0,O=C,0
74-88-4,IC,0
51-21-8,O=C1NC=C(F)C(=O)N1,0
74-89-5,NC,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
76-05-1,O=C(O)C(F)(F)F,0
75-03-6,ICC,0
63-74-1,O=S(=O)(N)C1=CC=C(N)C=C1,0
103-82-2,O=C(O)CC=1C=CC=CC1,0
76-83-5,ClC(C=1C=CC=CC1)(C=2C=CC=CC2)C=3C=CC=CC3,0
444731-52-6,O=S(=O)(N)C1=CC(=CC=C1C)NC2=NC=CC(=N2)N(C=3C=CC=4C(=NN(C4C)C)C3)C,1
3934-20-1,ClC1=NC=CC(Cl)=N1,0
122-80-5,O=C(NC1=CC=C(N)C=C1)C,0
3544-24-9,O=C(N)C=1C=CC=C(N)C1,0
766-80-3,ClC1=CC=CC(=C1)CBr,0
1445-45-0,O(C)C(OC)(OC)C,0
2835-68-9,O=C(N)C1=CC=C(N)C=C1,0
102-28-3,O=C(NC=1C=CC=C(N)C1)C,0
2927-71-1,FC1=CN=C(Cl)N=C1Cl,0
5470-49-5,O=S(=O)(C1=CC=C(N)C=C1)C,0
98-18-0,O=S(=O)(N)C=1C=CC=C(N)C1,0
2831-66-5,ClC1=NC=NC(Cl)=N1,0
369-36-8,O=N(=O)C1=CC=C(F)C(N)=C1,0
35216-39-8,O=S(=O)(C=1C=CC=C(N)C1)C,0
37045-73-1,O=S(=O)(NC=1C=CC=C(N)C1)C,0
6973-09-7,O=S(=O)(N)C1=CC(N)=CC=C1C,0
17481-27-5,O=C(N)C1=CC=C(OC)C(N)=C1,0
41939-61-1,O=N(=O)C1=CC=C(NC)C(N)=C1,0
109903-35-7,O=S(=O)(NC)CC1=CC=C(N)C=C1,0
6494-19-5,O=N(=O)C=1C=CC2=C(C1)NN=C2C,0
20191-74-6,O=N(=O)C1=CC=C(C(N)=C1)CC,0
444731-72-0,N1=C2C=C(N)C=CC2=C(N1C)C,0
24176-70-3,O=S(=O)(C)CC1=CC=C(N)C=C1,0
444731-75-3,ClC1=NC=CC(=N1)N(C=2C=CC=3C(=NN(C3C)C)C2)C,0
6334-01-6,O=S(=O)(C1=CC=C(N)C=C1)CC,0
