CAS Registry Number,Canonical SMILES,key
64-17-5,OCC,0
67-56-1,OC,0
64-19-7,O=C(O)C,0
108-24-7,O=C(OC(=O)C)C,0
74-88-4,IC,0
141-43-5,OCCN,0
74-89-5,NC,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
76-05-1,O=C(O)C(F)(F)F,0
75-36-5,O=C(Cl)C,0
124-40-3,N(C)C,0
109-89-7,N(CC)CC,0
124-63-0,O=S(=O)(Cl)C,0
96-49-1,O=C1OCCO1,0
123-75-1,N1CCCC1,0
75-03-6,ICC,0
73183-34-3,O1B(OC(C)(C)C1(C)C)B2OC(C)(C)C(O2)(C)C,0
75-16-1,Br[Mg]C,0
358-23-6,O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F,0
288-13-1,N1=CC=CN1,0
109-55-7,NCCCN(C)C,0
108-00-9,NCCN(C)C,0
156-87-6,OCCCN,0
96-32-2,O=C(OC)CBr,0
75-30-9,IC(C)C,0
57260-71-6,O=C(OC(C)(C)C)N1CCNCC1,0
109-85-3,O(C)CCN,0
2038-03-1,O1CCN(CC1)CCN,0
79099-07-3,O=C(OC(C)(C)C)N1CCC(=O)CC1,0
100-36-7,NCCN(CC)CC,0
1118-68-9,O=C(O)CN(C)C,0
590-17-0,N#CCBr,0
6482-24-2,BrCCOC,0
877399-52-5,FC1=CC=C(Cl)C(=C1Cl)C(OC=2C=C(C=NC2N)C=3C=NN(C3)C4CCNCC4)C,1
76513-69-4,ClCOCC[Si](C)(C)C,0
137-43-9,BrC1CCCC1,0
7154-73-6,NCCN1CCCC1,0
109384-19-2,O=C(OC(C)(C)C)N1CCC(O)CC1,0
271-44-3,N1=CC=2C=CC=CC2N1,0
513-38-2,ICC(C)C,0
4333-56-6,BrC1CC1,0
1453-58-3,N=1NC=CC1C,0
75927-49-0,O1B(OC(C)(C)C1(C)C)C=C,0
13831-31-7,O=C(Cl)COC(=O)C,0
2799-21-5,OC1CNCC1,0
2081-44-9,OC1CCOCC1,0
100243-39-8,OC1CNCC1,0
269410-08-4,N1=CC(=CN1)B2OC(C)(C)C(O2)(C)C,0
453-20-3,OC1COCC1,0
2075-45-8,BrC=1C=NNC1,0
69610-40-8,O=C(OC(C)(C)C)N1CCCC1CO,0
