CAS Registry Number,Canonical SMILES,key
934-98-5,NCCN1CCN(C)CC1,0
98-18-0,O=S(=O)(N)C=1C=CC=C(N)C1,0
21655-48-1,N1CC(NC(C)C1)C,0
51387-90-7,NCCC1N(C)CCC1,0
18469-52-8,O=C(OC)C1=CC=C(C=C1)CN,0
1436-59-5,NC1CCCCC1N,0
533-30-2,N1=CSC=2C=C(N)C=CC12,0
69478-75-7,N1CCC(N(C)C)C1,0
14432-12-3,ClC1=NC=CC(N)=C1,0
99-60-5,O=C(O)C1=CC=C(C=C1Cl)N(=O)=O,0
2357-47-3,FC1=CC=C(N)C=C1C(F)(F)F,0
3430-14-6,N=1C=C(N)C=CC1C,0
49773-20-8,O=S(=O)(C)CCN,0
934-22-5,N1=CNC=2C=CC(N)=CC12,0
39856-50-3,O=N(=O)C1=NC=C(Br)C=C1,0
184637-48-7,O=C(OC(C)(C)C)N1CCCC(N)C1,0
58859-46-4,O=C(OCC)N1CCC(N)CC1,0
2359-60-6,NC1=CC=C(C=C1)N2CCCCC2,0
4487-59-6,O=N(=O)C1=CN=C(Br)C=C1,0
13535-01-8,BrC1=CN=CC(N)=C1,0
4726-85-6,O=C(N)CCN,0
7175-81-7,O1CCCC1CN,0
455-88-9,O=N(=O)C1=CC=C(F)C(=C1)C,0
7149-42-0,NCC1CCN(C)CC1,0
3113-71-1,O=C(O)C1=CC=C(C(=C1)C)N(=O)=O,0
106877-33-2,FC(F)(F)C1=NC=C(N)C=C1,0
3970-68-1,OC1(C)CCNCC1,0
7202-43-9,O1CCCC1CN,0
10316-79-7,OCC1(N)CCCC1,0
6982-39-4,OC1CCCCC1N,0
18437-58-6,N=1C=CC(N)=CC1C,0
1254053-43-4,O=C(N)C=1N=C(C(=NC1NC2=CC=C(C(OC)=C2)N3CCC(N4CCN(C)CC4)CC3)NC5CCOCC5)CC,1
179321-49-4,O=C(OC(C)(C)C)NC1CCC(=O)CC1,0
7304-32-7,O=C(O)C1=CC(=CC=C1F)N(=O)=O,0
1193-12-0,N1CCCC(C)(C)C1,0
53617-36-0,N1CCC(N2CCN(C)CC2)CC1,0
446-34-4,O=N(=O)C1=CC=C(C=C1F)C,0
96-98-0,O=C(O)C1=CC=C(C(=C1)N(=O)=O)C,0
