CAS Registry Number,Canonical SMILES,key
67-63-0,OC(C)C,0
64-18-6,O=CO,0
109-04-6,BrC1=NC=CC=C1,0
60-34-4,NNC,0
5382-16-1,OC1CCNCC1,0
2759-28-6,C=1C=CC(=CC1)CN2CCNCC2,0
471-25-0,O=C(O)C#C,0
3934-20-1,ClC1=NC=CC(Cl)=N1,0
4930-98-7,N(N)=C1C=CC=CN1,0
14508-49-7,ClC1=NC=CN=C1,0
4319-49-7,O1CCN(N)CC1,0
1448-87-9,ClC1=NC2=CC=CC=C2N=C1,0
1393477-72-9,O=C(C=CN1N=C(N=C1)C=2C=C(C=C(C2)C(F)(F)F)C(F)(F)F)NNC3=NC=CN=C3,1
5906-35-4,NN1CCCCCC1,0
54608-52-5,N=1C=CNC(=NN)C1,0
42166-50-7,N=1C=CC=C(C1)NN,0
27126-93-8,N#CC=1C=C(C=C(C1)C(F)(F)F)C(F)(F)F,0
6214-35-3,O=C(O)C=CI,0
4231-74-7,N=1C=CC=CC1N(N)C,0
96088-62-9,O=C(C#C)OC(C)C,0
39139-52-1,NN1CCN(CC=2C=CC=CC2)CC1,0
61645-34-9,N(N)=C1C=NC=2C=CC=CC2N1,0
5767-35-1,ClC=1N=CNC(=NN)C1,0
1392136-43-4,O=C(C=CN1N=C(N=C1)C=2C=C(C=C(C2)C(F)(F)F)C(F)(F)F)NNC3=NC=CC=C3,0
4931-01-5,N(N)=C1C=CC(=CN1)C,0
14331-56-7,N(N)=C1C=C(N=C(N1)C)C,0
22930-71-8,N=1C=CC(=NN)NC1,0
3448-12-2,O=S1(=O)CCC(NN)C1,0
52476-87-6,ClC1=NC=CC(=NN)N1,0
1421919-75-6,O=C(C=CN1N=C(N=C1)C=2C=C(C=C(C2)C(F)(F)F)C(F)(F)F)N3CC(F)(F)C3,0
1333154-10-1,FC(F)(F)C1=CC(=CC(=C1)C(F)(F)F)C2=NN=CN2,0
40675-45-4,O=NN1CCN(CC=2C=CC=CC2)CC1,0
34924-93-1,NN1CCN(CC)CC1,0
1388842-44-1,O=C(O)C=CN1N=C(N=C1)C=2C=C(C=C(C2)C(F)(F)F)C(F)(F)F,0
