CAS Registry Number,Canonical SMILES,key
67-64-1,O=C(C)C,0
62-53-3,NC=1C=CC=CC1,0
108-94-1,O=C1CCCCC1,0
24424-99-5,O=C(OC(=O)OC(C)(C)C)OC(C)(C)C,0
106-49-0,NC1=CC=C(C=C1)C,0
106-50-3,NC1=CC=C(N)C=C1,0
150-13-0,O=C(O)C1=CC=C(N)C=C1,0
123-30-8,OC1=CC=C(N)C=C1,0
120-92-3,O=C1CCCC1,0
118-92-3,O=C(O)C=1C=CC=CC1N,0
504-29-0,N=1C=CC=CC1N,0
103-72-0,S=C=NC=1C=CC=CC1,0
91-59-8,NC=1C=CC=2C=CC=CC2C1,0
57260-71-6,O=C(OC(C)(C)C)N1CCNCC1,0
455-14-1,FC(F)(F)C1=CC=C(N)C=C1,0
540-37-4,IC1=CC=C(N)C=C1,0
502-42-1,O=C1CCCCCC1,0
1099-45-2,O=C(OCC)C=P(C=1C=CC=CC1)(C=2C=CC=CC2)C=3C=CC=CC3,0
92-67-1,NC=1C=CC(=CC1)C=2C=CC=CC2,0
350-46-9,O=N(=O)C1=CC=C(F)C=C1,0
619-45-4,O=C(OC)C1=CC=C(N)C=C1,0
90357-06-5,N#CC1=CC=C(C=C1C(F)(F)F)NC(=O)C(O)(C)CS(=O)(=O)C2=CC=C(F)C=C2,0
1191-95-3,O=C1CCC1,0
1194-02-1,N#CC1=CC=C(F)C=C1,0
915087-33-1,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(C(=O)NC)C(F)=C3)C2=S)(C)C,1
75-86-5,N#CC(O)(C)C,0
695-34-1,N=1C=CC(=CC1N)C,0
542-85-8,S=C=NCC,0
1445-73-4,O=C1CCN(C)CC1,0
534-07-6,O=C(CCl)CCl,0
1197-55-3,O=C(O)CC1=CC=C(N)C=C1,0
31230-17-8,N=1NC(=CC1N)C,0
5470-49-5,O=S(=O)(C1=CC=C(N)C=C1)C,0
71026-66-9,O=C(OC(C)(C)C)NC1=CC=C(N)C=C1,0
654-70-6,N#CC1=CC=C(N)C=C1C(F)(F)F,0
394-41-2,O=N(=O)C1=CC=C(O)C=C1F,0
399-95-1,FC1=CC(O)=CC=C1N,0
430-51-3,O=C(C)CF,0
170911-92-9,O=C(OC(C)(C)C)N1CCN(C2=CC=C(N)C=C2)CC1,0
2393-17-1,O=C(O)CCC1=CC=C(N)C=C1,0
403-24-7,O=C(O)C1=CC=C(C=C1F)N(=O)=O,0
15118-60-2,O=C(O)CCCC1=CC=C(N)C=C1,0
143782-23-4,N#CC1=CC=C(N=C=S)C=C1C(F)(F)F,0
1427-07-2,O=N(=O)C1=CC=C(C(F)=C1)C,0
53312-80-4,N#CC1=CC=C(N)C=C1F,0
49830-37-7,N#CC1(N)CCCC1,0
915087-25-1,O=C(NC)C1=CC=C(N)C=C1F,0
34667-88-4,N#CC1=CC=C(C=C1F)N(=O)=O,0
2182-38-9,N#CC(NC=1C=CC=CC1)(C)C,0
915087-27-3,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C(=O)NC)C(F)=C4)C2=S)CCC3,0
915087-24-0,O=C(NC)C1=CC=C(C=C1F)N(=O)=O,0
155180-53-3,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C2=S)CCCCO)(C)C,0
915087-32-0,N#CC(NC1=CC=C(C(F)=C1)C(=O)NC)(C)C,0
915087-26-2,N#CC1(NC2=CC=C(C(F)=C2)C(=O)NC)CCC1,0
915086-32-7,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(O)C=C3)C2=S)(C)C,0
26850-26-0,N#CC(NC1=CC=C(O)C=C1)(C)C,0
70441-12-2,N#CC1(NC2=CC=C(C=C2)C)CCCCC1,0
55793-49-2,N#CC1(NC)CCCC1,0
101568-43-8,N#CC(NC1=CC=C(C=C1)C)(C)C,0
915087-35-3,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C(=O)NC)C(F)=C4)C2=S)CCCC3,0
915086-47-4,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(O)C=C4)C2=S)CCC3,0
915086-45-2,N#CC1(NC2=CC=C(O)C=C2)CCC1,0
6636-88-0,N#CC1(NC2=CC=C(C=C2)C)CCCC1,0
915086-37-2,N#CC1(NC2=CC=C(C=C2)C)CCC1,0
915086-59-8,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)N(C3=CC=C(O)C=C3)C(C2=O)(C)C,0
915087-41-1,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCCC#N)C2=S)CCC3,0
915087-40-0,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCCC(=O)N(C)C)C2=S)CCC3,0
915087-16-0,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(C=C3)C(=O)NC)C2=S)(C)C,0
915086-39-4,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)C)C2=S)CCC3,0
915086-31-6,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=S)N(C3=CC=C(O)C=C3)C(C2=N)(C)C,0
915087-54-6,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(C=C3)C)C2=S)C,0
915087-15-9,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(C=C3)C(=O)OC)C2=S)(C)C,0
915086-96-3,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCCC(=O)NC)C2=S)CCC3,0
915086-94-1,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCCC(=O)O)C2=S)CCC3,0
915086-93-0,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCCC(=O)OC)C2=S)CCC3,0
915086-92-9,N#CC1(NC2=CC=C(C=C2)CCCC(=O)O)CCC1,0
915086-63-4,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(C=C3)C(F)(F)F)C2=S)(C)C,0
915086-36-1,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C=3C=CC=CC3)C2=S)(C)C,0
915086-30-5,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(N=[N+]=[N-])C=C3)C2=S)(C)C,0
154263-08-8,N#CC1(NC)CCC1,0
915087-63-7,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(C=C3)C)C2=S)(C)CC,0
915087-62-6,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(C=C3)C)C2=S)(CC)CC,0
915087-58-0,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(OC)C=C3)C2=S)C,0
915087-56-8,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(C=C3)C)C2=S)CCC,0
915087-55-7,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C(N(C3=CC=C(C=C3)C)C2=S)CC,0
915087-53-5,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)CN(C3=CC=C(C=C3)C)C2=S,0
915087-46-6,N#CC1=CC=C(C=C1I)N2C(=O)C(N(C3=CC=C(C=C3)C)C2=S)(C)C,0
915087-43-3,N#CC1=CC=C(C=C1C(F)(F)F)NC(=S)N=C2N(C3=CC=C(C#N)C(=C3)C(F)(F)F)C(=S)N(C4=CC=C(C=C4)C)C2(C)C,0
915087-42-2,N#CC1=CC=C(C=C1C(F)(F)F)NC(=S)N=C2N(C3=CC=C(C#N)C(=C3)C(F)(F)F)C(=S)N(C4=CC=C(C=C4)C)C2(C)CF,0
915087-34-2,N#CC1(NC2=CC=C(C(F)=C2)C(=O)NC)CCCC1,0
915087-29-5,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(O)C=C4F)C2=S)CCC3,0
915087-23-9,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)C(=O)NC)C2=S)CCC3,0
915087-07-9,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)S(=O)(=O)C)C2=S)CCC3,0
915087-05-7,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=CC(=O)N)C=C4)C2=S)CCC3,0
915087-03-5,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)N5CCN(CC5)S(=O)(=O)C)C2=S)CCC3,0
915087-02-4,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)N5CCNCC5)C2=S)CCC3,0
915087-00-2,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=S)N(C3=CC=C(C=C3)N4CCN(C(=O)OC(C)(C)C)CC4)C5(C2=N)CCC5,0
915086-95-2,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCCC(=O)N)C2=S)CCC3,0
915086-91-8,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCC(=O)NCCO)C2=S)CCC3,0
915086-90-7,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCC(=O)NC)C2=S)CCC3,0
915086-89-4,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCC(=O)N)C2=S)CCC3,0
915086-88-3,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCC(=O)O)C2=S)CCC3,0
915086-87-2,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)CCC(=O)OC)C2=S)CCC3,0
915086-85-0,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)C=CCO)C2=S)CCC3,0
915086-84-9,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=CC(=O)OCC)C=C4)C2=S)CCC3,0
915086-83-8,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)C(O)C)C2=S)CCC3,0
915086-82-7,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=O)C=C4)C2=S)CCC3,0
915086-79-2,N#CC1=CC=C(C=C1C(F)(F)F)NC(=S)N=C2N(C3=CC=C(C#N)C(=C3)C(F)(F)F)C(=S)N(C4=CC=C(C=C4)C)C25CCC5,0
915086-78-1,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=S)N(C3=CC=C(C=C3)C)C4(C2=NC(=S)NC=5C=CC=CC5)CCC4,0
915086-76-9,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=S)N(C3=CC=C(C=C3)C)C4(C2=NC)CCC4,0
915086-75-8,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)C)C2=S)CCN(C)CC3,0
915086-72-5,N#CC1=CC=C(C=C1)N2C(=S)N(C(=O)C23CCCC3)C4=CC=C(C#N)C(=C4)C(F)(F)F,0
915086-71-4,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C4=CC=C(C=C4)N(=O)=O)C2=S)CCCC3,0
915086-68-9,N#CC1=CC=C(C=C1C(F)(F)F)N2C(=O)C3(N(C=4C=CC=CC4C)C2=S)CCC3,0
915086-62-3,N#CC(NC1=CC=C(C=C1)C(F)(F)F)(C)C,0
