CAS Registry Number,Canonical SMILES,key
67-56-1,OC,0
62-53-3,NC=1C=CC=CC1,0
74-88-4,IC,0
76-05-1,O=C(O)C(F)(F)F,0
104-15-4,O=S(=O)(O)C1=CC=C(C=C1)C,0
501-53-1,O=C(Cl)OCC=1C=CC=CC1,0
1692-25-7,OB(O)C=1C=NC=CC1,0
460-00-4,FC1=CC=C(Br)C=C1,0
1038915-60-4,O=C(N)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4,1
5437-38-7,O=C(O)C1=CC=CC(=C1N(=O)=O)C,0
5471-82-9,O=C(OC)C1=CC=CC(=C1N(=O)=O)C,0
518070-19-4,O=C(O)C1=CC(F)=CC(=C1)C,0
138229-59-1,O=CC1=CC=CC(C(=O)OC)=C1N(=O)=O,0
875798-79-1,O=C(OC(C)(C)C)N1CCCC(C2=CC=C(N)C=C2)C1,0
132874-06-7,O=C(OC)C1=CC=CC(=C1N(=O)=O)CBr,0
1171197-20-8,O=C(OC(C)(C)C)N1CCCC(C2=CC=C(N)C=C2)C1,0
1038916-11-8,O=C(N)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CN(C(=O)OC(C)(C)C)CCC4,0
952479-96-8,O=C(O)C1=CC(F)=CC(=C1N(=O)=O)C,0
1038915-75-1,O=C(N)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4,0
1038915-92-2,O=C(N)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CN(C(=O)OC(C)(C)C)CCC4,0
1038915-90-0,O=C(OC)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CN(C(=O)OC(C)(C)C)CCC4,0
1038916-08-3,O=C(O)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CN(C(=O)OC(C)(C)C)CCC4,0
952480-01-2,O=C(OC)C1=CC(F)=CC=2C=NNC21,0
952474-39-4,O=C(N)C1=CC=CC2=CN(N=C21)C=3C=CC=CC3,0
1038915-99-9,O=C(OC)C=1C=CC=C(C=NC2=CC=C(C=C2)C3CN(C(=O)OC(C)(C)C)CCC3)C1N(=O)=O,0
952479-98-0,O=C(OC)C1=CC(F)=CC(=C1N)C,0
952479-62-8,O=C(OC)C1=CC=CC2=CN(N=C21)C=3C=CC=CC3,0
952479-61-7,O=C(OC)C=1C=CC=C(C=NC=2C=CC=CC2)C1N(=O)=O,0
1038916-05-0,O=C(OC)C=1C=CC=C(C=NC2=CC=C(C=C2)C3CN(C(=O)OC(C)(C)C)CCC3)C1N(=O)=O,0
1038915-58-0,O=C(N)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4,0
952479-97-9,O=C(OC)C1=CC(F)=CC(=C1N(=O)=O)C,0
952480-02-3,O=C(N)C1=CC(F)=CC=2C=NNC21,0
952475-51-3,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(Br)C=C3,0
952480-00-1,O=CC1=CC(F)=CC(C(=O)OC)=C1F,0
952479-99-1,O=C(OC)C1=CC(F)=CC(=C1F)C,0
1038916-13-0,O=C(O)C1=CC(F)=CC=2C=NNC21,0
1038916-03-8,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C(F)=C3)C4CN(C(=O)OC(C)(C)C)CCC4,0
1038916-01-6,O=C(OC)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C(F)=C3)C4CN(C(=O)OC(C)(C)C)CCC4,0
1038915-94-4,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C=C3)C4CN(C(=O)OCC=5C=CC=CC5)CCC4,0
1038915-86-4,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C(F)=C3)C4CNCCC4,0
1038915-84-2,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C(F)=C3)C4CNCCC4,0
1038915-82-0,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4,0
1038915-80-8,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4,0
1038915-70-6,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C(F)=C3)C4CNCCC4,0
1038915-67-1,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4,0
1038915-64-8,Cl.O=C(N)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4,0
1038915-73-9,O=C(N)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4.O=S(=O)(O)C1=CC=C(C=C1)C,0
1038915-56-8,Cl.O=C(N)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4,0
1038915-62-6,Cl.O=C(N)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4,0
1038915-76-2,O=C(N)C1=CC=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4.O=C(O)C(F)(F)F,0
1038915-71-7,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C(F)=C3)C4CNCCC4.O=C(O)C(F)(F)F,0
1038915-68-2,O=C(N)C1=CC(F)=CC2=CN(N=C21)C3=CC=C(C=C3)C4CNCCC4.O=C(O)C(F)(F)F,0
