CAS Registry Number,Canonical SMILES,key
404-71-7,O=C=NC=1C=CC=C(F)C1,0
327-78-6,O=C=NC1=CC=C(Cl)C(=C1)C(F)(F)F,0
4857-04-9,ClCC1=NC=2C=CC=CC2N1,0
10130-74-2,O=S(=O)(Cl)C=1C=CC=C(OC)C1,0
23095-31-0,O=S(=O)(Cl)C1=CC=C(OC)C(OC)=C1,0
5345-54-0,ClC1=CC(N)=CC=C1OC,0
20443-98-5,ClC1=CC=CC(Cl)=C1CBr,0
701-34-8,O=S(=O)(N)C1=CC=C(Br)C=C1,0
13360-63-9,N(CC)CCCC,0
123088-59-5,O=C(N)C1=CC=C(C=C1)B(O)O,0
18278-34-7,O=CC1=CC=C(O)C=C1OC,0
98-31-7,O=S(=O)(Cl)C1=CC=C(Cl)C(Cl)=C1,0
57946-56-2,FC1=CC(Cl)=CC=C1N,0
4747-71-1,O=C=NC1CCCC1,0
446-51-5,FC=1C=CC=CC1CO,0
2420-16-8,O=CC1=CC=C(O)C(Cl)=C1,0
351422-73-6,O=C(N)C=1C=CC=C(C1)B(O)O,0
13918-92-8,O=S(=O)(Cl)C1=CC=C(F)C=C1F,0
56542-67-7,N#CC1=CC=CC(=C1)S(=O)(=O)Cl,0
54751-01-8,BrCC=1C=CN=CC1,0
183208-35-7,BrC=1C=NC=2NC=CC2C1,0
373384-18-0,O=S(=O)(C=1C=CC=C(C1)B(O)O)C,0
4441-30-9,OCCCN1CCOCC1,0
628692-15-9,OB(O)C1=CN=C(N=C1)OC,0
54997-90-9,O=S(=O)(Cl)C1=CC=C(C=C1)C(C)C,0
1996-41-4,FC1=CC=C(O)C(Cl)=C1,0
69360-26-5,N#CC=1C=CC=CC1S(=O)(=O)Cl,0
918505-84-7,O=C(C1=CNC=2N=CC(Cl)=CC21)C=3C(F)=CC=C(NS(=O)(=O)CCC)C3F,0
16712-69-9,O=S(=O)(Cl)C1=CC=C(C=C1)CC,0
55052-28-3,ClC1=CC=NC=2NC=CC12,0
1074-86-8,O=CC1=CC=CC=2NC=CC12,0
405-05-0,O=CC1=CC=C(O)C(F)=C1,0
15268-31-2,O=C=NC=1C=NC=CC1,0
1483-28-9,O=S(=O)(Cl)C1=CC(OC)=CC=C1OC,0
405520-68-5,O=C(C1=CC=C(C=C1)B(O)O)N(C)C,0
2713-31-7,FC1=CC=C(F)C(O)=C1,0
3954-13-0,O=C=NCCCCC,0
7304-32-7,O=C(O)C1=CC(=CC=C1F)N(=O)=O,0
16315-59-6,O=C=NC1=CC=C(C=C1)N(C)C,0
1122-71-0,OCC1=NC(=CC=C1)C,0
348-62-9,FC1=CC(Cl)=CC=C1O,0
56962-11-9,O=CC1=CC=C(O)C=C1Cl,0
19463-48-0,O=CC1=CC(Cl)=C(O)C(OC)=C1,0
603-80-5,O=C(O)C=1C=CC=C(O)C1C,0
42601-04-7,O=C=NC1=CC=C(F)C(F)=C1,0
210532-25-5,O=S(=O)(Cl)C=1C=C(F)C=C(F)C1,0
2124-55-2,O=C(O)C=1C=CC=C2NC=CC21,0
63758-12-3,O=S(=O)(Cl)C1=CC=C2OCCOC2=C1,0
51175-71-4,O=S(=O)(Cl)C1=CSC=C1,0
4649-09-6,O=CC1=CNC=2N=CC=CC12,0
766-00-7,OCCC1CCCC1,0
71916-82-0,FC1=CC(Cl)=CC=C1CBr,0
63624-28-2,O=S(=O)(Cl)C1=CC=C(OC)C=C1OC,0
137049-02-6,O=S(=O)(Cl)C=1N=C(N(C1)C)C,0
17334-08-6,OCC1=NC=CN1C,0
445264-61-9,N=1C=C(C=CC1OC)B2OC(C)(C)C(O2)(C)C,0
35856-62-3,O=S(=O)(Cl)N1CCCCC1,0
89599-01-9,O=S(=O)(N)C=1C=CC=C(Br)C1,0
485799-04-0,N=1C=C(C=CC1N2CCOCC2)B3OC(C)(C)C(O3)(C)C,0
445-05-6,O=S(=O)(Cl)C1=CC(F)=CC=C1C,0
52130-17-3,O=C(O)C=1C=CC=C(N)C1C,0
1138-56-3,O=S(=O)(Cl)C1=CC=C(OCCCC)C=C1,0
37527-66-5,O=C=NC1=CC=C(OC)C(OC)=C1,0
754214-56-7,N1=CC(=CC=2C=CNC12)B3OC(C)(C)C(O3)(C)C,0
56456-47-4,FC1=CC=C(C(F)=C1)CO,0
389621-84-5,O=C(C1=CC=C(C=C1)B(O)O)N2CCOCC2,0
